Team,GP,PTS,PPG,AST,TO,AST/TO,APG,Bench,Bench_PPG,BLKS,BKPG,EFF_FG_PCT,FB pts,FB_PPG,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,Fouls,PFPG,DQ,FT,FTA,FTAvgAtt,FT%,REB,RPG,OPP REB,OPP RPG,REB MAR,DRebs,DRPG,OReb,ORPG,OPP PTS,OPP PPG,SCR MAR,ST,STPG,3FG,3FGA,3FG%,Opp 3FGA,Opp 3FG,OPP_3FG%,3PG,TO_RATIO,OPP TO,AVG_FCD_TO,TO,TOPG,W,L,Pct
Gonzaga,37,3187,86.1,602,397,1.52,16.3,769,20.78,127,3.4,0.582,473,12.78,1188,2282,52.06,993,2246,44.212,613,16.6,12,532,768,20.8,69.27,1376,37.2,1171,31.6,5,993,26.84,383,10.35,2715,73.4,12,268,7.2,279,737,37.86,877,306,34.9,7.5,2.5,489,13.22,397,10.7,31,6,83.8
Toledo,35,2989,85.4,521,336,1.55,14.9,534,15.26,102,2.9,0.565,427,12.2,1057,2138,49.44,981,2128,46.1,564,16.1,8,573,744,21.3,77.02,1192,34.1,1188,33.9,0,839,23.97,353,10.09,2691,76.9,8,238,6.8,302,764,39.53,807,295,36.6,8.6,3.3,452,12.91,336,9.6,27,8,77.1
Oral Roberts,35,2915,83.3,514,329,1.56,14.7,693,19.8,188,5.4,0.558,406,11.6,1058,2231,47.42,918,2207,41.595,453,12.9,3,424,548,15.7,77.37,1288,36.8,1287,36.8,0,975,27.86,313,8.94,2458,70.2,13,237,6.8,375,1027,36.51,868,301,34.7,10.7,3.3,445,12.71,329,9.4,30,5,85.7
Southern Utah,37,3064,82.8,485,492,0.99,13.1,783,21.16,125,3.4,0.534,456,12.32,1064,2286,46.54,999,2270,44.009,680,18.4,25,623,859,23.2,72.53,1427,38.6,1292,34.9,3,1032,27.89,395,10.68,2764,74.7,8,268,7.2,313,887,35.29,829,288,34.7,8.5,0.9,527,14.24,492,13.3,24,13,64.9
Youngstown St.,34,2785,81.9,521,376,1.39,15.3,639,18.79,94,2.8,0.552,413,12.15,1017,2088,48.71,929,2065,44.988,550,16.2,11,480,616,18.1,77.92,1204,35.4,1127,33.1,2,853,25.09,351,10.32,2465,72.5,9,238,7.0,271,743,36.47,698,238,34.1,8.0,1.8,438,12.88,376,11.1,24,10,70.6
Arizona,35,2866,81.9,662,468,1.41,18.9,653,18.66,110,3.1,0.565,480,13.71,1023,2072,49.37,905,2216,40.839,593,16.9,7,525,742,21.2,70.75,1376,39.3,1163,33.2,6,1020,29.14,356,10.17,2490,71.1,10,213,6.1,295,781,37.77,858,277,32.3,8.4,-1.1,431,12.31,468,13.4,28,7,80.0
Alabama,37,3027,81.8,555,512,1.08,15.0,960,25.95,189,5.1,0.521,477,12.89,1023,2314,44.21,885,2387,37.076,691,18.7,14,615,848,22.9,72.52,1652,44.6,1383,37.4,7,1168,31.57,484,13.08,2526,68.3,13,224,6.1,366,1093,33.49,715,202,28.3,9.9,-2.1,434,11.73,512,13.8,31,6,83.8
Marshall,32,2616,81.8,561,372,1.51,17.5,377,11.78,169,5.3,0.527,407,12.72,986,2120,46.51,852,2016,42.262,526,16.4,13,380,548,17.1,69.34,1247,39.0,1233,38.5,0,852,26.62,395,12.34,2281,71.3,10,288,9.0,264,781,33.8,693,222,32.0,8.2,3.3,478,14.94,372,11.6,24,8,75.0
Cornell,28,2287,81.7,489,348,1.41,17.5,852,30.43,63,2.2,0.556,446,15.93,816,1738,46.95,774,1643,47.109,466,16.6,3,355,490,17.5,72.45,964,34.4,964,34.4,0,673,24.04,291,10.39,2129,76.0,5,272,9.7,300,851,35.25,650,231,35.5,10.7,3.5,446,15.93,348,12.4,17,11,60.7
Xavier,37,2995,80.9,705,459,1.54,19.1,459,12.41,120,3.2,0.552,410,11.08,1109,2256,49.16,1012,2285,44.289,593,16.0,9,503,708,19.1,71.05,1396,37.7,1195,32.3,5,1016,27.46,380,10.27,2741,74.1,6,236,6.4,274,703,38.98,765,274,35.8,7.4,-0.7,434,11.73,459,12.4,27,10,73.0
