,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,LIU-Brooklyn,51.1,37.6,33.9,35.3,39.4,38.5,36.1,35.8,36.4,34.6,39.1,38.5,36.6,44.1,43.0,42.5,38.2,35.4,39.9,36.1,39.5,38.5,,,,
1,TX Christian,49.6,43.6,46.8,47.9,45.5,40.5,34.3,36.8,33.6,34.1,35.6,34.5,33.2,35.6,36.0,29.6,33.0,35.5,35.6,39.6,41.8,38.2,33.2,34.0,35.0,38.9
2,Arizona,48.5,42.1,41.3,43.6,42.6,43.3,45.2,40.6,38.8,39.2,36.6,38.4,38.3,39.2,36.1,38.4,36.7,40.4,41.8,39.4,42.0,38.1,40.8,38.5,42.8,40.9
3,F Dickinson,47.6,37.0,32.1,37.0,37.1,35.7,34.6,39.5,37.7,37.0,35.4,33.2,34.6,32.6,33.0,34.5,36.5,35.8,39.8,37.4,38.1,38.6,37.8,37.5,35.4,40.5
4,Florida Intl,45.9,36.1,37.2,32.4,34.1,33.1,31.0,36.8,33.7,35.4,35.5,34.5,37.5,38.9,33.5,36.3,36.9,32.9,36.1,36.6,35.6,41.2,38.6,35.9,36.2,36.6
5,Murray St,45.7,40.6,40.1,44.7,40.4,38.4,42.9,36.9,35.6,33.6,38.0,34.3,39.5,37.1,36.4,39.2,39.3,38.4,33.9,40.5,41.0,41.8,37.6,35.8,39.4,36.1
6,Southern,45.1,43.5,39.0,40.6,37.9,33.3,36.3,33.7,32.5,30.5,32.5,32.4,30.6,31.3,30.4,35.5,34.9,32.8,37.8,36.1,35.3,34.1,33.1,35.9,36.9,36.8
7,Cal Poly,44.6,45.1,41.1,42.1,35.3,33.6,36.2,36.2,34.2,39.1,33.2,32.5,37.5,33.7,33.4,35.3,33.6,31.1,37.1,34.2,38.0,34.3,33.8,31.8,31.7,31.9
8,Arkansas,44.3,39.2,38.8,42.3,38.7,34.8,37.4,36.6,39.2,38.7,37.3,37.0,38.2,36.8,37.5,38.2,40.6,39.6,40.5,42.8,41.8,39.2,40.8,43.4,40.4,39.7
9,Purdue,44.3,34.2,38.8,40.7,37.4,37.6,33.8,33.8,33.5,35.9,36.7,34.9,36.4,39.0,37.7,34.9,37.8,35.7,39.4,40.3,41.8,38.8,35.0,38.1,39.7,36.4
10,Kansas,44.1,37.9,39.8,42.7,44.7,41.7,39.7,39.5,39.5,39.9,40.8,39.5,42.9,40.6,38.0,38.4,40.7,37.1,40.5,42.2,40.9,39.8,38.1,39.5,40.5,38.2
11,Siena,44.0,47.0,43.5,39.5,35.8,41.3,39.5,33.2,38.4,38.8,39.5,39.5,38.4,36.4,33.3,30.6,35.4,37.3,40.1,38.9,33.8,33.8,35.8,35.6,35.7,37.0
12,Arizona St,43.8,37.0,40.6,39.7,39.0,38.5,40.4,40.2,35.3,30.7,34.3,35.5,34.7,32.9,33.3,36.3,39.4,35.6,40.0,40.8,43.9,40.5,39.8,38.3,33.8,36.9
13,Fresno St,43.7,39.4,42.7,43.9,37.4,35.9,31.2,37.3,37.5,35.7,37.1,34.8,34.9,35.7,36.0,31.2,37.5,34.1,38.7,38.5,39.0,39.4,36.3,33.9,33.1,33.3
