,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Montana St,0.725,0.701,0.638,0.632,0.54,0.589,0.586,0.571,0.593,0.593,0.52,0.49,0.528,0.52,0.526,0.47,0.433,0.52,0.473,0.496,0.482,0.569,0.482,0.414,0.485,0.498
1,Northwestern,0.714,0.757,0.686,0.68,0.706,0.688,0.686,0.703,0.705,0.718,0.715,0.677,0.716,0.666,0.649,0.707,0.547,0.633,0.63,0.591,0.571,0.614,0.571,0.579,0.588,0.542
2,Princeton,0.698,0.685,0.775,0.71,0.675,0.63,0.586,0.655,0.637,0.643,0.581,0.551,0.542,0.538,0.597,0.632,0.607,0.573,0.535,0.544,0.487,0.417,0.52,--,0.501,0.483
3,Notre Dame,0.682,0.656,0.715,0.647,0.671,0.609,0.561,0.618,0.605,0.635,0.665,0.601,0.637,0.668,0.636,0.658,0.577,0.549,0.494,0.578,0.551,0.545,0.621,0.570,0.545,0.468
4,Illinois St,0.667,0.607,0.485,0.538,0.585,0.482,0.545,0.586,0.617,0.622,0.625,0.547,0.545,0.509,0.571,0.563,0.53,0.477,0.525,0.558,0.574,0.51,0.511,0.473,0.467,0.467
5,Maryland,0.667,0.647,0.664,0.61,0.659,0.626,0.507,0.542,0.589,0.605,0.628,0.554,0.565,0.598,0.456,0.559,0.472,0.481,0.517,0.568,0.553,0.521,0.55,0.538,0.471,0.462
6,Belmont,0.667,0.701,0.64,0.673,0.727,0.662,0.666,0.577,0.579,0.607,0.624,0.632,0.583,0.596,0.624,0.567,0.575,0.585,0.599,0.603,0.587,0.614,0.604,0.611,0.618,0.542
7,Pacific,0.663,0.657,0.58,0.556,0.592,0.503,0.626,0.582,0.593,0.621,0.563,0.592,0.53,0.61,0.58,0.615,0.504,0.519,0.511,0.498,0.485,0.451,0.458,0.477,0.491,0.471
8,Sam Hous St,0.658,0.571,0.588,0.616,0.641,0.636,0.654,0.635,0.643,0.7,0.67,0.657,0.722,0.677,0.605,0.615,0.621,0.586,0.644,0.554,0.572,0.616,0.546,0.534,0.531,0.491
9,Bradley,0.658,0.547,0.553,0.575,0.532,0.508,0.567,0.542,0.629,0.591,0.64,0.558,0.513,0.499,0.498,0.501,0.424,0.48,0.482,0.512,0.576,0.523,0.515,0.517,0.522,0.508
10,Hawaii,0.65,0.58,0.633,0.691,0.667,0.652,0.629,0.658,0.589,0.663,0.6,0.589,0.586,0.501,0.575,0.538,0.501,0.52,0.592,0.591,0.591,0.608,0.551,0.458,0.505,0.469
