,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,N Carolina,9.0,2.5,5.8,2.6,-1.8,-0.3,2.2,6.5,6.1,9.1,7.4,7.1,1.1,3.1,4.9,0.5,3.6,3.0,6.3,5.8,3.9,5.5,-0.2,+6.2,1.4,2.2
1,Xavier,9.0,6.1,-0.2,1.9,5.9,5.0,3.9,3.0,3.4,6.3,3.8,3.4,4.9,3.8,3.6,-0.9,2.9,2.7,5.1,0.5,3.2,1.4,1.3,+2.7,2.8,2.6
2,Arizona,8.7,2.4,3.8,7.6,2.5,8.3,2.9,4.4,3.8,0.9,2.5,1.5,0.4,3.2,4.4,3.8,6.7,7.7,7.8,4.4,4.9,1.1,5.6,+1.3,7.8,3.2
3,TX Christian,8.2,1.6,4.2,5.4,2.9,-2.0,-2.2,1.4,-3.9,-0.8,-0.8,0.4,-4.7,-1.8,-0.8,-2.9,-4.4,0.7,-0.6,3.3,3.4,1.9,-0.3,-4.3,2.4,3.7
4,Murray St,7.8,5.1,2.1,1.9,0.6,2.0,7.1,1.4,3.1,-1.0,1.5,2.2,5.9,2.9,3.6,3.5,1.8,2.4,-1.3,3.5,5.9,5.7,2.3,-0.1,6.4,-2.1
5,Connecticut,6.6,6.6,3.6,2.4,3.4,5.2,5.3,3.6,6.0,1.2,3.5,7.4,1.5,3.2,1.2,1.2,3.3,5.5,5.6,1.8,-0.3,0.5,5.2,+2.7,4.4,4.5
6,Princeton,6.5,3.6,2.9,-1.2,-0.3,-1.3,0.6,-0.4,-1.3,-1.5,-3.1,-0.6,2.7,-0.1,1.7,1.2,0.7,0.4,1.4,1.6,-0.6,-2.5,-0.5,--,4.9,2.7
7,Kentucky,6.4,4.5,3.2,4.1,1.8,5.3,4.0,6.6,3.7,2.4,1.0,4.2,4.7,5.9,7.8,3.3,6.1,8.1,4.1,4.9,3.4,4.5,3.2,0.0,6.8,4.1
8,Kansas,6.2,3.3,2.8,6.5,5.0,5.5,3.7,5.7,5.9,5.9,7.5,3.4,8.1,6.0,5.7,5.1,3.3,1.7,5.7,5.9,2.8,3.1,6.6,+4.8,5.4,2.9
9,Oklahoma St,6.1,4.0,5.9,1.8,6.3,2.5,7.0,8.1,1.0,1.0,0.1,4.3,0.5,0.9,1.3,2.8,4.1,2.1,0.1,0.9,-1.0,-2.0,-1.0,+1.3,1.0,1.8
10,Michigan St,6.1,5.8,4.9,5.8,2.0,3.1,2.7,5.6,2.1,4.7,3.3,3.8,4.7,2.4,6.7,4.3,3.2,3.1,9.3,1.5,8.3,7.5,6.8,-1.5,0.9,0.8
11,F Dickinson,6.1,2.1,0.0,-0.7,-4.7,-2.5,-0.2,2.8,0.6,-0.6,-6.4,-4.8,-3.0,-3.9,-4.4,-5.8,-1.4,-1.2,-0.8,-1.5,-2.4,0.3,-0.9,-4.2,-6.5,1.1
12,Arkansas,6.1,0.3,2.1,6.4,0.4,0.0,-0.4,4.5,3.9,3.1,2.5,-1.4,0.4,1.6,0.7,1.8,4.3,3.2,1.3,5.8,2.1,2.1,4.1,+7.4,4.2,2.7
13,Duke,6.1,9.8,5.6,6.9,8.1,3.7,6.2,5.9,5.8,2.0,4.9,3.4,7.4,8.2,4.3,6.1,3.4,5.7,3.4,4.8,6.2,8.3,7.2,+2.3,4.5,3.9
14,Detroit,6.0,4.1,0.8,1.2,1.3,3.3,2.2,-1.4,-0.8,0.2,-4.7,-4.6,2.2,0.7,0.1,2.6,-1.7,-0.9,-0.7,-4.6,-3.2,-3.5,-3.8,+2.0,-0.4,1.8
