,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,LA Monroe,0.8,0.0,-0.1,0.8,0.0,-0.1,-0.6,-0.3,0.0,0.0,0.0,-0.3,0.0,0.0,-0.2,0.0,0.2,0.1,-0.5,-0.4,0.3,-0.3,0.0,+0.3,0.1,0.0
1,Fairfield,0.7,0.0,-0.3,-0.3,-0.1,0.5,0.0,0.3,0.1,0.0,0.0,0.0,0.2,0.0,0.0,-0.1,-0.1,0.1,0.5,0.3,-0.1,0.0,0.1,-0.1,0.2,-0.4
2,Arkansas St,0.7,0.0,0.1,0.0,-0.2,-0.3,-0.1,0.0,-0.1,0.0,0.0,-0.2,0.2,-0.2,-0.2,0.6,-0.2,0.3,0.3,-0.1,-0.1,-0.2,0.2,+0.4,-0.2,-0.3
3,N Carolina,0.6,0.1,-0.1,0.0,0.0,-0.3,-0.5,0.0,0.0,0.0,0.0,-0.1,-0.1,0.1,0.2,0.3,0.4,-0.3,0.0,0.1,-0.1,0.1,-0.2,0.0,0.6,0.1
4,N Arizona,0.6,0.4,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,-0.1,-0.4,-0.1,0.1,-0.4,0.0,-0.3,0.5,0.0,+0.2,0.0,-0.3
5,Marquette,0.6,-0.3,-0.1,-0.1,0.0,0.1,0.0,0.1,-0.1,0.0,0.0,-0.2,0.1,0.2,0.0,0.4,-0.4,-0.4,0.4,0.1,0.3,0.3,-0.1,-0.3,-0.2,-0.2
6,Grambling St,0.5,0.0,0.0,0.0,-0.2,0.1,-0.7,-0.4,0.4,0.0,0.0,-0.3,0.2,0.2,0.1,0.0,0.0,0.0,0.2,-0.1,0.4,-0.1,0.0,+0.2,0.0,0.2
7,Indiana St,0.5,0.0,0.3,-0.1,-0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.3,-0.1,-0.5,0.5,-0.3,0.0,0.5,-0.4,-0.1,-0.4,0.4,0.2,0.0,-0.4,-0.1
8,W Virginia,0.5,-0.2,0.4,0.3,-0.1,-0.1,0.2,0.1,-0.1,0.0,0.0,-0.1,0.1,0.0,0.2,0.1,0.2,-0.2,0.1,0.1,-0.2,0.1,-0.2,-0.2,0.0,-0.2
9,TX Southern,0.4,-0.3,0.0,0.3,0.1,0.1,0.3,-0.2,-0.4,0.0,0.0,-0.1,-0.2,0.5,-0.5,-0.2,-0.1,0.3,0.0,-0.2,-0.2,0.3,0.0,+0.1,0.0,-0.6
10,Oklahoma St,0.4,0.2,0.0,-0.2,0.2,0.1,0.1,0.0,-0.1,0.0,0.0,-0.1,-0.2,0.4,0.5,0.3,-0.5,0.1,-0.1,0.0,0.3,-0.1,0.0,+0.7,0.0,-0.3
11,Maryland ES,0.4,-0.2,0.1,0.3,0.2,-0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.2,0.1,0.0,0.0,0.0,0.4,0.0,0.1,-0.2,--,0.1,0.3
12,Coastal Car,0.4,-0.2,0.0,-0.3,0.0,-0.2,-0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.4,-0.1,0.2,0.1,0.0,0.1,0.1,0.0,-0.2,0.0,+0.1,-0.1,0.5
13,VA Military,0.4,0.1,-0.5,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,-0.1,-0.6,-0.2,0.3,0.0,0.1,-0.1,-0.3,0.0,0.0,0.0,0.0,+0.2,-0.2,0.0
14,E Illinois,0.4,-0.5,-0.3,0.0,-0.1,-0.4,0.2,0.3,0.3,0.0,0.0,-0.1,0.2,-0.1,-0.2,0.2,0.0,0.2,0.2,-0.1,-0.1,0.3,0.1,-0.2,0.0,-0.1
15,Miami (OH),0.4,0.6,-0.4,-0.3,-0.1,-0.4,0.0,0.3,0.3,0.0,0.0,0.5,-0.1,-0.1,0.3,-0.2,-0.2,0.3,0.0,-0.2,0.0,-0.2,0.0,+0.2,0.0,0.0
16,Radford,0.3,0.3,0.0,0.2,-0.2,0.2,0.0,0.3,0.0,0.0,0.0,0.8,0.3,-0.4,0.0,-0.6,0.0,-0.5,0.2,0.4,0.5,0.2,0.1,-0.1,-0.7,0.1
17,F Dickinson,0.3,0.0,0.0,0.3,-0.5,-0.5,0.2,0.1,-0.1,0.0,0.0,0.0,0.2,-0.4,0.0,0.2,-0.3,-0.1,0.3,0.0,0.0,-0.1,-0.1,+0.3,-0.3,-0.3
18,Citadel,0.3,0.5,0.1,-0.2,-0.3,0.0,0.0,0.0,-0.1,0.0,0.0,0.3,-0.1,-0.1,-0.5,0.1,-0.3,0.3,-0.3,-0.3,0.6,0.5,0.1,0.0,0.4,0.0
19,Oregon St,0.3,0.1,-0.1,-0.2,0.0,-0.1,-0.4,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.2,0.0,-0.1,-0.1,0.0,0.0,+0.1,-0.4,0.0
20,Wyoming,0.3,0.0,-0.1,0.1,0.3,0.1,0.0,0.5,-0.3,0.0,0.0,-0.2,0.1,0.0,-0.3,-0.1,-0.2,0.2,-0.4,0.0,0.7,-0.1,0.2,+0.8,0.5,-0.1
21,Oral Roberts,0.3,0.3,-0.5,-0.4,-0.1,-0.2,-0.2,0.0,-0.2,0.0,0.0,-0.1,0.0,0.0,0.1,0.1,-0.1,0.4,0.2,-0.5,0.0,0.3,0.0,+0.1,-0.2,0.0
22,NC-Wilmgton,0.3,-0.4,0.0,0.0,0.1,-0.2,-0.1,0.0,0.0,0.0,0.0,0.2,0.0,-0.2,0.0,0.0,-0.2,0.2,0.5,0.3,-0.4,0.0,0.2,-0.6,0.6,0.2
23,Belmont,0.3,0.1,-0.1,-0.2,-0.4,0.1,0.0,0.4,0.0,0.0,0.0,0.1,0.3,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,-0.2,0.0,-0.2,0.4,-0.2
24,St Fran (NY),0.3,0.0,0.1,0.5,0.6,-0.1,0.1,0.0,-0.6,0.0,0.0,-0.3,0.4,0.0,-0.1,0.1,0.1,0.3,-0.3,0.4,-0.3,-0.1,-0.1,-0.2,0.1,0.1
25,N Hampshire,0.3,0.0,0.0,0.3,0.0,0.0,0.1,0.3,0.2,0.0,0.0,-0.1,-0.4,0.0,0.0,0.1,0.0,0.6,-0.3,0.1,0.0,0.0,0.4,+0.3,0.0,0.4
26,La Salle,0.3,-0.3,-0.4,-0.2,-0.3,0.3,-0.1,0.3,0.4,0.0,0.0,-0.4,0.0,0.2,-0.2,0.2,-0.5,0.0,0.0,-0.1,-0.4,0.0,0.3,-0.4,-0.4,-0.1
27,St Johns,0.3,-0.1,-0.1,0.2,-0.2,-0.2,-0.3,0.0,-0.3,0.0,0.0,0.1,0.2,0.2,-0.1,-0.3,-0.2,-0.1,0.0,0.0,-0.1,0.2,0.0,-0.5,0.0,0.4
28,UMKC,0.3,-0.1,-0.1,0.0,0.2,0.3,-0.2,0.0,0.0,0.0,0.0,-0.2,0.0,-0.1,-0.1,0.0,0.0,-0.1,-0.2,0.1,-0.2,0.2,-0.4,0.0,0.0,-0.1
29,Buffalo,0.3,0.1,-0.1,-0.6,0.0,0.0,0.0,0.3,-0.2,0.0,0.0,-0.1,0.4,-0.1,-0.1,0.0,-0.1,0.0,-0.1,-0.2,0.2,0.1,0.2,-0.2,0.0,-0.3
30,Utah State,0.3,0.0,0.1,0.1,0.3,0.1,0.2,-0.2,-0.2,0.0,0.0,0.3,0.2,0.2,-0.1,0.2,0.0,-0.4,0.0,0.0,0.1,0.3,0.1,0.0,0.3,0.1
31,S Methodist,0.3,-0.2,-0.1,0.0,0.0,0.6,-0.2,0.7,0.4,0.0,0.0,-0.1,0.0,0.4,-0.3,-0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,-0.2,-0.1
32,Kansas St,0.2,0.1,0.0,0.0,0.0,-0.1,-0.2,-0.5,-0.3,0.0,0.0,0.3,0.0,0.0,0.2,0.0,-0.3,0.1,-0.4,-0.2,0.1,0.0,0.1,0.0,0.1,0.6
33,E Michigan,0.2,-0.1,-0.3,0.0,-0.4,0.0,0.1,-0.3,-0.6,0.0,0.0,0.3,-0.3,-0.1,-0.1,0.0,0.0,0.0,0.0,-0.1,-0.5,0.1,0.0,0.0,0.3,-0.1
34,Campbell,0.2,0.3,0.0,0.2,-0.4,-0.3,0.0,-0.5,-0.2,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.2,-0.3,0.1,-0.1,-0.2,0.1,-0.2,-0.2,0.1,-0.1
35,San Francisco,0.2,0.1,0.4,0.0,0.0,-0.3,0.0,-0.2,-0.3,0.0,0.0,0.2,-0.3,0.3,0.0,0.0,0.3,0.1,-0.5,0.0,0.0,0.1,0.1,0.0,-0.2,0.2
36,Boston Col,0.2,0.0,0.0,0.0,0.2,0.3,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0.0,-0.1,0.1,0.0,0.1,0.2,0.0,0.2,-0.6,0.1,-0.3,-0.2,0.1
37,TN Martin,0.2,-0.2,0.0,-0.4,-0.3,0.7,0.3,-0.4,-0.1,0.0,0.0,0.2,0.0,-0.1,-0.2,-0.1,0.0,0.3,-0.2,0.5,-0.4,-0.3,0.0,+0.3,0.0,0.0
38,Indiana,0.2,0.0,0.4,0.1,0.0,0.1,0.2,0.2,0.0,0.0,0.0,-0.2,0.4,0.0,0.0,0.2,-0.1,-0.1,-0.1,0.1,0.0,0.0,0.2,-0.3,-0.4,0.1
39,Clemson,0.2,-0.1,0.0,-0.2,-0.1,0.0,0.4,0.0,-0.5,0.0,0.0,-0.1,0.0,0.0,0.4,0.0,0.0,0.3,-0.1,-0.1,0.1,0.0,0.0,+0.2,0.3,0.2
40,UCLA,0.2,0.1,0.2,0.3,0.1,-0.1,-0.3,0.2,0.2,0.0,0.0,-0.1,-0.2,0.0,0.0,0.1,-0.1,0.1,-0.2,0.0,-0.5,0.5,-0.2,+0.7,0.1,0.0
41,Hofstra,0.2,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.4,0.0,0.3,0.0,0.1,-0.3,0.0,-0.3,-0.1,0.2,0.3,0.0,-0.1,0.0,-0.2
42,Princeton,0.2,-0.1,0.4,0.2,0.0,-0.1,0.8,-0.4,0.5,0.0,0.0,-0.4,0.2,0.7,0.1,-0.2,-0.2,0.0,0.1,0.3,-0.2,0.5,0.2,--,-0.2,0.0
43,W Michigan,0.2,0.1,0.2,-0.5,0.3,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.3,0.2,0.0,0.2,-0.2,0.2,0.1,0.4,0.2,0.0,0.6,0.0
44,Valparaiso,0.2,0.2,0.1,0.3,0.0,0.2,-0.1,0.0,-0.2,0.0,0.0,-0.2,0.0,0.4,0.3,0.2,-0.3,-0.5,-0.1,-0.2,0.0,0.0,-0.1,+0.2,0.0,-0.6
45,Temple,0.2,-0.1,-0.1,0.1,0.3,-0.1,0.3,0.0,-0.2,0.0,0.0,0.0,0.3,0.0,0.5,0.0,0.0,0.1,0.1,0.5,0.0,0.3,0.4,0.0,-0.2,0.0
46,Syracuse,0.2,0.0,0.1,0.0,0.0,0.3,0.1,0.1,0.3,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,-0.1,0.0,0.1,-0.2,0.1,0.1,+0.4,-0.3,-0.1
47,Cal St Nrdge,0.2,-0.7,-0.6,0.1,0.0,0.1,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.5,-0.2,-0.1,0.0,-0.3,0.2,0.0,+0.4,0.1,0.1
48,Loyola-Chi,0.2,0.3,0.2,0.3,0.3,0.5,-0.1,0.0,0.1,0.0,0.0,0.0,0.3,0.0,-0.4,0.1,-0.1,0.1,-0.1,0.1,0.0,0.0,0.1,+0.2,0.3,-0.1
49,Loyola Mymt,0.2,-0.2,0.0,0.0,-0.1,-0.1,0.0,-0.1,0.6,0.0,0.0,0.0,0.4,-0.1,0.6,0.2,-0.2,-0.1,0.6,0.0,0.0,0.0,0.0,+0.1,0.1,0.2
50,Loyola-MD,0.2,0.0,-0.3,-0.1,-0.5,0.2,0.0,0.0,0.2,0.0,0.0,0.0,-0.2,0.1,0.0,0.3,0.6,0.4,-0.6,-0.2,-0.1,0.5,0.2,-0.3,-0.2,0.2
51,Illinois,0.2,-0.3,-0.1,0.3,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.3,-0.1,-0.2,0.1,0.0,0.1,0.1,0.1,-0.1,-0.4,0.2,0.3,+0.4,-0.2,0.3
52,S Car State,0.2,0.2,0.1,0.3,0.3,0.1,0.0,-0.2,0.0,0.0,0.0,0.1,0.2,-0.5,0.2,-0.2,0.4,0.0,0.0,0.0,0.2,-0.3,0.2,0.0,-0.6,-0.3
53,Washington,0.2,0.4,-0.3,0.1,0.0,-0.4,0.1,0.4,-0.5,0.0,0.0,0.0,-0.2,0.2,-0.1,0.2,0.1,-0.3,0.4,0.1,-0.2,0.1,-0.2,0.0,0.0,0.3
54,Illinois St,0.2,-0.1,0.0,0.4,0.2,0.0,-0.2,0.3,-0.3,0.0,0.0,-0.3,0.0,0.2,-0.1,0.0,-0.4,0.4,-0.1,0.1,0.9,0.4,-0.1,-0.4,0.1,0.3
55,Central Mich,0.2,-0.6,-0.2,0.3,-0.3,0.0,0.2,0.0,-0.4,0.0,0.0,-0.3,0.0,-0.7,-0.1,-0.2,0.4,-0.1,-0.3,-0.4,0.3,-0.1,0.0,0.0,0.1,0.3
56,Missouri,0.2,0.0,-0.1,-0.2,0.0,-0.3,-0.3,0.1,0.1,0.0,0.0,0.0,0.2,-0.2,0.0,-0.3,0.1,0.2,0.0,0.1,0.0,-0.1,0.0,0.0,0.2,0.2
57,Penn State,0.2,0.3,-0.1,-0.1,0.0,-0.2,0.1,0.0,0.0,0.0,0.0,-0.1,-0.3,0.0,0.0,0.2,0.2,-0.6,0.2,-0.1,-0.2,-0.5,0.0,-0.3,0.0,-0.2
58,Gonzaga,0.2,0.0,0.3,0.0,0.5,0.3,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,-0.1,0.0,0.0,-0.1,0.2,0.0,0.1,0.0,0.0,+0.1,0.0,-0.2
59,Alabama St,0.2,0.4,-0.3,0.5,-0.1,0.1,0.1,0.1,-0.1,0.0,0.0,0.0,0.1,0.2,0.2,-0.4,0.5,0.1,-0.4,0.6,0.1,-0.1,0.0,0.0,0.1,0.0
60,App State,0.2,0.2,0.1,0.3,0.3,0.2,-0.2,0.0,0.1,0.0,0.0,-0.5,-0.2,0.1,-0.1,0.1,-0.6,0.0,0.0,0.4,-0.1,-0.3,0.1,+0.4,0.3,-0.1
61,Hampton,0.2,0.2,0.3,-0.1,-0.2,-0.2,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.2,-0.2,0.1,0.4,0.1,0.5,0.3,0.7,-0.9,0.1,0.0,-0.1,0.0
62,Army,0.2,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.2,-0.4,0.0,0.1,-0.2,-0.2,0.4,0.3,-0.6,-0.4,0.0,0.4,+0.4,0.1,0.1
63,Austin Peay,0.2,0.0,-0.3,0.4,0.0,0.7,0.0,0.2,0.5,0.0,0.0,-0.3,0.4,-0.3,0.1,-0.6,-0.2,0.0,0.1,0.3,-0.2,-0.1,-0.1,-0.2,0.3,-0.2
64,Cincinnati,0.2,0.0,0.0,-0.1,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.2,-0.3,0.3,-0.1,0.1,0.0,0.3,-0.3,0.1,0.0,0.2,0.3,0.0,0.0,-0.1
65,Geo Wshgtn,0.2,0.0,-0.2,-0.5,0.5,-0.2,-0.3,-0.1,0.5,0.0,0.0,0.1,0.3,-0.4,0.0,0.0,0.2,0.1,-0.2,0.0,0.0,0.0,0.1,-0.1,0.2,0.5
66,Howard,0.1,-0.2,-0.3,-0.1,-0.1,0.8,0.0,0.0,0.0,0.0,0.0,-0.1,-0.2,0.0,0.2,0.0,-0.2,-0.1,-0.3,0.0,0.1,0.0,-0.2,0.0,0.0,0.0
67,AR Lit Rock,0.1,0.3,0.0,-0.2,-0.1,0.2,0.0,-0.2,0.0,0.0,0.0,0.5,-0.3,-0.1,0.0,0.0,0.0,-0.3,0.2,0.2,-0.1,-0.3,0.0,-0.3,0.0,0.1
68,Santa Clara,0.1,0.1,0.3,0.1,-0.2,0.0,-0.2,-0.3,-0.9,0.0,0.0,0.1,-0.1,0.0,0.2,-0.1,0.2,-0.2,-0.3,0.2,0.0,0.5,-0.1,0.0,0.1,-0.1
