,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Iona,10.5%,11.4%,10.7%,9.4%,8.8%,7.7%,9.1%,10.3%,7.0%,8.8%,6.4%,5.8%,5.7%,5.8%,3.6%,4.8%,5.8%,6.1%,6.8%,4.9%,4.9%,4.5%,6.4%,7.8%,10.2%,9.5%
1,Old Dominion,10.4%,11.8%,5.8%,6.3%,6.9%,5.2%,5.9%,8.0%,6.0%,6.6%,8.6%,6.5%,5.6%,8.2%,8.8%,8.8%,7.7%,6.8%,7.5%,9.0%,8.0%,8.5%,5.1%,6.6%,5.8%,6.6%
2,Texas,10.3%,8.9%,8.7%,9.9%,6.4%,6.2%,6.7%,7.0%,8.9%,9.0%,8.8%,9.5%,9.3%,8.7%,6.7%,8.4%,10.0%,13.9%,7.8%,7.7%,8.2%,7.3%,8.0%,7.0%,6.7%,6.4%
3,Kentucky,10.1%,8.9%,9.3%,7.3%,8.1%,8.8%,6.2%,8.0%,5.4%,7.9%,8.8%,11.3%,11.8%,10.9%,14.3%,11.1%,10.6%,12.6%,9.9%,8.7%,7.9%,8.2%,8.4%,9.7%,7.1%,6.5%
4,U Mass,10.0%,9.6%,7.1%,9.3%,6.9%,6.8%,8.7%,9.0%,12.8%,12.7%,11.7%,8.9%,6.5%,6.9%,7.8%,8.6%,9.0%,7.3%,5.9%,8.9%,5.1%,5.2%,5.6%,6.9%,4.4%,6.6%
5,GA Tech,9.6%,8.6%,8.0%,7.4%,5.6%,8.9%,7.9%,8.6%,7.5%,6.7%,6.3%,8.3%,8.8%,7.9%,9.2%,7.5%,7.7%,6.3%,7.2%,9.9%,9.5%,9.0%,7.8%,6.2%,4.5%,6.9%
6,Penn State,9.6%,8.4%,5.0%,5.8%,7.3%,7.1%,4.4%,3.6%,3.4%,3.0%,4.0%,3.1%,3.3%,4.7%,5.0%,6.4%,8.6%,7.3%,8.1%,9.2%,8.8%,6.9%,8.1%,4.2%,3.8%,3.6%
7,Florida A&M,9.4%,5.0%,3.9%,6.3%,5.8%,3.6%,2.9%,2.5%,2.8%,3.1%,3.4%,3.7%,4.4%,6.8%,7.3%,6.0%,7.5%,3.8%,3.8%,5.3%,5.0%,7.0%,3.4%,4.3%,5.3%,6.3%
8,Syracuse,9.4%,11.9%,9.0%,10.7%,9.9%,11.2%,11.2%,8.1%,10.8%,11.2%,9.6%,7.6%,10.3%,11.6%,12.4%,11.6%,10.2%,9.1%,7.6%,7.9%,9.6%,8.7%,7.7%,8.2%,6.0%,8.1%
9,St Bonavent,9.2%,8.6%,5.0%,3.6%,1.4%,4.0%,3.2%,2.7%,4.5%,5.2%,3.8%,7.7%,6.9%,5.9%,7.7%,5.4%,8.0%,8.9%,7.3%,7.7%,6.2%,8.8%,5.9%,7.1%,8.3%,6.3%
10,Tulsa,9.0%,9.9%,8.3%,7.1%,7.9%,8.4%,6.5%,10.0%,6.2%,9.9%,10.2%,8.7%,9.7%,6.8%,9.2%,5.5%,6.9%,6.4%,4.8%,4.4%,3.6%,3.9%,4.0%,3.6%,4.0%,2.5%
11,F Dickinson,9.0%,7.8%,5.4%,4.1%,4.4%,4.0%,8.2%,7.8%,10.1%,5.5%,4.7%,7.4%,6.8%,6.0%,6.7%,5.4%,7.5%,5.9%,4.3%,4.1%,5.0%,6.5%,5.4%,6.4%,4.9%,3.5%
12,Duke,8.9%,9.8%,8.5%,8.0%,5.3%,9.4%,11.1%,11.0%,9.1%,8.7%,6.6%,7.0%,7.2%,7.3%,6.8%,6.6%,5.6%,6.4%,6.9%,7.8%,7.8%,10.6%,10.0%,8.0%,8.9%,7.9%
13,Tennessee,8.9%,10.5%,9.0%,9.1%,6.1%,6.3%,5.7%,5.8%,5.7%,5.4%,5.7%,6.4%,6.6%,6.7%,7.7%,7.3%,8.4%,7.0%,7.5%,7.8%,8.1%,8.9%,10.2%,8.7%,7.8%,6.9%
14,Alabama,8.8%,6.2%,6.5%,7.5%,5.4%,7.0%,5.9%,7.4%,8.3%,8.6%,7.7%,7.5%,7.3%,9.7%,8.0%,8.6%,7.8%,6.8%,9.3%,7.6%,9.1%,7.8%,6.8%,7.0%,7.6%,7.9%
15,Kansas,8.7%,7.3%,9.3%,8.5%,8.4%,8.1%,8.1%,6.7%,9.8%,11.5%,10.5%,8.0%,10.8%,7.0%,10.2%,11.3%,10.0%,8.4%,7.1%,7.4%,6.6%,6.3%,8.0%,6.7%,7.1%,6.6%
16,Florida St,8.7%,5.0%,6.4%,5.3%,5.9%,7.8%,6.5%,5.7%,4.3%,6.0%,6.8%,10.1%,11.4%,10.6%,10.8%,9.1%,9.2%,8.6%,7.0%,8.7%,8.7%,7.8%,9.5%,8.7%,8.5%,6.6%
17,Lg Beach St,8.6%,5.3%,7.2%,3.6%,5.1%,4.7%,4.6%,5.6%,5.2%,4.5%,4.1%,4.7%,4.7%,3.5%,4.8%,5.9%,4.4%,4.2%,4.4%,4.4%,5.6%,4.5%,7.1%,4.5%,5.0%,5.5%
