,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Texas,6.5,5.1,4.9,5.5,3.9,3.7,3.8,4.3,5.0,5.6,5.1,5.3,5.7,5.1,3.7,4.8,5.8,7.8,4.4,4.5,4.9,4.1,4.3,4.1,3.4,3.6
1,GA Tech,6.4,5.5,4.9,4.5,3.2,5.3,4.6,5.1,4.1,3.6,3.5,5.0,5.2,4.1,4.9,4.2,4.2,3.4,4.2,6.0,5.3,5.2,4.5,3.5,2.6,4.0
2,Iona,6.1,7.2,6.9,5.6,5.1,4.3,5.6,6.0,4.1,4.8,3.4,2.9,2.9,3.3,2.2,3.0,3.7,3.9,4.1,3.1,3.0,2.7,3.7,4.2,6.0,5.5
3,Kentucky,6.0,5.2,5.4,4.5,4.8,4.9,3.4,4.3,3.0,4.7,4.8,6.6,7.2,6.3,8.5,6.5,6.1,6.8,5.8,5.3,4.8,4.8,4.9,5.9,4.2,3.7
4,Old Dominion,5.9,7.3,3.3,3.5,3.7,2.8,3.6,4.3,3.4,3.5,4.7,3.5,2.9,4.3,4.6,4.7,3.9,3.3,3.9,4.6,4.3,4.6,2.8,3.7,3.3,3.7
5,Florida A&M,5.8,2.8,2.2,3.4,3.2,2.1,1.6,1.4,1.6,1.8,1.9,2.1,2.6,3.9,4.2,3.3,4.1,2.1,2.2,3.3,3.0,3.8,1.9,2.5,3.0,3.4
6,Penn State,5.6,4.9,3.0,3.5,3.8,3.9,2.5,2.1,1.9,1.6,2.1,1.7,1.7,2.4,2.4,3.2,4.7,4.1,4.4,5.6,4.9,3.8,4.8,2.4,2.2,2.1
7,Syracuse,5.5,6.8,5.2,6.0,5.6,7.2,6.6,4.6,6.3,7.1,6.0,5.0,6.3,6.6,6.9,6.2,5.0,5.1,4.4,4.7,5.3,4.8,4.5,5.0,3.8,5.0
8,Tennessee,5.5,6.3,5.6,5.8,3.6,3.5,3.3,3.2,3.3,3.1,3.2,3.6,3.6,3.7,4.3,3.9,4.5,3.4,4.6,4.5,4.5,5.3,5.6,4.8,4.3,3.6
9,Kansas,5.5,4.4,5.6,5.3,5.7,4.8,4.8,3.8,5.6,6.5,5.8,4.6,6.4,4.0,5.7,6.7,5.6,4.9,4.1,4.5,4.1,3.9,4.7,3.9,4.3,3.9
10,U Mass,5.4,5.4,4.0,5.1,3.7,3.8,5.2,5.2,7.2,7.5,7.3,5.5,3.9,3.9,4.8,5.2,5.4,4.2,3.5,5.1,3.0,2.9,3.2,4.1,2.6,3.8
11,Alabama,5.4,3.6,4.0,4.4,3.1,3.9,3.4,4.4,4.9,5.3,4.5,4.7,4.0,5.1,4.2,4.4,4.2,3.6,5.3,4.1,5.3,4.7,4.4,4.3,4.7,5.1
12,F Dickinson,5.3,4.0,2.9,2.4,2.7,2.3,4.3,4.4,6.3,3.2,3.0,4.4,4.0,3.5,3.8,3.3,4.1,3.1,2.5,2.3,3.0,3.8,3.2,3.9,3.0,1.9
13,Tulsa,5.1,5.3,4.6,4.2,4.6,4.9,3.8,5.7,3.3,5.3,5.9,4.8,5.6,3.7,4.9,3.0,3.7,3.5,2.8,2.5,2.2,2.4,2.3,2.0,2.2,1.5
14,St Bonavent,5.1,4.7,2.7,2.0,0.8,2.3,1.9,1.5,2.7,3.1,2.1,4.6,3.9,3.4,4.2,2.9,4.2,4.8,4.3,4.3,3.5,4.8,3.3,4.0,4.8,3.4
15,Florida St,5.1,2.8,3.9,3.1,3.5,4.5,3.6,3.2,2.4,3.3,3.9,5.8,6.3,6.0,6.1,5.1,5.3,4.8,4.1,5.1,5.3,4.4,5.2,5.1,4.9,3.9
16,Fresno St,5.1,4.7,4.7,6.0,5.5,4.3,2.9,4.0,3.9,6.5,3.0,4.7,4.3,3.5,3.2,3.4,4.2,3.5,3.7,3.6,3.3,3.4,3.7,2.6,2.8,3.3
17,Duke,5.1,6.2,5.6,5.1,3.2,5.4,6.5,6.7,5.6,4.8,3.9,3.9,4.0,4.4,4.0,3.8,3.0,3.8,4.3,4.6,5.0,6.8,6.1,4.5,5.6,4.5
18,NC-Asheville,5.0,3.1,3.3,3.7,4.1,3.0,4.3,3.9,2.2,4.3,5.4,3.9,5.3,4.3,2.2,5.0,5.5,4.4,3.2,1.9,3.2,2.8,2.3,4.4,4.9,4.0
19,Lg Beach St,5.0,2.9,4.2,2.0,2.9,2.6,2.6,3.0,3.3,2.7,2.3,2.6,2.7,2.0,2.7,3.5,2.5,2.3,2.5,2.6,3.5,2.8,4.3,2.9,2.9,3.4
