,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,LIU-Brooklyn,1.033,0.934,0.912,0.905,0.939,0.941,0.897,0.915,0.94,0.964,0.985,0.978,0.967,0.97,0.921,0.943,0.944,0.949,0.966,0.954,0.93,0.917,,,,
1,S Methodist,1.031,1.045,1.045,1.008,0.974,0.945,0.928,0.964,0.931,0.921,0.894,0.938,0.927,0.871,0.9,0.92,0.947,0.962,0.993,0.998,0.972,0.986,0.957,0.929,0.939,0.94
2,Miss Val St,1.02,0.962,0.989,1.026,0.978,1.037,1.014,0.973,0.937,0.936,0.945,0.945,0.892,0.906,0.964,0.933,0.928,0.93,0.94,0.946,0.959,0.95,0.934,0.838,0.931,0.884
3,W Virginia,1.013,0.943,0.935,0.939,0.939,0.92,0.933,0.953,0.97,0.971,0.992,1.019,1.031,1.005,1.003,0.984,1.01,1.018,1.006,1.007,1.012,0.96,0.99,1.000,0.957,0.957
4,Duke,1.008,0.988,0.972,0.985,0.958,0.974,0.97,0.977,0.926,0.937,0.966,1.002,1.033,0.979,0.979,0.966,1.015,0.991,1.007,0.972,0.993,0.987,0.974,0.957,0.984,0.98
5,TX Christian,1.002,0.951,0.979,0.994,1.005,0.951,0.944,0.96,0.941,0.918,0.95,0.922,0.916,0.941,0.944,0.935,0.934,0.999,0.929,0.958,0.956,0.942,0.931,0.919,0.956,0.978
6,Temple,0.997,1.038,1.055,1.064,1.023,1.031,1.059,1.064,1.053,0.957,0.927,0.963,0.987,0.986,0.956,0.984,0.996,1.014,1.005,0.955,0.965,0.96,0.931,0.921,0.971,0.919
7,IL-Chicago,0.996,0.935,0.948,0.996,0.97,0.993,0.979,0.981,0.974,1.003,0.934,0.969,0.941,0.921,0.932,0.924,0.944,0.963,0.94,0.913,0.912,0.898,0.889,0.912,0.939,0.909
8,North Texas,0.992,0.956,0.955,0.885,0.937,0.91,0.946,0.942,0.942,0.97,0.939,0.975,0.925,0.92,0.95,0.941,0.952,0.94,0.939,0.93,0.947,0.934,0.904,0.914,0.958,0.947
9,Chattanooga,0.989,0.969,0.942,0.949,0.956,0.931,0.924,0.926,0.932,0.921,0.903,0.934,0.908,0.925,0.949,0.954,0.971,0.951,0.959,0.928,0.908,0.912,0.934,0.934,0.968,0.94
10,S Illinois,0.988,0.94,0.936,0.949,0.978,0.958,0.993,0.961,0.938,0.925,0.935,0.911,0.931,0.915,0.95,0.954,0.955,0.932,0.941,0.959,0.918,0.909,0.891,0.884,0.914,0.9
11,DePaul,0.988,1.004,0.97,0.957,0.948,0.955,0.978,1.0,0.968,0.978,0.983,0.98,0.988,0.942,0.96,0.941,0.954,0.92,0.921,0.93,0.954,0.943,0.938,0.927,0.974,0.928
12,S Florida,0.987,0.958,0.927,0.957,0.952,0.954,0.903,0.924,0.882,0.916,0.967,0.979,0.974,0.936,0.93,0.976,0.948,0.931,0.947,0.899,0.907,0.931,0.928,0.944,0.952,0.948
13,Stanford,0.987,0.983,0.961,0.946,0.994,0.975,0.944,0.951,0.935,0.965,0.998,0.951,0.955,0.946,0.951,0.981,0.958,0.983,0.965,0.945,0.926,0.912,0.882,0.884,0.929,0.951
14,Richmond,0.986,0.935,0.931,0.961,0.97,0.97,0.97,0.941,0.908,0.887,0.899,0.946,0.948,0.972,0.953,0.934,0.957,0.939,0.955,0.921,0.931,0.924,0.939,0.934,0.951,0.921
15,Colorado,0.985,0.95,0.981,0.948,0.984,0.984,0.951,0.97,1.007,0.935,0.911,0.868,0.905,0.977,0.932,0.952,0.957,0.956,0.971,0.975,0.921,0.929,0.935,0.951,0.925,0.945
16,Michigan St,0.985,0.988,0.962,1.005,0.931,0.929,0.903,0.965,0.937,0.935,0.959,0.981,0.968,0.96,0.962,0.951,0.971,0.98,0.987,0.922,0.962,0.957,0.958,0.953,0.941,0.947
17,Mississippi,0.984,0.943,0.928,0.947,0.915,0.926,0.93,0.923,0.92,1.006,0.996,0.973,0.988,0.968,0.958,0.997,0.996,0.989,0.989,0.951,0.978,0.936,0.918,0.944,0.939,0.969
18,Clemson,0.983,0.957,0.946,0.933,0.978,0.974,0.918,0.937,0.976,0.984,0.997,0.984,0.955,0.955,0.97,0.967,0.976,0.982,0.984,0.985,0.941,0.923,0.917,0.922,0.945,0.936
19,La Salle,0.983,0.944,0.969,0.974,0.964,0.952,0.973,0.912,0.95,0.962,0.932,0.955,0.951,0.948,0.922,0.956,0.967,0.934,0.92,0.915,0.945,0.925,0.919,0.908,0.944,0.958
20,Santa Clara,0.983,0.935,0.958,0.961,0.944,0.932,0.964,0.979,0.954,0.943,0.862,0.888,0.924,0.968,0.98,0.971,0.982,0.96,0.938,0.918,0.94,0.896,0.897,0.920,0.93,0.954
21,Georgetown,0.982,0.976,0.958,0.994,0.963,0.95,0.94,0.937,0.972,0.954,0.922,0.916,0.92,0.928,0.959,0.929,0.956,0.96,0.929,0.914,0.922,0.943,0.95,0.924,0.968,0.96
22,N Carolina,0.982,0.936,0.942,0.942,0.905,0.931,0.979,0.951,0.942,0.995,0.995,1.005,0.978,0.989,1.025,0.993,1.007,0.987,1.028,1.027,0.998,0.979,0.985,0.990,0.976,0.983
23,St Johns,0.982,1.009,0.989,0.952,0.982,1.02,0.971,0.938,0.939,0.946,0.925,0.962,0.989,0.961,0.967,0.982,0.981,0.969,0.914,0.94,0.943,0.951,0.988,0.957,0.979,0.968
24,Vermont,0.981,0.983,0.989,0.949,0.992,0.955,0.965,0.991,0.926,0.968,0.933,0.929,0.961,0.965,0.965,0.947,0.957,0.907,0.92,0.956,0.929,0.949,0.952,0.930,0.942,0.938
25,Arizona,0.981,0.956,0.941,0.961,0.957,0.988,0.963,0.963,0.982,0.97,0.926,0.956,0.918,0.95,0.945,0.951,1.002,0.981,0.956,0.963,0.956,0.955,0.969,0.976,0.962,0.938
26,Kentucky,0.981,0.964,0.969,0.958,0.992,0.97,0.947,0.973,0.977,0.941,0.9,0.893,0.981,0.997,0.994,0.96,1.012,1.014,1.0,0.989,0.967,0.966,0.943,0.955,0.998,1.005
27,Youngs St,0.98,0.956,0.91,0.933,0.928,0.933,0.915,0.905,0.959,0.962,0.903,0.96,0.941,0.959,0.948,0.95,0.943,0.939,0.94,0.952,0.964,0.972,0.993,0.991,0.955,0.966
28,N Iowa,0.979,0.888,0.893,0.882,0.935,0.915,0.929,0.942,0.928,0.944,0.915,0.936,0.964,0.959,0.939,0.913,0.952,0.928,0.917,0.905,0.936,0.922,0.931,0.924,0.915,0.914
29,Chicago St,0.979,0.93,0.942,0.9,0.906,0.906,0.945,0.941,0.966,0.97,0.909,0.972,0.936,0.901,0.897,0.932,0.953,0.928,0.942,0.933,0.901,0.862,0.814,0.850,0.925,0.936
30,Dayton,0.978,0.951,0.989,0.962,0.992,0.99,0.977,0.958,0.953,0.953,0.955,0.985,0.949,0.979,0.966,0.93,0.961,0.911,0.937,0.934,0.905,0.916,0.923,0.873,0.931,0.942
31,Fresno St,0.978,0.967,0.956,0.925,0.931,0.955,0.951,0.931,0.957,0.945,0.938,0.926,0.932,0.961,0.986,0.952,0.961,0.937,0.987,0.929,0.936,0.938,0.952,0.923,0.944,0.926
32,Southern,0.978,0.964,0.929,0.942,0.94,0.939,0.932,0.918,0.922,0.896,0.906,0.914,0.903,0.884,0.895,0.941,0.932,0.943,0.958,0.952,0.966,0.891,0.939,0.901,0.909,0.897
33,Georgia,0.978,0.948,0.905,0.933,0.971,0.993,0.942,0.921,0.94,0.973,0.958,0.912,0.936,0.958,0.99,0.917,0.956,0.951,0.95,0.934,0.969,0.911,0.936,0.921,0.89,0.937
34,Alabama,0.978,0.931,0.931,0.995,0.972,0.984,0.964,0.952,0.966,0.993,0.99,0.961,0.962,0.955,0.944,0.947,0.945,0.942,0.934,0.955,0.924,0.944,0.942,0.957,0.96,0.97
35,Cincinnati,0.976,0.976,0.968,1.017,1.0,1.005,0.993,0.994,0.997,1.0,0.957,0.986,0.992,1.001,1.016,0.997,1.012,0.957,1.015,1.01,1.008,1.007,0.934,0.917,0.993,0.986
36,W Illinois,0.976,0.926,0.875,0.926,0.952,0.905,0.868,0.907,0.937,0.921,0.934,0.914,0.911,0.881,0.916,0.912,0.889,0.905,0.933,0.896,0.886,0.937,0.944,0.961,0.975,0.969
37,Rhode Island,0.976,0.97,0.899,0.924,0.954,0.996,0.999,0.987,0.985,0.974,0.974,0.978,1.01,0.973,0.995,0.946,0.932,0.929,0.962,0.989,0.991,0.965,0.99,0.931,0.916,0.93
38,Florida Intl,0.976,0.906,0.941,0.915,0.925,0.95,0.856,0.892,0.882,0.929,0.867,0.925,0.948,0.932,0.926,0.921,0.942,0.896,0.94,0.934,0.966,0.936,0.933,0.905,0.918,0.891
39,Murray St,0.974,0.986,0.967,0.948,1.0,0.977,0.962,0.99,0.99,0.934,0.917,0.973,0.952,0.933,0.936,0.936,0.965,0.991,0.95,0.976,0.961,0.966,0.92,0.922,0.987,0.954
40,Kansas,0.972,0.949,0.972,0.948,0.974,0.972,0.945,0.944,0.945,0.978,0.968,0.942,0.983,0.97,0.956,0.94,0.962,0.963,0.954,0.973,0.956,0.948,0.953,0.974,0.968,0.948
41,E Michigan,0.972,0.911,0.955,0.891,0.904,0.953,0.908,0.919,0.881,0.893,0.93,0.912,0.945,0.916,0.923,0.926,0.962,0.958,0.964,0.982,0.945,0.953,0.896,0.941,0.907,0.931
42,Troy,0.971,0.946,0.944,0.968,0.959,1.003,1.023,0.948,0.975,0.98,0.96,0.962,0.96,0.949,0.992,0.987,0.973,0.932,0.964,0.953,0.936,0.918,0.942,0.916,0.921,0.942
43,Charlotte,0.971,0.972,0.974,0.978,0.966,0.991,0.972,0.994,1.002,1.005,0.954,0.976,0.984,0.925,0.938,0.942,0.942,0.96,0.97,0.922,0.909,0.868,0.881,0.891,0.917,0.919
44,Connecticut,0.97,0.968,0.98,0.977,0.945,0.976,0.997,0.977,0.99,1.009,0.976,1.002,0.961,1.012,0.982,0.937,0.953,0.94,0.958,0.943,0.947,0.954,0.956,1.003,1.004,0.981
45,NC-Wilmgton,0.97,0.968,0.932,0.957,0.968,0.962,0.942,0.974,0.974,0.936,0.92,0.929,0.933,0.946,0.966,0.943,0.984,0.967,0.982,1.009,0.995,0.96,0.914,0.954,0.983,0.936
46,Minnesota,0.969,0.939,0.93,0.952,0.955,0.948,0.964,0.918,0.949,0.903,0.951,0.939,0.958,0.971,0.923,0.986,0.947,0.949,0.951,0.968,0.981,0.967,0.973,0.977,0.93,0.909
47,Oklahoma St,0.969,0.968,0.94,0.911,0.973,0.946,0.955,0.94,0.904,0.933,0.935,0.952,0.947,0.947,0.933,0.958,0.977,0.928,0.939,0.978,0.975,0.933,0.937,0.920,0.933,0.934
48,Drexel,0.969,0.973,0.95,0.915,0.993,0.942,0.928,0.96,0.979,0.944,0.89,1.014,0.988,1.002,0.964,0.97,1.003,0.956,0.964,0.956,0.96,0.949,0.913,0.920,0.95,0.95
49,Arkansas,0.968,0.974,0.965,0.96,0.937,0.942,0.968,0.957,0.966,0.939,0.947,0.961,0.939,0.937,0.953,0.986,0.988,0.995,0.977,0.967,0.969,0.935,0.932,0.971,0.96,0.948
50,Seton Hall,0.968,0.955,0.958,0.981,0.959,0.945,0.957,0.962,0.962,1.003,0.984,0.978,1.025,0.96,0.962,0.904,0.925,0.976,0.968,0.975,0.973,0.954,0.941,0.943,0.975,0.926
51,Mt St Marys,0.966,0.933,0.93,0.888,0.934,0.937,0.952,0.918,0.94,0.949,0.923,0.963,0.941,0.904,0.903,0.947,0.951,0.951,0.953,0.905,0.926,0.919,0.96,0.943,0.932,0.91
52,U Mass,0.966,0.974,0.96,0.954,0.947,0.91,0.939,0.926,0.924,0.971,0.963,0.928,0.986,0.968,0.958,0.941,0.95,0.946,0.935,0.918,0.929,0.935,0.925,0.944,0.959,0.955
53,Col Charlestn,0.964,0.958,0.948,0.963,0.981,0.936,0.929,0.971,0.965,0.935,0.936,0.97,0.949,0.967,0.951,0.947,0.959,0.938,0.946,0.95,0.956,0.951,0.938,0.940,0.951,0.998
54,Ball State,0.964,0.957,0.969,0.983,0.96,0.987,0.968,0.986,0.933,0.979,0.949,0.945,0.916,0.949,0.954,0.929,0.901,0.916,0.928,0.914,0.939,0.912,0.913,0.922,0.921,0.953
55,Wake Forest,0.964,0.919,0.984,0.967,0.96,0.977,0.966,0.975,0.95,0.939,0.964,0.941,0.983,0.892,0.918,0.912,0.942,0.953,0.952,0.963,0.952,0.963,0.921,0.909,0.917,0.925
56,Northeastrn,0.963,0.909,0.898,0.908,0.956,0.955,0.964,0.943,0.961,0.938,0.951,0.941,0.947,0.939,0.912,0.935,0.946,0.901,0.931,0.917,0.901,0.926,0.917,0.890,0.896,0.927
57,Colorado St,0.963,0.936,0.893,0.923,0.882,0.907,0.887,0.901,0.887,0.901,0.909,0.939,0.919,0.926,0.92,1.026,1.022,0.998,0.987,0.991,0.957,0.928,0.92,0.899,0.939,0.909
58,Geo Wshgtn,0.963,1.004,1.016,0.972,0.931,0.946,0.953,0.957,0.981,0.968,0.941,0.923,0.969,0.982,0.968,0.94,0.966,0.986,0.982,0.954,0.952,0.923,0.903,0.906,0.922,0.933
59,Purdue,0.963,0.94,0.96,0.938,0.912,0.937,0.956,0.946,0.881,0.955,0.96,0.959,0.965,0.987,1.007,0.979,0.996,0.959,0.969,0.939,0.949,0.997,0.991,0.963,0.971,0.999
60,Texas,0.962,0.954,0.941,0.972,0.999,1.022,1.048,0.973,0.991,1.015,1.033,1.0,0.997,1.001,0.989,0.946,1.017,0.97,0.992,0.928,0.966,0.97,0.91,0.928,0.963,0.96
61,Hawaii,0.962,0.882,0.914,0.905,0.946,0.935,0.955,0.979,0.949,0.924,0.932,0.937,0.961,0.906,0.931,0.949,0.989,0.961,0.949,0.908,0.917,0.939,0.936,0.927,0.929,0.939
62,LA Lafayette,0.961,0.969,0.963,0.953,0.947,0.945,0.952,0.962,0.894,0.985,0.943,0.947,0.946,0.938,0.917,0.934,0.978,0.946,1.001,0.977,0.975,0.96,0.937,0.932,0.926,0.964
63,Navy,0.96,0.926,0.909,0.931,0.915,0.885,0.882,0.929,0.911,0.866,0.932,0.933,0.918,0.891,0.914,0.933,0.938,0.936,0.943,0.958,0.921,0.941,0.967,0.963,0.954,0.959
64,Texas A&M,0.96,0.904,0.914,0.939,0.912,0.925,0.986,0.936,0.935,0.96,0.962,0.974,0.973,0.963,0.932,0.944,0.952,0.952,0.988,0.958,0.962,0.949,0.922,0.925,0.953,0.981
65,Oklahoma,0.96,0.961,0.979,0.979,1.021,0.986,0.977,0.975,0.977,0.976,0.959,0.961,0.955,0.901,0.98,0.978,0.989,0.968,0.954,0.948,0.947,0.939,0.943,0.966,0.879,0.891
66,Gonzaga,0.96,0.946,0.96,0.933,0.97,0.949,0.96,0.969,0.967,0.947,0.938,0.966,0.949,0.95,0.943,0.989,0.952,0.973,0.96,0.955,0.975,0.973,0.985,0.950,0.961,0.978
67,W Carolina,0.959,0.884,0.949,0.876,0.909,0.924,0.872,0.919,0.919,0.975,0.962,0.973,0.961,0.968,0.975,0.976,0.985,0.957,0.938,0.915,0.921,0.866,0.915,0.896,0.965,0.953
68,E Carolina,0.959,0.93,0.937,0.936,0.942,0.984,0.951,0.952,0.935,0.942,0.929,0.96,0.9,0.925,0.93,0.94,0.944,0.948,0.93,0.939,0.917,0.935,0.926,0.932,0.933,0.959
69,Detroit,0.959,0.939,0.944,0.989,0.986,0.964,0.945,0.979,0.969,0.97,0.93,0.878,0.927,0.933,0.967,0.986,0.967,0.932,0.961,0.915,0.929,0.973,0.951,0.947,0.948,0.992
70,Weber State,0.958,0.948,0.922,0.955,0.948,0.956,0.963,0.941,0.92,0.902,0.874,0.875,0.968,0.924,0.955,0.934,0.926,0.923,0.917,0.916,0.898,0.919,0.924,0.909,0.919,0.888
71,UNLV,0.958,0.951,0.967,0.943,0.94,0.927,0.906,0.938,0.947,1.015,0.977,0.958,0.956,0.965,0.954,0.95,0.998,0.949,0.936,0.957,0.954,0.973,0.958,0.930,0.957,0.953
72,Iona,0.957,0.937,0.933,0.904,0.906,0.931,0.939,0.938,0.954,0.922,0.896,0.905,0.931,0.969,0.955,0.966,0.96,0.946,0.954,0.952,0.941,0.929,0.894,0.908,0.963,0.996
73,Jackson St,0.956,0.924,0.923,0.935,0.929,0.906,0.916,0.931,0.924,0.957,0.928,0.939,0.957,0.934,0.929,0.948,0.937,0.963,0.981,0.985,0.985,0.931,0.937,0.919,0.946,0.928
74,Wichita St,0.956,0.894,0.935,0.922,0.929,0.917,0.916,0.932,0.963,0.967,0.953,0.937,0.948,0.964,0.967,0.983,0.991,1.009,0.997,0.982,0.982,0.976,0.966,0.975,0.964,0.94
75,St Josephs,0.955,0.977,0.979,0.937,0.979,0.958,0.956,0.94,0.93,0.95,0.942,0.942,0.933,0.961,0.943,0.958,0.945,0.958,0.974,0.965,0.967,0.965,0.938,0.907,0.917,0.945
76,Middle Tenn,0.955,0.888,0.923,0.886,0.892,0.901,0.939,0.96,0.947,0.913,0.907,0.974,0.934,0.933,0.941,0.958,0.963,0.945,0.963,0.97,0.948,0.921,0.918,0.893,0.936,0.944
77,CS Fullerton,0.955,0.919,0.92,0.874,0.917,0.962,0.962,0.985,0.956,0.974,0.962,0.957,0.93,0.928,0.934,0.92,0.954,0.939,0.945,0.914,0.887,0.91,0.917,0.920,0.947,0.94
78,Stetson,0.955,0.974,1.002,0.998,0.946,0.976,0.96,0.943,0.928,0.924,0.906,0.968,0.913,0.91,0.903,0.893,0.936,0.928,0.936,0.941,0.956,0.958,0.907,0.927,0.927,0.968
79,Marquette,0.955,0.935,0.961,0.959,0.969,0.968,0.964,0.967,0.938,0.989,0.986,0.991,0.976,0.98,0.96,0.952,0.978,0.931,0.92,0.931,0.934,0.924,0.942,0.911,0.915,0.952
80,New Mexico,0.954,0.949,0.924,0.972,0.978,0.958,0.933,0.923,0.928,0.967,0.959,0.946,1.004,0.956,0.948,0.952,0.982,0.945,0.906,0.925,0.934,0.934,0.923,0.936,0.94,0.953
81,Canisius,0.953,0.929,0.931,0.963,0.975,0.94,0.942,0.945,0.935,0.969,0.92,0.921,0.948,0.956,0.943,0.963,0.972,0.976,0.982,0.945,0.935,0.923,0.918,0.956,0.955,0.953
82,E Washingtn,0.953,0.943,0.967,0.87,0.851,0.883,0.891,0.881,0.913,0.937,0.92,0.945,0.907,0.957,0.982,0.946,0.959,0.967,0.951,0.942,0.923,0.935,0.938,0.925,0.919,0.913
83,Mercer,0.953,0.96,0.953,0.924,0.919,0.944,0.934,0.945,0.948,0.91,0.958,0.953,0.93,0.933,0.91,0.93,0.956,0.974,0.973,0.967,0.939,0.929,0.92,0.922,0.918,0.958
84,E Illinois,0.952,0.952,0.947,0.947,0.938,0.97,0.919,0.907,0.909,0.947,0.91,0.935,0.938,0.929,0.942,0.915,0.923,0.909,0.949,0.97,0.937,0.948,0.96,0.928,0.847,0.92
85,TX El Paso,0.952,0.936,0.931,0.893,0.901,0.874,0.97,0.959,0.935,0.963,0.967,0.99,0.94,0.919,0.907,0.915,0.937,0.94,0.933,0.904,0.91,0.888,0.905,0.950,0.933,0.917
