,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,LIU-Brooklyn,77.4,62.3,60.6,59.1,65.3,63.0,56.7,56.4,57.1,57.1,60.9,57.3,58.1,60.9,57.1,56.1,57.0,57.5,60.8,57.4,58.1,58.2,,,,
1,TX Christian,74.5,62.7,67.0,64.9,69.5,61.0,54.9,57.4,55.8,52.5,57.6,50.9,52.7,57.1,56.8,49.0,51.9,54.8,54.8,58.5,59.8,58.6,55.9,54.9,57.7,60.8
2,North Texas,73.7,68.1,64.6,56.8,58.4,57.9,59.0,59.7,61.1,59.2,56.3,57.7,52.6,52.5,58.3,55.4,57.1,53.9,56.6,58.4,58.6,57.5,52.4,53.4,50.4,51.1
3,Miss Val St,71.8,65.4,71.2,69.4,64.1,65.7,62.1,58.1,50.0,52.2,52.8,57.8,54.3,58.0,59.6,57.3,60.0,59.7,60.8,60.7,61.8,59.4,67.7,56.1,61.5,52.5
4,Fresno St,68.1,64.6,63.7,61.5,60.2,55.9,51.2,58.3,61.2,57.4,58.3,53.9,53.7,56.1,55.2,51.7,55.0,52.3,60.5,56.5,55.7,58.2,56.6,53.0,53.1,54.0
5,Arizona,67.1,60.5,58.1,58.7,60.0,66.0,64.6,60.9,61.7,57.1,51.8,54.1,54.2,54.3,51.8,55.2,55.9,54.4,57.9,55.4,57.3,58.2,59.5,57.4,61.3,59.2
6,Arkansas,66.9,64.6,63.8,64.2,61.3,55.6,58.1,56.4,57.4,54.6,57.2,60.7,58.1,55.9,58.2,61.3,61.9,61.0,62.3,60.1,60.5,58.9,57.0,64.8,60.6,57.3
7,Florida Intl,66.8,53.7,57.4,49.4,55.9,52.5,48.3,52.7,52.5,55.4,51.5,52.5,58.8,54.3,52.2,56.1,53.6,51.5,55.8,57.4,60.1,64.3,60.9,60.0,58.5,58.0
8,W Virginia,66.6,57.8,58.4,58.0,61.4,54.4,52.6,55.1,56.7,55.7,58.4,59.0,57.6,55.3,58.0,55.2,59.8,61.1,60.1,63.1,64.2,60.5,59.1,61.8,57.1,57.4
9,Arizona St,66.2,61.3,64.0,60.6,61.5,57.3,55.5,57.5,54.3,51.2,48.7,49.1,49.9,54.0,46.4,56.1,56.1,53.5,60.0,62.0,60.0,59.2,61.4,60.6,60.4,60.1
10,Texas A&M,66.0,56.2,55.8,57.1,57.0,59.0,60.4,51.6,52.5,53.6,54.0,53.9,54.0,51.7,52.8,52.8,53.6,53.8,59.7,56.6,60.6,57.6,52.3,53.7,57.9,55.2
11,Kansas,64.8,59.2,66.5,60.3,67.0,60.4,57.8,56.1,57.9,59.0,57.7,56.4,58.6,57.7,55.4,55.4,55.3,54.9,57.7,60.9,60.7,59.1,56.3,60.3,59.8,59.5
12,Texas,64.7,55.1,54.9,58.5,61.6,62.3,62.0,57.5,57.6,61.9,60.0,58.9,63.5,58.3,56.7,55.3,59.9,54.0,57.1,55.9,59.1,58.0,55.8,57.3,55.5,60.2
13,TX-Pan Am,64.6,65.8,54.5,57.4,57.3,55.9,57.5,53.7,52.1,48.0,52.6,51.2,54.0,52.3,51.2,52.6,56.7,51.6,56.7,63.9,62.1,57.4,59.1,59.8,55.5,56.0
14,Prairie View,64.3,68.9,66.2,63.6,60.4,56.2,54.5,56.5,60.3,58.1,55.2,57.9,56.1,58.7,58.9,59.9,57.2,58.2,55.7,55.7,59.8,58.8,56.9,60.2,56.1,58.9
15,Chicago St,64.1,56.9,56.3,56.4,55.0,53.2,53.5,54.3,57.1,58.5,59.3,64.6,56.5,58.8,57.8,58.9,59.0,53.5,60.4,59.8,58.1,53.9,47.8,55.2,56.0,55.1
16,E Michigan,63.7,55.6,61.9,50.1,52.4,58.0,53.7,54.0,49.8,52.0,51.0,50.6,53.1,53.5,48.3,50.7,53.9,55.2,58.7,60.9,57.1,55.5,51.8,59.5,58.7,58.7
17,S Illinois,63.3,56.5,58.0,54.6,58.8,58.1,59.2,55.9,51.7,46.8,49.7,51.1,53.9,50.6,54.9,52.7,51.8,49.3,57.1,56.7,55.1,53.8,50.3,51.6,51.7,51.8
18,USC,63.0,60.9,61.3,57.2,63.9,66.0,61.7,62.1,56.2,53.8,51.8,52.7,51.7,53.9,51.8,57.0,56.9,58.2,62.9,59.4,60.4,61.8,57.4,58.1,58.9,56.9
19,E Washingtn,63.0,61.8,60.0,49.8,49.3,51.2,52.1,52.0,54.5,58.8,53.3,54.6,57.2,55.3,59.5,58.4,57.3,58.5,57.7,58.3,57.2,59.7,62.6,58.8,57.6,55.2
20,VA Military,63.0,61.2,62.1,59.9,65.2,58.1,51.7,53.6,56.1,78.6,70.0,69.9,71.6,64.3,59.1,63.3,68.1,67.4,59.3,58.4,57.0,60.8,60.5,59.8,58.5,59.0
21,Duke,62.8,62.1,63.9,64.9,63.1,60.0,58.4,58.0,55.9,53.2,61.3,59.1,59.5,59.6,56.3,56.5,57.7,56.3,59.3,57.9,61.8,63.6,63.1,61.6,60.4,57.6
22,Alabama,62.8,56.8,57.2,61.1,59.2,57.0,54.6,52.6,53.6,57.8,60.9,59.4,56.1,55.8,52.2,52.2,51.8,50.5,53.0,56.1,54.9,57.2,63.1,64.4,62.8,62.5
23,Wagner,62.7,54.8,68.2,65.0,64.2,57.4,55.9,54.3,55.5,56.9,59.5,53.6,54.2,51.5,57.0,55.9,59.5,60.1,59.0,56.5,59.2,56.1,58.8,60.3,59.6,57.3
24,SE Louisiana,62.5,61.3,50.8,46.8,48.7,55.3,56.8,49.4,54.0,57.0,50.5,55.5,52.5,55.2,51.9,54.0,53.5,54.8,55.5,55.5,55.4,52.0,60.3,57.6,57.0,60.0
25,TX Southern,62.3,55.3,59.2,56.5,56.7,52.2,53.1,54.8,55.5,55.8,57.8,52.3,53.1,50.7,50.2,56.9,54.1,52.6,56.2,57.6,58.6,62.9,60.0,59.4,57.9,58.9
26,Pittsburgh,62.1,60.7,57.3,54.6,56.4,53.5,53.5,54.0,55.8,55.0,58.1,60.2,53.3,54.9,55.5,53.8,54.0,54.6,57.8,55.3,52.3,55.8,56.6,58.3,50.9,57.8
