,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TX Christian,36.8,30.6,30.1,29.3,29.6,25.9,22.8,23.6,20.7,21.7,23.0,21.5,23.3,24.9,24.4,19.4,20.8,24.0,22.2,27.2,29.7,26.8,23.4,24.0,25.4,27.6
1,LIU-Brooklyn,33.7,26.2,24.7,24.4,28.3,27.6,24.2,23.6,23.4,22.6,24.6,23.4,23.3,28.1,27.1,26.9,24.4,22.6,26.2,25.0,26.4,25.2,,,,
2,Arizona,32.7,28.3,26.6,27.9,27.5,30.4,31.4,29.1,27.5,27.3,24.6,25.6,24.0,25.5,22.7,25.1,26.2,26.6,27.8,26.4,28.8,24.8,26.6,25.7,30.2,29.2
3,Kansas,31.9,26.3,30.6,30.0,33.5,29.8,27.0,26.7,27.3,29.1,29.2,27.0,28.7,29.3,26.3,26.6,27.3,24.1,28.2,29.8,29.9,27.5,27.1,26.1,28.6,27.8
4,Arizona St,31.8,26.8,27.5,26.9,28.0,27.4,23.9,26.0,23.4,20.9,22.6,23.6,22.5,23.2,21.1,25.8,25.3,23.8,24.9,26.9,27.8,26.4,26.3,26.2,25.0,25.3
5,Florida Intl,31.0,24.4,24.9,20.7,24.0,21.6,19.2,23.1,21.4,23.2,22.6,21.9,24.4,23.6,21.6,23.9,23.6,22.5,26.1,25.7,25.3,27.5,27.2,25.5,24.6,26.8
6,W Virginia,30.2,24.9,26.3,25.9,26.0,24.5,22.8,24.8,25.2,25.3,26.4,25.3,24.8,23.7,25.4,22.6,26.2,24.9,26.9,28.6,28.0,25.0,25.0,26.5,23.6,25.9
7,E Michigan,30.2,21.8,26.6,21.2,22.0,26.8,24.2,23.8,22.3,21.8,21.5,19.8,22.1,20.5,18.1,19.8,21.3,22.6,25.7,26.6,26.1,24.0,21.3,24.3,25.1,25.8
8,Fresno St,30.1,29.6,30.0,28.9,25.9,24.9,22.2,25.5,25.1,23.9,24.1,23.5,22.8,23.7,22.5,19.6,23.9,21.9,26.1,25.5,27.0,26.4,23.5,22.5,23.6,23.2
9,Arkansas,29.9,28.8,27.4,28.4,26.7,21.8,24.2,25.8,26.3,25.2,26.7,26.6,25.9,24.4,25.3,26.6,27.3,27.2,27.6,27.7,28.7,26.3,25.3,29.2,26.3,26.7
10,Duke,29.9,31.9,30.7,31.2,31.2,27.2,27.5,25.8,27.2,24.9,28.4,26.2,26.3,28.1,25.7,26.7,26.5,28.3,27.3,27.5,30.4,30.4,29.7,28.8,29.7,26.0
11,Kentucky,29.8,27.9,24.0,29.1,27.6,28.5,26.9,26.5,25.8,26.2,23.7,25.9,28.1,26.4,27.5,26.2,25.2,25.8,28.6,29.8,27.0,26.4,25.6,24.6,30.3,27.3
12,N Carolina,29.8,25.5,28.2,28.6,25.3,25.7,29.2,30.5,27.8,31.2,32.3,31.4,27.4,28.2,29.8,28.0,28.0,28.9,30.9,30.5,29.9,31.1,26.2,27.6,27.6,26.2
13,UCLA,29.6,29.0,28.8,28.2,27.3,27.8,24.9,25.8,24.1,26.1,26.5,27.6,24.5,24.4,25.5,27.5,29.0,25.8,28.6,33.6,28.1,27.8,24.1,26.8,27.6,27.9
