,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Kentucky,39.0,37.0,32.0,34.0,31.0,36.0,32.0,34.0,35.0,34.0,31.0,36.0,38.0,38.0,39.0,33.0,38.0,39.0,36.0,38.0,37.0,37.0,31.0,25.0,34.0,34.0
1,Kansas,38.0,32.0,33.0,31.0,35.0,34.0,32.0,30.0,32.0,38.0,37.0,35.0,36.0,38.0,38.0,37.0,35.0,36.0,37.0,36.0,39.0,36.0,30.0,29.0,40.0,36.0
2,N Carolina,38.0,34.0,36.0,33.0,28.0,35.0,30.0,37.0,31.0,38.0,38.0,36.0,37.0,37.0,38.0,35.0,34.0,38.0,40.0,39.0,37.0,36.0,33.0,29.0,39.0,33.0
3,Connecticut,37.0,36.0,35.0,31.0,34.0,33.0,38.0,31.0,34.0,31.0,33.0,36.0,34.0,40.0,34.0,30.0,38.0,35.0,36.0,32.0,32.0,33.0,31.0,23.0,33.0,39.0
4,Purdue,36.0,34.0,33.0,31.0,31.0,30.0,31.0,28.0,28.0,34.0,34.0,37.0,35.0,34.0,35.0,34.0,32.0,34.0,35.0,35.0,37.0,36.0,31.0,28.0,37.0,35.0
5,Minnesota,35.0,28.0,28.0,30.0,31.0,33.0,30.0,32.0,31.0,31.0,34.0,32.0,35.0,31.0,38.0,34.0,37.0,32.0,31.0,34.0,32.0,36.0,31.0,29.0,30.0,31.0
6,Arizona,35.0,29.0,34.0,35.0,34.0,32.0,30.0,37.0,33.0,31.0,33.0,35.0,31.0,38.0,35.0,35.0,38.0,38.0,34.0,37.0,35.0,32.0,32.0,26.0,37.0,35.0
7,Syracuse,35.0,32.0,32.0,34.0,36.0,33.0,31.0,34.0,35.0,35.0,35.0,37.0,35.0,35.0,37.0,39.0,34.0,31.0,37.0,34.0,37.0,34.0,32.0,28.0,33.0,32.0
8,Georgia,35.0,30.0,31.0,31.0,32.0,27.0,30.0,28.0,30.0,32.0,33.0,32.0,31.0,33.0,32.0,32.0,34.0,33.0,34.0,33.0,33.0,32.0,31.0,25.0,32.0,32.0
9,Duke,35.0,39.0,34.0,39.0,35.0,33.0,37.0,33.0,36.0,33.0,34.0,37.0,39.0,37.0,34.0,36.0,35.0,38.0,36.0,37.0,37.0,38.0,31.0,24.0,39.0,36.0
10,Rhode Island,34.0,33.0,30.0,29.0,28.0,31.0,33.0,28.0,28.0,31.0,33.0,34.0,36.0,34.0,31.0,29.0,31.0,32.0,32.0,35.0,34.0,33.0,30.0,25.0,30.0,31.0
11,Stanford,34.0,32.0,30.0,32.0,30.0,33.0,32.0,31.0,30.0,31.0,36.0,34.0,32.0,31.0,37.0,34.0,36.0,37.0,29.0,30.0,35.0,31.0,32.0,27.0,32.0,33.0
12,UAB,33.0,32.0,28.0,31.0,30.0,33.0,32.0,33.0,30.0,31.0,34.0,34.0,34.0,31.0,31.0,32.0,29.0,35.0,32.0,32.0,31.0,33.0,30.0,27.0,33.0,38.0
13,Dayton,33.0,28.0,31.0,34.0,32.0,30.0,33.0,29.0,30.0,31.0,34.0,35.0,37.0,36.0,33.0,31.0,37.0,36.0,33.0,31.0,31.0,33.0,31.0,24.0,35.0,34.0
14,Saint Louis,33.0,31.0,33.0,30.0,31.0,30.0,32.0,30.0,29.0,32.0,30.0,31.0,35.0,30.0,33.0,35.0,33.0,31.0,32.0,33.0,32.0,36.0,30.0,21.0,34.0,32.0
