,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Murray St,1.238,1.071,1.105,1.093,1.04,1.072,1.107,1.069,1.056,0.985,1.06,1.026,1.091,1.036,1.07,1.04,1.092,1.135,1.046,1.071,1.115,1.115,1.039,1.042,1.1,1.01
1,Youngs St,1.166,1.005,0.958,1.032,0.908,0.897,0.935,0.881,1.003,0.984,0.912,0.945,0.95,0.953,1.008,0.991,1.051,1.011,0.984,1.018,0.965,1.014,1.009,1.038,1.044,1.122
2,N Carolina,1.155,1.041,1.061,1.044,0.97,0.989,1.07,1.138,1.073,1.152,1.146,1.152,0.999,1.041,1.092,1.034,1.06,1.086,1.153,1.13,1.106,1.106,0.989,1.022,1.074,1.055
3,F Dickinson,1.15,0.963,0.93,0.967,0.938,0.978,0.996,1.019,0.998,1.014,0.982,0.894,0.9,0.919,0.873,0.92,0.997,0.947,1.026,1.002,1.002,1.049,1.007,1.013,0.928,1.063
4,TX Christian,1.146,1.087,1.088,1.161,1.041,1.0,0.963,0.977,0.883,0.916,0.958,0.967,1.001,0.974,1.008,0.864,0.936,1.02,0.937,1.063,1.128,1.028,0.953,0.966,0.991,1.038
5,Princeton,1.142,1.054,0.992,0.981,0.987,1.06,1.03,1.037,0.934,0.92,0.919,0.951,0.976,1.046,1.021,1.043,1.049,1.028,1.099,1.066,1.041,0.948,1.032,--,1.11,1.061
6,Southern,1.139,1.025,0.979,1.009,0.974,0.958,0.984,1.031,0.923,0.854,0.894,0.903,0.824,0.808,0.882,0.99,0.971,0.911,0.995,0.988,0.943,0.924,0.968,0.931,0.961,0.943
7,Duke,1.138,1.184,1.132,1.159,1.134,1.086,1.107,1.084,1.112,1.04,1.096,1.092,1.135,1.125,1.106,1.112,1.172,1.172,1.151,1.136,1.158,1.105,1.09,1.067,1.145,1.072
8,Richmond,1.136,1.01,1.014,1.066,0.976,0.982,0.987,0.986,0.891,0.969,0.959,1.03,1.021,1.079,1.043,1.052,0.988,1.026,1.084,1.042,1.027,1.039,1.064,1.052,1.031,1.008
9,Arizona,1.131,1.059,1.013,1.086,1.083,1.088,1.128,1.097,1.018,1.109,1.069,1.089,1.006,1.104,1.031,1.071,1.089,1.124,1.103,1.113,1.135,1.005,1.058,1.069,1.124,1.103
10,Pacific,1.128,1.018,0.955,0.97,1.051,0.964,1.035,1.101,1.086,1.018,1.063,1.067,1.039,1.028,0.967,1.03,1.059,0.979,0.973,0.95,1.02,0.972,1.014,0.966,0.924,1.035
11,New Mexico,1.121,1.078,0.992,1.002,1.051,1.021,1.043,1.099,1.011,1.078,1.077,1.068,1.09,1.06,1.063,1.014,1.089,0.967,1.032,1.022,1.078,0.995,1.029,0.878,1.005,1.081
12,Siena,1.118,1.086,1.033,1.04,0.96,1.029,0.998,0.9,1.028,1.069,1.063,1.044,1.046,0.961,0.947,0.905,0.984,1.011,1.052,1.036,0.951,1.018,1.043,0.996,0.955,0.999
13,Purdue,1.113,0.991,1.033,1.019,1.005,1.011,0.987,0.954,0.936,1.046,1.018,1.019,1.027,1.068,1.085,0.971,1.014,1.031,1.108,1.107,1.152,1.123,1.003,1.041,1.153,1.102
14,Stanford,1.105,1.065,1.099,1.16,1.088,1.027,1.072,0.986,0.989,1.02,1.063,1.059,1.0,0.984,1.023,1.011,1.056,1.057,0.997,0.981,1.022,0.983,0.985,0.963,0.972,1.044
15,Xavier,1.101,1.045,1.027,1.019,1.052,1.093,1.057,1.068,1.071,1.14,1.127,1.048,1.079,1.07,1.012,0.998,1.061,1.077,1.086,1.065,1.136,1.054,0.983,1.042,1.036,1.099
16,Jksnville St,1.1,0.857,1.014,0.893,1.003,1.018,1.042,0.958,1.066,0.977,0.984,1.001,0.986,0.931,0.96,0.986,0.981,0.915,0.976,1.033,1.026,1.037,0.962,1.034,1.035,0.986
17,Kansas,1.095,0.983,1.008,1.073,1.119,1.112,1.044,1.071,1.039,1.11,1.145,1.076,1.144,1.145,1.075,1.07,1.119,1.039,1.12,1.133,1.132,1.048,1.067,1.020,1.093,1.046
18,Gonzaga,1.092,1.099,1.086,1.129,1.101,1.081,1.152,1.137,1.12,1.097,1.081,1.12,1.079,1.081,1.082,1.144,1.104,1.161,1.126,1.141,1.156,1.197,1.18,1.204,1.16,1.162
19,LIU-Brooklyn,1.092,0.889,0.852,0.914,0.958,0.97,0.923,0.937,0.969,0.961,0.988,1.002,0.978,1.069,1.064,1.088,1.014,0.942,1.015,0.999,1.026,0.987,,,,
20,N Arizona,1.092,1.102,1.024,1.052,0.95,0.985,1.005,0.994,1.027,1.094,1.037,1.0,0.964,1.045,0.889,0.938,1.017,1.01,0.911,0.945,0.897,1.017,1.005,0.946,0.946,1.033
21,NC A&T,1.089,0.97,0.958,0.926,0.896,0.85,0.749,0.845,0.858,0.977,0.932,0.898,0.922,0.967,0.925,0.899,0.917,0.897,0.939,0.939,1.005,0.974,0.918,0.917,0.943,0.948
22,Cal Poly,1.088,1.028,1.019,1.012,0.984,0.95,0.968,0.928,0.966,1.072,0.92,0.96,1.001,0.95,1.037,1.04,0.991,0.975,1.021,0.972,0.953,0.944,0.925,0.856,0.898,0.89
23,Kentucky,1.088,1.06,0.994,1.076,1.036,1.098,1.056,1.062,1.053,1.067,1.013,1.034,1.095,1.1,1.141,1.054,1.099,1.124,1.127,1.113,1.075,1.1,1.054,0.976,1.115,1.079
24,U Penn,1.087,1.069,1.017,0.987,1.073,1.068,1.062,0.979,1.015,1.067,0.937,0.936,0.943,0.998,1.029,0.907,0.945,0.927,0.969,0.99,1.03,0.997,0.998,--,1.012,1.05
