,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Princeton,27.6,27.9,29.7,31.6,32.5,34.0,31.0,28.2,29.9,27.8,33.1,31.5,28.1,33.3,33.0,32.3,34.2,35.7,37.9,33.1,38.1,38.3,36.4,--,35.2,35.5
1,Marquette,30.3,32.5,31.7,35.3,31.4,36.8,37.1,33.8,37.2,34.7,34.3,36.4,34.4,35.6,33.8,33.9,35.3,35.6,39.0,40.0,40.1,36.4,36.6,37.9,36.7,36.0
2,S Alabama,30.3,36.0,35.1,34.3,37.4,36.2,34.9,34.9,35.0,34.6,34.1,33.7,35.3,38.8,33.8,35.9,38.5,40.3,38.1,38.8,36.6,37.8,36.3,35.8,33.8,35.4
3,Wyoming,31.9,41.2,40.5,36.6,35.1,39.0,37.9,36.3,35.6,40.2,38.8,39.0,39.1,37.9,30.5,30.6,32.5,29.5,37.9,39.4,40.1,38.7,37.9,39.4,33.9,37.6
4,Col Charlestn,32.1,31.0,34.0,33.0,30.8,36.7,36.0,34.1,37.1,33.3,39.0,39.0,39.5,37.1,35.8,34.0,34.2,34.4,32.1,34.2,35.4,37.2,34.3,33.8,40.7,35.8
5,NC-Wilmgton,32.3,31.7,30.8,31.4,33.8,30.6,31.6,33.9,32.5,37.9,37.5,42.7,37.5,32.8,38.5,37.7,37.5,37.6,37.6,42.3,42.2,42.3,36.2,36.6,35.6,34.1
6,Wm & Mary,32.7,36.7,36.0,35.9,34.9,36.3,39.9,37.0,35.5,34.7,32.9,34.2,33.6,37.5,36.5,36.0,38.5,35.8,39.7,41.1,42.3,39.9,37.0,37.1,38.1,35.8
7,Connecticut,32.7,32.1,34.8,35.5,35.8,36.3,34.3,34.9,35.8,34.5,35.8,31.8,35.5,34.6,34.1,33.9,33.5,29.9,32.8,33.7,37.3,38.6,33.1,34.3,33.5,34.8
8,Utah,32.8,30.1,34.3,34.2,32.6,32.2,29.6,30.2,34.4,38.2,34.8,32.8,34.3,37.0,36.7,34.0,35.2,30.9,37.1,37.7,35.8,40.5,36.9,37.5,36.5,33.4
9,Clemson,32.9,36.1,37.2,40.7,37.6,36.9,38.4,38.7,35.5,34.2,36.2,35.4,35.3,32.2,31.3,32.5,28.6,35.7,33.3,38.2,34.5,34.4,33.4,33.2,35.6,35.5
10,Pepperdine,32.9,33.2,33.2,37.7,37.3,39.8,41.9,40.0,39.8,43.6,41.0,37.7,40.0,37.8,35.2,36.0,38.7,32.4,37.3,42.1,41.6,38.5,41.1,39.2,39.5,41.2
11,Colorado St,33.0,35.3,36.4,34.7,36.4,38.5,40.0,37.4,37.7,37.8,38.2,38.6,35.7,35.3,35.2,33.3,37.6,35.5,40.6,34.6,40.3,39.7,37.7,34.3,34.9,37.8
12,Richmond,33.2,34.6,32.3,31.8,31.9,33.4,31.6,36.0,30.5,38.2,35.7,36.6,32.1,33.3,37.0,35.5,33.6,31.5,40.4,38.6,39.3,38.6,36.9,36.7,33.9,34.5
13,Michigan St,33.2,31.8,31.8,33.6,33.8,32.2,33.6,34.8,36.0,30.1,33.3,33.4,32.1,34.1,31.3,31.5,34.7,33.2,32.7,35.4,33.6,33.1,34.6,38.2,37.4,36.1
14,S Mississippi,33.2,34.1,34.2,34.9,35.3,36.7,37.4,37.6,36.0,34.3,36.9,35.0,32.8,36.1,35.8,34.2,33.2,33.7,36.6,37.0,40.8,34.4,38.3,36.1,39.7,36.2
15,N Carolina,33.3,34.3,35.3,37.7,39.4,36.5,39.3,37.9,35.2,35.2,37.6,37.4,36.4,36.1,35.8,38.7,37.6,37.2,36.8,36.8,38.1,38.2,38.0,35.2,38.3,37.8
16,Bradley,33.4,33.1,34.4,35.0,33.6,39.3,36.2,36.8,34.4,38.0,38.9,35.9,35.3,36.1,37.9,36.8,35.3,32.0,34.8,37.0,35.3,34.4,34.0,35.2,33.4,32.5
17,NC State,33.4,34.8,34.3,39.1,35.4,38.5,34.5,35.2,36.3,37.6,37.7,36.8,34.7,36.8,35.1,37.4,36.7,34.7,39.8,40.9,39.5,37.3,35.9,36.8,38.5,38.1
18,Citadel,33.5,38.1,38.5,34.9,36.7,37.8,36.8,38.0,38.7,34.9,38.2,33.7,32.6,37.4,36.5,38.6,39.4,38.0,49.1,49.7,44.9,46.3,42.9,42.6,39.4,39.6
19,Xavier,33.5,36.8,37.8,35.0,31.6,34.6,32.7,33.3,33.2,34.6,34.8,32.5,35.5,34.7,34.3,34.5,35.4,35.9,36.7,38.2,39.7,35.9,35.1,36.6,36.1,39.0
20,UNLV,33.7,36.6,40.1,37.6,40.4,36.4,37.1,36.0,35.2,35.7,35.4,33.4,32.9,33.3,34.2,33.6,33.1,34.3,38.0,39.0,40.6,36.8,37.1,35.7,34.3,35.0
21,Detroit,33.8,29.9,34.0,34.1,32.9,33.7,31.2,33.0,34.2,33.7,36.6,35.4,34.2,38.3,34.9,38.1,37.7,37.7,44.5,44.5,43.9,42.0,40.3,38.1,37.7,38.2
22,Middle Tenn,33.8,38.4,37.8,40.7,34.6,35.8,35.7,34.8,36.3,33.8,34.8,36.2,35.2,34.3,34.2,31.6,34.3,30.3,37.0,35.6,34.5,38.9,38.3,37.4,33.5,35.5
23,Cornell,33.8,34.6,35.4,36.8,37.2,34.9,37.5,36.2,32.0,34.9,36.8,36.5,34.8,36.4,34.7,37.4,41.7,34.0,41.7,39.6,41.5,36.4,36.0,--,40.5,38.9
24,WI-Grn Bay,33.8,29.6,31.2,33.8,35.7,38.4,34.9,37.2,35.1,34.2,36.5,34.8,36.3,37.5,35.1,33.2,33.6,32.1,41.6,42.0,40.7,41.3,41.4,40.2,36.9,41.4
25,S Florida,33.9,35.5,36.3,36.5,40.6,36.2,35.9,35.1,32.0,35.7,36.7,34.2,35.4,35.7,32.1,31.8,36.9,34.6,38.2,38.8,37.5,34.4,32.1,37.3,33.5,36.4
26,VCU,33.9,39.1,36.5,37.6,36.4,35.2,33.8,34.8,33.1,35.7,32.8,33.4,34.9,35.2,31.0,34.8,34.5,34.0,37.2,34.1,37.1,33.2,34.0,35.5,32.4,32.7
27,Pacific,34.0,35.2,35.5,36.5,33.0,35.8,33.7,35.3,32.9,38.3,36.6,32.1,33.1,34.1,35.3,35.7,38.6,37.8,39.0,38.5,39.0,36.2,33.8,34.8,39.3,41.6
28,Northwestern,34.1,31.0,32.8,34.3,31.1,34.9,32.6,32.2,31.8,30.8,36.2,32.5,32.5,35.2,34.9,34.9,33.6,31.5,34.5,34.9,34.5,33.1,37.3,36.2,36.1,33.5
29,Butler,34.1,34.5,29.9,33.2,28.8,32.5,32.7,34.4,33.4,30.4,30.0,31.1,31.0,34.3,30.9,34.8,33.5,31.2,38.8,36.0,38.7,36.8,33.2,33.8,35.5,35.3
30,Utah State,34.1,35.4,33.5,30.0,30.6,31.5,30.8,30.0,34.6,34.2,37.2,32.5,33.1,31.8,35.2,33.9,36.0,33.4,38.1,36.8,36.2,35.9,35.6,32.9,34.9,36.0
31,Lamar,34.1,38.2,34.2,37.3,38.2,35.3,41.4,39.2,43.8,40.3,38.6,37.7,40.6,41.7,35.3,40.0,40.6,37.2,41.2,39.5,37.6,38.9,37.8,38.3,38.8,37.5
32,Providence,34.2,40.5,34.7,35.1,36.5,34.1,35.2,38.3,39.1,37.3,37.4,41.0,43.5,38.4,37.4,33.7,35.9,35.5,36.9,36.7,37.2,36.5,35.1,37.0,34.6,36.2
33,Navy,34.2,33.0,35.9,38.2,36.8,33.6,36.5,39.3,38.8,34.3,38.9,35.9,39.7,38.0,34.4,31.9,35.3,34.9,35.3,35.1,35.5,39.5,33.5,36.4,31.3,32.9
34,App State,34.3,33.0,37.6,37.8,42.7,41.7,39.1,37.6,36.1,36.0,36.8,41.2,34.8,37.9,37.3,36.3,37.3,36.5,39.0,42.1,39.1,42.5,34.1,33.2,32.7,35.5
35,Wisconsin,34.4,30.8,29.0,30.0,34.9,31.5,29.4,33.5,35.3,30.8,27.7,30.3,29.0,31.4,27.5,30.5,35.6,31.3,34.5,32.2,34.4,31.9,32.4,35.9,35.9,32.6
36,Miami (FL),34.4,34.4,32.9,34.9,35.5,34.0,35.0,36.0,34.4,37.9,37.5,35.2,34.6,36.2,34.9,32.8,32.0,33.6,37.3,35.2,37.0,37.7,38.0,36.9,38.4,36.9
37,Towson,34.4,35.3,35.3,39.5,34.0,36.7,35.8,36.3,39.9,35.2,36.5,36.1,39.8,39.3,35.6,36.6,36.0,34.8,36.7,37.7,38.0,37.6,37.3,38.4,33.0,35.1
38,Santa Clara,34.5,36.5,34.1,35.1,38.5,38.3,35.2,39.1,36.7,31.9,33.5,34.7,37.2,38.0,40.8,36.7,37.7,36.4,37.8,33.0,38.2,37.0,38.6,37.9,36.8,38.8
39,Chattanooga,34.5,33.5,39.1,36.1,37.7,39.7,38.7,35.9,36.5,36.8,38.3,38.2,36.8,40.4,36.0,36.5,39.2,35.4,35.9,37.5,38.5,40.9,38.5,38.5,35.4,39.6
40,Wichita St,34.7,37.9,37.3,36.8,39.1,36.8,35.1,37.1,34.3,34.5,33.5,32.9,34.6,31.9,32.8,33.6,31.1,31.8,31.6,33.2,37.1,36.7,34.3,36.8,33.5,35.5
41,Tulsa,34.8,35.0,35.5,34.8,38.1,34.7,36.9,36.9,34.6,33.2,33.2,31.9,35.2,35.9,32.6,35.2,37.4,32.2,36.6,36.2,37.1,37.0,33.3,32.2,35.6,40.3
42,Furman,34.8,36.6,37.2,35.8,38.1,36.4,36.5,37.1,37.0,37.8,38.1,37.6,37.7,33.2,36.0,37.8,39.1,35.8,36.9,36.1,36.5,35.3,36.4,37.3,36.2,37.2
43,Columbia,34.8,34.3,32.0,32.5,30.3,31.4,35.3,33.4,37.3,35.7,31.7,33.2,35.0,39.1,34.4,33.4,32.5,32.4,37.4,37.8,42.0,37.5,37.7,--,38.2,40.4
44,N Illinois,34.8,34.5,35.1,40.0,41.8,36.1,38.1,34.9,35.0,37.0,38.7,38.4,38.8,39.0,36.6,32.7,33.1,33.3,35.6,37.5,40.2,37.0,33.3,41.2,37.2,38.7
45,St Bonavent,34.9,34.4,34.3,36.6,40.5,40.0,41.2,40.6,36.5,42.4,37.9,38.7,38.4,36.6,34.3,37.7,38.2,33.7,38.9,37.2,36.6,33.8,34.0,32.2,33.6,36.2
46,James Mad,34.9,34.7,35.2,36.6,35.8,36.9,36.8,37.6,41.1,39.6,39.4,36.4,37.2,35.5,36.1,33.9,35.6,36.2,36.6,36.5,39.6,38.2,41.7,39.5,39.2,35.7
47,Saint Louis,34.9,34.1,34.2,35.7,34.3,32.7,33.1,32.3,30.4,33.3,31.4,31.7,31.0,34.2,30.7,31.1,33.6,35.3,39.4,35.8,35.3,33.7,36.5,36.0,36.2,37.3
48,Harvard,34.9,35.1,37.4,35.5,35.0,38.8,39.1,35.4,35.6,39.8,38.6,35.2,34.1,33.4,30.1,33.3,32.0,30.5,36.0,34.7,34.7,36.8,34.4,--,36.4,33.8
49,Cincinnati,34.9,33.8,35.3,34.0,34.1,33.0,34.3,33.8,35.0,33.3,37.2,35.7,35.5,31.1,33.3,31.4,31.0,30.4,32.1,32.9,29.5,33.2,34.5,37.0,34.3,36.9
50,Seton Hall,35.0,34.8,34.9,38.1,38.9,35.5,36.5,32.9,36.0,38.6,40.6,35.7,40.3,34.5,32.9,33.6,36.2,36.0,36.1,36.4,38.2,37.0,35.6,37.2,34.5,34.6
51,TX El Paso,35.0,34.9,39.8,39.9,37.4,37.2,37.2,35.1,31.0,35.5,38.5,37.8,34.2,33.7,32.2,32.9,36.2,34.6,40.4,34.7,38.1,38.6,33.4,35.0,35.4,36.2
52,Miss State,35.0,33.4,36.8,38.5,34.8,32.5,33.4,33.5,34.1,36.1,34.0,35.0,34.4,36.5,34.8,36.7,38.2,34.2,37.2,36.5,36.1,35.7,35.5,34.8,33.3,32.3
53,Rider,35.0,39.6,37.0,38.5,35.8,35.7,34.4,37.4,39.6,38.9,37.8,36.5,34.7,36.6,39.7,33.6,42.0,34.2,33.8,38.0,40.9,39.0,36.2,38.1,36.2,35.0
54,Dartmouth,35.0,36.4,35.9,38.0,36.6,33.6,36.2,32.9,34.0,35.0,35.9,35.0,35.0,37.4,34.4,35.8,35.1,33.3,38.8,39.3,37.6,38.0,33.0,--,34.3,36.3
55,Duke,35.1,35.3,36.8,37.8,36.1,36.4,34.3,33.9,34.3,32.2,36.7,36.8,32.2,34.1,36.0,35.2,36.0,35.0,36.5,37.8,35.4,34.1,34.7,36.0,35.9,32.2
56,San Diego,35.1,32.8,33.5,36.4,37.6,37.8,41.1,38.2,39.0,39.1,32.1,33.2,34.5,38.1,38.4,33.9,34.2,32.6,37.5,36.5,36.8,36.4,38.2,42.6,35.0,43.4
57,Evansville,35.1,37.9,36.6,35.6,40.1,37.7,38.8,38.8,37.9,35.9,35.3,33.7,36.2,36.2,36.4,34.9,38.5,35.3,33.4,38.1,34.1,37.9,37.7,35.2,36.3,39.5
58,LSU,35.2,34.2,34.6,36.4,32.4,34.9,34.3,35.8,33.0,32.4,35.4,36.0,35.1,35.5,33.7,35.9,37.2,35.1,41.7,42.3,40.0,38.8,38.1,39.9,34.6,37.3
