,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Idaho,0.419,0.439,0.528,0.544,0.629,0.559,0.546,0.552,0.565,0.551,0.542,0.549,0.462,0.502,0.512,0.469,0.507,0.513,0.55,0.517,0.484,0.583,0.537,0.486,0.413,0.432
1,Col Charlestn,0.425,0.515,0.488,0.532,0.525,0.582,0.557,0.51,0.537,0.519,0.518,0.501,0.47,0.488,0.487,0.429,0.396,0.507,0.472,0.486,0.489,0.514,0.506,0.515,0.471,0.451
2,Princeton,0.431,0.517,0.6,0.613,0.573,0.589,0.542,0.552,0.539,0.463,0.523,0.464,0.476,0.49,0.436,0.461,0.46,0.474,0.459,0.484,0.446,0.434,0.425,--,0.401,0.439
3,Jackson St,0.446,0.461,0.479,0.556,0.482,0.523,0.504,0.504,0.433,0.521,0.533,0.541,0.493,0.526,0.547,0.478,0.525,0.541,0.522,0.54,0.535,0.546,0.515,0.452,0.484,0.523
4,WI-Grn Bay,0.451,0.491,0.531,0.464,0.483,0.536,0.51,0.489,0.549,0.54,0.523,0.505,0.496,0.552,0.531,0.55,0.505,0.514,0.504,0.508,0.495,0.488,0.522,0.449,0.475,0.496
5,NC A&T,0.453,0.498,0.53,0.51,0.545,0.561,0.489,0.543,0.601,0.562,0.513,0.517,0.554,0.541,0.62,0.571,0.595,0.573,0.596,0.639,0.507,0.544,0.53,0.597,0.586,0.503
6,Alabama,0.453,0.481,0.522,0.48,0.47,0.509,0.494,0.521,0.539,0.55,0.539,0.536,0.486,0.501,0.515,0.481,0.528,0.546,0.481,0.434,0.487,0.431,0.434,0.440,0.463,0.411
7,S Car State,0.457,0.556,0.503,0.517,0.52,0.494,0.49,0.455,0.529,0.537,0.499,0.506,0.514,0.562,0.547,0.576,0.54,0.531,0.508,0.502,0.503,0.506,0.46,0.554,0.558,0.588
8,Cincinnati,0.458,0.458,0.525,0.501,0.453,0.561,0.524,0.486,0.516,0.574,0.558,0.549,0.544,0.551,0.548,0.538,0.542,0.54,0.507,0.528,0.49,0.507,0.507,0.562,0.522,0.508
9,Miss State,0.459,0.448,0.512,0.499,0.466,0.454,0.481,0.553,0.581,0.536,0.505,0.43,0.482,0.449,0.416,0.565,0.514,0.529,0.489,0.471,0.497,0.506,0.505,0.592,0.579,0.582
10,Florida A&M,0.459,0.526,0.508,0.566,0.599,0.535,0.537,0.576,0.628,0.586,0.517,0.46,0.534,0.495,0.517,0.526,0.519,0.593,0.462,0.524,0.496,0.509,0.491,0.482,0.52,0.506
11,S Mississippi,0.46,0.512,0.452,0.446,0.496,0.481,0.492,0.529,0.589,0.471,0.505,0.521,0.504,0.526,0.49,0.698,0.644,0.582,0.577,0.604,0.586,0.549,0.542,0.538,0.576,0.524
12,Alabama St,0.462,0.472,0.508,0.433,0.476,0.546,0.549,0.559,0.476,0.416,0.512,0.466,0.508,0.568,0.582,0.554,0.496,0.504,0.507,0.497,0.515,0.541,0.502,0.498,0.541,0.462
13,U Mass,0.464,0.438,0.475,0.487,0.514,0.533,0.577,0.604,0.548,0.49,0.534,0.59,0.618,0.596,0.593,0.552,0.553,0.563,0.57,0.579,0.598,0.599,0.557,0.571,0.575,0.592
14,Beth-Cook,0.468,0.476,0.453,0.528,0.472,0.533,0.558,0.529,0.516,0.591,0.535,0.503,0.532,0.487,0.481,0.578,0.576,0.533,0.582,0.598,0.558,0.56,0.501,--,0.545,0.525
15,Miss Val St,0.468,0.516,0.48,0.46,0.49,0.586,0.563,0.607,0.439,0.445,0.512,0.543,0.58,0.548,0.532,0.491,0.439,0.517,0.52,0.557,0.564,0.536,0.594,0.571,0.52,0.535
16,Davidson,0.469,0.53,0.531,0.526,0.475,0.546,0.571,0.54,0.596,0.538,0.516,0.453,0.459,0.455,0.44,0.412,0.425,0.497,0.484,0.515,0.52,0.557,0.503,0.473,0.517,0.492
17,Dayton,0.47,0.497,0.518,0.506,0.494,0.496,0.527,0.596,0.534,0.581,0.586,0.56,0.528,0.567,0.538,0.599,0.511,0.543,0.548,0.553,0.555,0.517,0.472,0.504,0.533,0.486
18,Rhode Island,0.471,0.585,0.567,0.571,0.612,0.551,0.548,0.635,0.611,0.583,0.525,0.532,0.491,0.557,0.598,0.518,0.436,0.488,0.429,0.463,0.49,0.526,0.528,0.548,0.574,0.512
19,Oklahoma,0.471,0.485,0.523,0.525,0.553,0.478,0.561,0.532,0.513,0.523,0.469,0.497,0.522,0.516,0.586,0.501,0.48,0.494,0.431,0.516,0.485,0.498,0.474,0.476,0.442,0.429
20,Georgia St,0.471,0.535,0.556,0.528,0.51,0.544,0.512,0.528,0.595,0.58,0.575,0.595,0.584,0.558,0.578,0.601,0.518,0.634,0.584,0.582,0.592,0.588,0.512,0.482,0.571,0.523
