,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Duke,-21.1,-24.7,-16.7,-20.2,-19.7,-11.5,-14.8,-13.0,-13.0,-8.4,-13.8,-11.6,-16.4,-16.2,-8.6,-11.9,-11.0,-15.4,-8.6,-10.6,-14.7,-14.9,-14.5,-4.7,-12.3,-8.4
1,TX Christian,-19.6,-5.1,-3.1,-10.1,-0.2,3.8,3.6,-1.9,7.6,3.7,0.6,1.7,4.4,3.0,1.7,8.7,9.2,-5.8,4.5,-4.7,-6.7,-4.2,0.2,+4.4,-3.6,-6.8
2,Kansas,-16.3,-7.1,-8.2,-11.2,-15.0,-14.4,-7.7,-9.8,-12.8,-16.7,-19.0,-11.0,-17.4,-16.5,-12.3,-13.2,-8.9,-6.3,-12.6,-11.3,-9.5,-5.6,-13.3,-5.0,-11.0,-7.4
3,N Carolina,-16.3,-6.5,-5.2,-8.2,6.6,-0.9,-7.4,-17.8,-10.7,-17.1,-16.9,-17.1,-2.6,-8.7,-14.3,-6.5,-6.8,-8.9,-12.8,-13.1,-8.3,-12.6,0.6,-5.3,-6.6,-5.3
4,Arizona,-16.2,-7.0,-9.3,-14.3,-4.4,-14.5,-8.7,-10.0,-5.0,-5.5,-4.3,-3.1,0.1,-8.6,-6.3,-9.8,-14.3,-16.9,-11.6,-10.6,-8.8,-2.0,-11.1,-6.8,-15.9,-10.7
5,Princeton,-15.1,-8.3,-6.2,0.7,-0.7,-2.9,-4.9,-1.0,3.6,3.0,7.4,0.2,-5.5,-5.3,-3.6,-4.8,-5.4,-1.6,-8.9,-8.4,0.5,2.5,-0.7,--,-6.6,-5.7
6,Xavier,-14.7,-9.1,-4.8,-7.6,-9.8,-11.5,-8.0,-5.1,-8.1,-10.8,-11.7,-9.8,-10.3,-7.5,-3.4,-2.7,-3.7,-5.9,-10.1,-3.3,-9.6,-1.5,-3.1,-4.6,-4.9,-6.9
7,Col Charlestn,-13.5,-12.6,-8.0,-6.2,-8.0,-4.1,-5.1,-4.3,-3.3,-3.8,-0.1,-4.5,-1.6,-7.2,-2.4,-4.0,0.1,6.0,-2.3,-4.2,-5.1,-5.3,-1.4,+1.8,-1.8,-12.4
8,Murray St,-13.4,-11.4,-5.8,0.0,-2.0,-5.3,-10.4,-4.5,-9.2,0.7,-2.6,-3.9,-14.1,-5.3,-11.3,-4.1,-4.6,-9.9,-1.5,-1.4,-10.4,-12.1,-8.1,-5.3,-12.9,2.8
9,Kentucky,-13.1,-12.7,-5.9,-9.2,-7.2,-13.1,-10.3,-11.1,-4.6,-5.7,-2.9,-7.9,-14.3,-11.4,-17.0,-8.2,-8.7,-20.1,-11.4,-13.4,-6.5,-11.1,-8.3,-0.3,-12.9,-6.7
10,Cincinnati,-12.9,-12.7,-16.1,-8.3,-17.8,-5.4,-12.5,-11.4,-4.5,3.2,3.2,-1.1,-2.3,-9.3,-6.6,-7.5,-10.0,-6.3,-9.9,-12.9,-16.7,-9.0,-5.6,+3.2,-3.2,-6.8
11,Connecticut,-12.8,-15.9,-9.3,-4.7,-8.6,-8.2,-15.0,-11.2,-14.6,-7.8,-8.8,-14.1,-3.4,-7.4,-4.2,-4.5,-8.6,-4.1,-9.6,-0.6,5.0,-2.5,-5.8,-7.2,-9.5,-14.4
12,Mississippi,-12.4,-9.2,-0.1,-5.9,-7.4,-3.0,2.2,0.3,2.7,-3.8,-6.5,-0.4,-7.7,-4.8,-0.7,-10.3,-2.5,-4.4,-3.1,-1.7,2.3,-4.2,-0.5,-5.2,0.5,1.6
13,Utah,-12.2,-15.2,-7.9,-4.1,-5.5,-5.8,-6.8,-9.6,0.1,3.0,-4.3,-6.9,0.0,4.1,14.8,1.9,-6.5,-13.6,-6.7,-8.1,-5.0,-1.0,-0.6,-2.3,1.2,-4.8
14,N Arizona,-11.9,-10.3,-2.3,-1.2,1.8,0.4,1.2,1.0,-1.6,-0.4,-3.1,4.3,5.2,-4.3,13.2,8.5,2.2,-0.6,15.5,8.0,13.6,4.5,2.3,+11.4,9.4,3.7
15,Purdue,-11.4,-2.8,-7.3,-4.7,0.3,-6.5,-4.3,5.1,6.2,-6.5,-7.2,-9.3,-9.2,-10.7,-5.8,-1.2,-0.6,-5.3,-12.7,-11.3,-14.7,-9.4,-5.5,-4.3,-10.9,-9.9
16,Iowa,-11.2,-3.9,2.8,-3.5,-4.5,-2.6,-2.5,-5.6,-7.4,-2.8,2.0,-0.6,5.5,0.8,-0.5,-7.3,-11.2,-7.4,-8.3,-2.5,-1.0,-4.4,-5.5,-11.0,-12.0,-5.4
17,Stanford,-10.8,-12.3,-18.5,-15.9,-8.0,-4.9,-13.1,-1.3,-1.1,-2.4,-9.4,-4.6,0.8,-1.2,-8.6,-4.0,-4.4,-5.0,2.3,2.2,-0.9,-0.9,-7.0,-0.1,2.3,-2.0
18,Iona,-10.6,-1.3,-2.9,-4.1,1.3,-3.5,3.2,-0.3,-7.6,11.3,3.4,0.9,-4.2,-9.3,-10.2,-4.1,-6.1,-6.2,-5.4,-3.5,-2.9,-0.7,0.9,-5.2,-6.6,-10.4
19,S Alabama,-10.5,4.3,-3.6,-3.0,7.1,1.1,3.2,6.0,-7.1,-2.7,-9.2,-2.0,3.4,5.5,0.8,-0.1,4.6,6.4,6.2,3.7,2.6,1.8,-1.1,+0.2,-3.8,-4.1
20,Arkansas,-10.4,-6.8,-4.6,-11.1,-2.1,4.9,-0.3,-8.7,-8.8,-5.0,-5.7,-0.8,-0.8,-3.9,-2.1,-4.8,-8.8,-7.3,-3.5,-5.4,-4.9,-3.0,-6.2,-10.6,-7.6,-6.1
21,New Mexico,-9.8,-7.3,-2.7,-1.7,-2.4,4.6,-1.1,-10.3,-2.2,-0.9,-11.4,-7.8,-8.7,-6.8,-12.3,-6.7,-7.9,-1.8,-2.6,-1.0,-2.5,2.2,-0.8,+10.7,3.1,-5.6
22,Oklahoma St,-9.7,-7.1,-13.4,-6.1,-7.6,-6.2,-13.6,-11.7,-4.6,-3.3,-1.7,-6.3,-5.9,-1.6,1.9,-8.8,-10.7,-3.3,0.6,-7.0,-3.3,3.4,-1.5,-3.9,-2.7,-2.4
23,Pacific,-9.4,0.0,2.8,-1.7,-4.2,0.1,-4.8,-8.0,-9.4,3.5,-4.5,-3.8,-4.7,-1.6,5.4,-0.9,1.5,6.5,5.9,6.7,2.4,4.4,-3.6,+2.6,8.4,2.6
24,Michigan St,-9.4,-12.2,-15.1,-15.6,-5.3,-6.4,-3.8,-13.1,-5.0,-7.9,-8.6,-9.0,-8.0,-2.0,-12.3,-8.1,-10.0,-7.5,-15.7,-3.2,-15.3,-13.2,-11.2,+1.7,-3.2,-3.0
25,Detroit,-9.4,-8.3,-3.5,-5.4,-1.4,-6.0,-5.4,-0.6,2.4,3.0,7.3,8.7,-2.9,-1.0,-2.4,-5.1,3.0,2.4,1.6,9.1,10.4,6.0,8.0,-2.5,1.3,-0.4
26,W Virginia,-9.3,4.4,1.4,0.5,7.3,2.8,0.2,-4.1,-6.0,-9.0,-10.8,-10.2,-8.9,-5.1,-4.6,1.9,-3.8,-5.8,-11.8,-14.8,-10.5,3.6,-7.9,-5.3,0.5,-5.1
27,Michigan,-9.2,3.2,4.0,8.2,4.6,-1.7,-5.6,2.3,-5.2,-3.8,4.9,-3.1,-1.4,-3.5,-4.2,-11.9,-8.9,0.0,-5.8,-8.6,-9.6,-11.3,-6.8,-10.8,-3.2,-3.7
28,Gonzaga,-8.8,-12.8,-11.7,-12.3,-13.2,-8.5,-15.6,-9.5,-7.3,-8.4,-12.7,-15.5,-8.6,-9.9,-10.6,-16.3,-10.2,-16.0,-12.7,-21.1,-15.8,-22.8,-19.6,-22.5,-21.0,-10.9
29,IL-Chicago,-8.5,8.4,4.4,4.1,0.0,-6.3,-6.5,0.0,1.3,1.5,-2.4,-1.0,8.5,8.3,7.9,1.1,7.8,7.5,13.7,2.3,-1.3,1.2,-0.1,+4.6,2.4,5.7
30,W Michigan,-8.4,3.9,5.3,7.5,-1.1,-5.9,-12.4,-5.2,5.9,-0.1,-4.7,2.5,-1.6,-1.8,2.0,-1.9,-3.2,-0.1,2.1,0.2,0.2,7.7,5.2,+10.3,11.2,8.2
31,F Dickinson,-8.3,1.8,-0.2,3.0,9.3,2.7,-0.5,-2.8,-2.1,3.0,8.1,12.4,7.9,8.3,11.9,13.4,7.2,7.7,2.6,4.0,4.8,-1.2,4.1,+3.7,11.9,-0.9
32,Florida Intl,-8.2,0.1,-1.6,8.5,4.9,5.6,13.7,4.2,8.6,6.9,6.6,6.2,9.6,5.1,4.0,0.0,3.8,4.5,0.4,4.8,2.3,3.1,-1.9,+8.0,3.2,3.0
33,Richmond,-8.0,-1.1,-4.0,-9.2,-1.3,-2.7,-5.0,2.6,5.8,7.6,2.3,-1.8,-6.6,-8.4,-1.8,-3.5,-1.4,-4.9,-2.7,-2.2,3.8,0.6,-8.5,-4.0,-2.6,-1.1
34,Coppin State,-7.9,-0.1,1.3,3.0,10.9,3.6,-0.7,2.3,4.8,8.9,7.0,4.5,8.3,1.0,2.6,8.5,6.1,13.1,9.7,13.5,13.7,11.8,6.1,+6.3,7.8,11.2
35,Montana St,-7.8,-1.6,2.5,-2.4,-2.9,2.5,0.8,1.4,1.5,6.8,2.0,3.7,1.1,3.8,5.7,4.2,4.9,9.4,1.6,0.3,5.2,2.1,2.7,+1.0,-5.3,-3.6
36,Wm & Mary,-7.3,5.3,4.6,3.3,4.9,4.3,5.0,8.6,4.6,0.7,1.9,3.2,-1.2,4.9,10.1,0.6,-0.8,-4.0,-4.3,-0.6,0.0,2.7,-0.6,+7.2,12.0,6.8
37,San Francisco,-6.9,5.3,-5.6,5.0,1.0,-0.7,3.8,-0.1,2.4,2.3,5.9,6.2,5.8,1.3,-2.1,0.4,-1.6,-0.3,2.2,-3.4,0.5,-7.4,-4.7,-2.2,-8.9,-2.4
38,Clemson,-6.8,-6.9,5.6,5.6,1.6,0.5,5.3,-2.4,-5.3,-7.5,-9.2,-10.3,-8.9,-7.2,-3.9,-1.4,-5.1,-0.5,-5.2,-3.2,-7.9,-4.9,-2.4,-3.0,-3.3,-6.8
39,Hawaii,-6.8,7.5,-2.9,0.4,-8.7,-3.0,-3.5,-2.2,-3.2,-5.9,2.9,1.2,5.2,-1.4,2.3,-0.6,-5.1,-3.5,-10.1,1.3,-0.2,-2.3,-0.8,+0.3,-2.5,-4.5
40,Ball State,-6.8,-0.2,-4.7,-2.8,-5.6,2.7,0.8,-1.0,2.9,4.1,6.1,2.3,2.3,-2.7,-1.5,3.6,10.8,5.1,-3.1,-2.1,-0.8,-2.2,-5.8,+0.7,3.4,-2.3
41,Maryland,-6.7,-17.1,-8.5,-12.7,-14.1,-13.0,-5.3,-5.9,-4.0,-11.5,-3.2,-2.7,-10.8,-9.2,2.0,-6.7,-3.3,-5.7,-8.4,-4.5,-5.8,-5.9,-7.3,-2.0,-0.2,-6.2
42,S Mississippi,-6.5,-1.2,-1.3,-6.5,4.4,3.2,4.7,6.3,9.8,-3.2,-2.0,2.3,-2.4,-6.5,-4.2,-7.5,-6.9,10.0,6.9,10.6,5.6,-3.4,9.0,+4.8,13.2,-4.9
43,Illinois,-6.2,1.3,-10.1,-11.9,-9.7,-13.1,-9.8,-15.9,-11.3,-7.1,-2.5,-7.6,-3.9,-5.6,-1.3,-3.1,-2.1,-5.5,2.6,-1.3,-1.0,2.6,-5.4,-11.9,-7.2,-7.2
44,Illinois St,-6.2,-1.0,5.0,-5.4,0.8,5.6,3.7,-0.2,3.9,-1.1,-5.2,-7.6,-5.1,2.7,-3.7,-5.9,0.7,-5.1,-0.8,-7.6,2.6,2.3,4.7,+5.8,1.5,4.0
45,Akron,-6.2,-4.0,-2.1,4.8,5.2,-0.6,0.4,-5.4,-4.9,-12.8,-7.0,-5.4,-4.3,-3.2,-5.6,-7.9,-1.6,-4.1,-6.8,-4.8,4.9,-3.8,-7.6,-3.8,-4.8,-5.8
46,Rhode Island,-6.1,-3.9,14.3,10.7,9.2,-0.2,-4.4,6.2,1.6,0.8,-6.1,-6.7,-5.8,-1.4,6.9,5.6,0.4,-6.4,-4.6,-8.3,-7.2,-1.6,-4.5,-0.4,-1.7,4.6
