,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Marshall,1.4,1.9,2.5,2.6,2.7,2.6,2.3,2.6,3.8,3.6,3.2,3.0,2.7,3.5,3.0,2.8,3.5,2.9,2.6,3.4,2.7,2.6,3.1,2.7,2.6,1.7
1,Princeton,1.5,1.9,2.2,2.2,2.0,2.0,1.9,2.0,3.1,2.8,2.4,3.2,3.0,4.0,3.3,3.0,3.1,3.6,3.9,2.7,3.1,3.9,3.5,--,3.0,3.4
2,Mt St Marys,1.6,2.8,2.7,3.4,3.1,3.0,3.7,3.1,3.5,4.0,3.0,3.0,2.8,3.1,2.9,2.4,2.7,2.7,3.1,2.8,2.5,3.2,3.6,2.8,2.8,3.0
3,Lafayette,1.7,2.3,2.8,2.6,2.5,2.2,2.7,2.6,2.2,2.7,3.1,2.9,2.3,3.2,2.9,2.9,3.0,3.1,3.6,2.1,3.1,2.2,2.0,3.0,2.4,2.6
4,Samford,1.9,1.9,2.0,2.2,2.4,2.6,2.1,2.4,2.3,2.1,2.2,2.8,2.6,2.7,2.3,3.5,3.9,4.1,4.7,3.8,2.8,3.0,3.6,3.2,2.1,2.4
5,Portland St,2.0,3.0,3.0,2.7,2.1,3.4,3.2,2.2,3.1,2.7,2.0,2.4,2.4,3.2,2.6,3.2,3.3,3.3,2.6,2.9,4.5,3.4,3.7,2.8,3.3,2.3
6,Pacific,2.0,2.3,4.0,3.5,3.0,3.0,2.2,2.3,2.5,2.8,2.2,2.3,2.8,2.7,3.5,2.8,3.9,4.1,3.3,4.3,2.9,3.9,2.6,2.9,2.4,3.1
7,Kansas St,2.0,2.7,2.9,3.6,4.2,4.0,3.3,3.4,3.1,3.3,3.5,2.6,3.3,3.4,3.2,3.4,3.9,4.3,4.1,3.3,2.5,2.8,4.0,3.1,3.5,3.9
8,Cornell,2.0,2.9,3.0,3.1,3.5,3.1,3.7,3.1,3.5,3.2,2.8,3.1,2.9,3.8,3.4,4.1,3.6,2.9,3.8,3.6,3.6,3.6,3.6,--,3.0,3.2
9,Youngs St,2.1,2.2,2.5,3.3,3.5,4.2,3.7,3.5,2.0,2.5,2.8,3.5,3.4,2.4,2.4,3.0,2.3,3.7,3.4,3.4,4.5,3.3,3.4,2.8,3.0,2.5
10,Mississippi,2.1,4.0,3.3,3.8,3.7,3.8,3.8,4.3,3.8,4.9,4.3,3.4,3.8,3.4,2.8,3.3,4.2,3.6,4.3,3.6,3.6,3.4,3.8,3.2,3.3,2.8
11,N Arizona,2.1,1.9,2.0,1.7,2.5,2.9,3.2,4.3,3.7,3.9,3.5,2.8,3.0,3.4,3.9,4.0,2.9,3.6,3.6,3.1,3.5,2.9,2.7,3.0,3.2,3.2
12,Michigan,2.1,3.0,3.2,2.6,3.2,3.7,3.2,2.7,3.3,3.0,3.2,3.1,3.1,2.9,2.5,3.1,2.7,2.9,3.2,2.5,3.2,3.3,2.7,2.8,3.2,2.6
13,N Carolina,2.1,3.6,3.2,3.2,3.4,4.4,4.1,4.7,3.7,4.1,4.9,4.5,4.5,3.1,3.4,3.8,4.0,3.9,3.1,4.5,4.7,4.7,4.2,4.6,3.6,3.4
14,Valparaiso,2.1,2.1,1.6,1.8,2.3,2.4,2.8,3.6,2.7,2.1,3.4,2.9,3.4,3.5,2.9,2.5,3.8,3.3,3.7,3.2,2.9,3.0,2.6,2.5,3.1,2.4
15,Evansville,2.1,3.1,3.8,2.6,3.1,2.4,2.1,2.1,2.7,2.4,4.2,4.4,4.4,4.0,3.9,3.7,4.6,3.9,3.5,4.8,4.3,3.0,2.4,2.2,2.4,2.7
16,N Hampshire,2.2,2.6,6.0,4.4,3.8,4.4,3.5,2.9,2.1,2.9,3.6,2.2,3.3,3.2,3.0,3.0,2.9,2.3,3.6,2.8,2.9,2.7,3.1,3.6,2.7,2.9
17,New Mexico,2.2,2.8,3.2,2.9,3.4,2.7,3.5,3.2,2.7,2.8,2.4,2.2,2.8,3.1,2.4,2.9,2.9,3.3,4.1,3.3,3.4,3.2,2.6,2.9,3.1,3.0
18,Montana,2.2,2.3,2.6,2.5,3.0,3.6,3.5,3.3,4.0,2.4,2.1,2.1,2.6,2.7,3.8,2.6,2.9,2.9,3.2,4.1,3.8,2.9,2.8,3.2,2.9,2.3
19,Iona,2.2,3.4,3.8,3.0,3.4,2.9,3.0,3.4,2.6,3.9,4.0,3.4,4.7,3.5,3.2,4.3,3.5,3.7,2.9,2.9,2.8,3.6,2.9,2.6,3.2,2.8
20,Texas,2.2,2.3,2.8,3.0,3.8,3.2,3.4,3.0,2.4,3.2,2.9,2.9,3.7,2.9,3.4,3.3,3.4,3.1,3.2,3.2,2.9,3.3,3.1,3.1,3.3,3.2
21,Bucknell,2.2,2.4,3.8,3.3,2.5,2.2,2.9,2.4,2.4,2.5,2.5,3.8,3.0,2.6,2.5,2.3,4.7,4.3,4.4,3.0,3.3,2.9,3.1,3.2,2.9,3.2
22,Arkansas St,2.2,2.6,3.5,3.0,2.6,2.7,2.8,4.2,3.1,2.6,3.0,2.8,3.2,3.9,3.9,3.0,2.9,2.7,3.1,4.0,3.7,3.6,2.1,4.6,3.4,3.3
23,San Diego,2.3,3.0,3.6,4.2,3.8,3.6,3.3,3.6,4.1,3.5,4.0,3.4,3.6,3.2,3.9,3.9,2.9,3.6,3.4,3.5,2.9,3.3,3.5,3.1,3.0,3.0
24,Loyola-Chi,2.3,1.8,2.6,2.7,2.5,3.6,3.1,3.0,3.5,3.4,3.6,3.7,3.2,3.5,5.1,4.1,3.1,3.3,3.9,3.4,3.1,4.2,3.6,2.8,3.5,3.1
25,Sam Hous St,2.3,2.8,2.3,2.5,3.2,2.6,3.0,3.3,3.0,2.8,3.2,3.0,3.1,2.7,3.0,4.3,3.3,3.4,3.3,3.6,4.3,3.1,3.4,3.2,2.5,3.0
26,E Michigan,2.3,2.7,2.8,2.4,3.2,3.4,3.6,4.1,3.3,4.0,3.2,3.1,3.4,3.0,3.1,2.5,4.3,3.3,3.4,2.7,3.2,3.4,2.7,2.3,3.7,2.8
27,Ste F Austin,2.3,2.6,2.7,3.1,3.7,3.2,2.8,3.8,3.7,4.1,3.6,3.6,4.0,3.0,3.3,3.7,3.6,3.5,2.7,3.2,3.9,3.0,3.7,3.3,3.5,3.4
28,Indiana,2.3,3.8,3.6,3.2,3.6,3.6,3.6,2.9,3.5,3.1,2.8,4.9,5.2,3.7,4.0,4.2,4.8,4.3,3.0,4.0,4.0,3.9,3.3,3.6,2.7,3.1
29,San Francisco,2.3,2.7,2.3,2.0,2.9,2.6,2.8,2.1,2.6,3.0,2.8,3.0,3.4,4.0,3.6,2.4,3.3,2.9,4.7,3.8,4.1,4.0,2.9,3.1,3.0,2.5
30,Montana St,2.3,3.0,3.4,1.5,2.8,2.5,3.2,2.3,2.7,2.9,3.2,3.0,3.0,3.1,2.4,3.2,2.7,4.3,3.9,3.2,3.4,2.3,3.6,3.0,2.9,2.0
31,Detroit,2.3,2.2,1.6,2.4,2.4,2.9,2.3,1.9,3.0,2.5,2.8,3.7,2.5,3.7,2.7,3.9,4.0,3.5,4.2,4.0,4.3,3.4,3.5,2.7,2.0,2.8
32,Ohio State,2.3,2.4,2.6,3.7,3.4,3.4,2.9,2.5,2.8,2.5,2.3,2.1,2.0,3.2,3.0,2.8,2.9,2.9,2.2,3.1,2.6,3.1,3.1,2.6,2.5,2.8
33,SE Louisiana,2.3,2.8,3.2,3.2,3.4,4.1,2.7,1.9,2.3,2.7,3.0,3.0,2.5,4.4,3.6,4.3,3.6,3.9,3.9,4.2,3.5,3.6,3.3,3.3,3.0,2.8
34,Kent State,2.3,2.2,2.8,2.2,2.3,2.5,3.0,2.5,2.8,3.8,3.6,3.6,3.4,4.1,3.4,3.9,3.5,2.9,2.9,2.4,3.2,3.1,2.1,2.6,2.5,2.9
35,Boise State,2.4,2.9,2.9,3.1,3.0,4.2,2.3,2.7,3.5,3.5,3.1,4.1,2.9,3.6,3.1,3.0,3.5,3.0,3.5,4.7,3.1,2.6,2.4,2.4,2.9,3.2
36,Utah,2.4,3.1,2.2,2.9,2.1,2.4,2.8,3.4,3.5,2.4,1.8,1.7,2.5,4.2,3.3,4.0,3.2,3.2,3.6,3.2,3.0,3.9,3.8,3.9,3.6,3.8
37,Gonzaga,2.4,2.4,2.4,2.6,3.1,2.3,2.3,1.8,2.8,3.1,3.4,2.9,2.9,2.9,2.5,3.2,3.1,2.4,3.0,3.1,2.7,2.3,2.9,2.7,2.9,2.5
38,Hawaii,2.4,2.2,2.8,2.9,2.8,2.5,2.5,3.0,2.0,3.1,2.4,3.0,2.9,2.9,3.4,2.9,3.7,2.9,2.7,3.1,2.9,2.3,3.1,2.8,2.8,3.2
39,Murray St,2.4,2.5,2.6,2.8,3.1,2.6,2.8,3.4,2.1,2.6,2.6,3.3,2.8,2.7,2.7,2.7,3.3,2.9,2.2,3.4,3.3,3.6,3.6,3.9,4.1,2.9
40,Miami (FL),2.5,2.7,3.2,4.9,3.8,4.0,3.8,4.0,3.7,4.3,4.1,3.9,3.3,3.3,3.6,2.9,2.7,3.4,2.5,3.1,3.4,2.8,4.3,4.1,3.4,3.4
41,Idaho,2.5,2.0,2.5,4.1,3.1,3.5,3.0,2.8,4.3,3.7,3.3,3.5,3.3,3.2,2.9,3.0,3.3,3.0,3.2,3.1,2.1,2.9,2.9,3.0,3.6,3.0
42,Ball State,2.5,2.3,2.3,2.2,2.1,2.1,3.3,3.3,3.2,3.1,3.3,2.5,3.3,3.6,3.2,2.9,3.7,3.4,2.2,3.3,3.6,3.3,2.7,2.7,2.9,2.6
43,Towson,2.5,3.3,3.5,3.0,3.6,4.6,4.2,4.3,3.9,3.0,3.0,2.7,3.6,3.2,3.7,4.0,3.7,4.5,3.5,4.2,2.9,2.4,2.6,3.3,3.1,2.8
44,U Penn,2.5,2.7,2.1,2.7,2.6,2.2,3.2,3.4,2.5,3.3,3.5,3.3,3.3,3.5,3.4,4.1,4.0,4.0,3.7,3.1,3.1,2.7,3.1,--,3.2,3.0
45,Austin Peay,2.5,2.3,2.4,2.1,2.8,3.3,2.1,2.9,2.5,3.5,3.3,2.6,4.0,3.7,3.2,2.9,3.3,3.2,3.0,2.8,4.0,3.4,2.5,2.5,3.5,2.7
46,W Kentucky,2.5,3.3,2.7,2.4,2.8,2.6,2.8,3.3,3.1,3.1,2.8,2.4,2.8,3.2,4.2,3.8,4.5,3.4,2.9,2.9,3.2,3.7,3.1,3.9,3.0,2.3
47,WI-Milwkee,2.5,2.5,3.2,2.8,3.5,3.6,2.5,2.7,3.8,3.9,3.7,3.6,2.6,3.2,3.2,3.8,3.8,3.4,2.9,3.6,4.2,3.5,3.3,2.8,3.1,3.7
48,U Mass,2.5,3.1,4.1,3.9,3.2,2.9,2.7,3.1,4.2,3.6,4.0,4.1,4.8,4.4,4.0,3.3,5.5,4.3,3.4,2.9,3.3,3.6,2.2,3.5,2.7,3.5
49,Oral Roberts,2.5,2.9,2.7,2.6,2.7,2.8,3.2,3.5,2.2,2.2,2.6,3.3,3.5,3.4,2.5,3.8,3.3,3.5,2.6,3.1,3.6,2.8,3.5,3.2,3.6,2.8
50,Northeastrn,2.5,2.8,2.5,3.0,4.2,4.8,3.8,2.9,2.4,2.7,3.8,3.0,3.1,4.2,4.5,3.5,4.7,3.4,3.3,3.6,2.5,2.1,2.4,2.2,2.2,3.2
51,IL-Chicago,2.5,3.1,1.9,4.7,4.3,4.3,3.5,3.8,3.6,3.2,2.5,3.3,3.4,3.3,4.5,3.5,4.4,4.8,5.4,4.0,3.8,3.0,2.7,2.5,2.1,3.8
52,La Salle,2.6,2.9,2.1,3.1,3.6,4.3,3.0,3.2,3.3,4.0,5.4,3.8,3.8,5.3,4.0,3.9,5.1,3.5,4.0,2.9,2.9,3.2,4.0,2.9,2.9,4.5
53,Florida Intl,2.6,2.1,2.6,2.8,4.0,2.6,2.8,3.2,3.6,3.6,3.1,3.6,4.2,4.3,4.5,3.9,3.8,3.8,3.3,3.9,3.7,4.6,3.0,2.9,3.1,3.4
54,S Methodist,2.6,2.9,3.2,3.6,3.6,3.9,3.3,3.9,3.5,3.2,3.0,2.8,2.2,1.9,2.5,3.8,3.8,3.5,3.9,3.0,3.4,2.7,3.0,4.0,4.1,4.8
55,NC State,2.6,3.1,3.1,3.0,3.3,2.8,2.6,3.1,3.3,2.8,3.4,3.2,3.7,4.5,3.6,3.5,3.4,3.9,4.1,2.9,4.0,4.2,3.4,3.7,4.2,2.8
56,Washington,2.6,2.4,3.5,3.1,3.4,4.4,2.9,2.7,3.3,3.4,3.8,3.1,3.0,2.8,3.7,3.0,4.1,3.1,3.9,3.8,3.3,2.5,2.1,3.0,3.8,3.6
