,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Xavier,0.851,0.903,0.91,0.94,0.962,0.963,0.942,0.949,0.974,0.949,0.951,0.95,0.958,0.94,0.951,0.949,0.96,0.935,0.926,0.934,0.947,0.975,0.94,0.963,0.934,0.946
1,Ball State,0.854,0.921,0.939,0.982,0.957,0.94,0.963,0.924,0.903,0.891,0.912,0.961,0.971,0.941,0.94,0.943,0.969,0.928,0.959,0.954,0.96,0.959,0.919,0.970,0.95,0.955
2,Boise State,0.861,0.841,0.87,0.902,0.894,0.894,0.924,0.957,0.956,0.964,0.936,0.963,0.935,0.867,0.909,0.897,0.939,0.921,0.902,0.946,0.911,0.906,0.899,0.899,0.897,0.93
3,San Francisco,0.865,0.901,0.918,0.965,0.973,0.951,0.912,0.922,0.927,0.945,0.899,0.953,0.95,0.978,0.89,0.959,0.96,0.95,0.976,0.927,0.938,0.937,0.919,0.896,0.919,0.933
4,GA Southern,0.869,0.922,0.924,0.936,0.924,0.94,0.87,0.909,0.907,0.933,0.917,0.967,0.916,0.917,0.92,0.957,0.954,0.935,0.952,0.962,0.94,0.927,0.919,0.909,0.954,0.937
5,LIU-Brooklyn,0.869,0.891,0.909,0.94,0.965,0.96,0.979,0.939,0.931,0.955,0.93,0.946,0.969,0.956,0.983,0.957,0.996,0.963,0.944,0.931,0.969,0.945,,,,
6,North Texas,0.869,0.939,0.964,0.976,0.961,0.99,0.978,0.935,0.903,0.943,0.935,0.959,0.956,0.982,0.941,0.967,0.958,0.949,0.956,0.959,0.94,0.904,0.903,0.916,0.909,0.935
7,Maryland ES,0.87,0.926,0.929,0.909,0.951,0.918,0.951,0.957,0.955,0.96,0.957,0.968,0.977,0.946,0.951,0.929,0.954,0.921,0.929,0.944,0.994,0.95,0.929,--,0.889,0.885
8,Kent State,0.874,0.879,0.897,0.918,0.931,0.926,0.917,0.895,0.868,0.896,0.914,0.921,0.908,0.963,0.927,0.938,0.935,0.966,0.948,0.938,0.948,0.934,0.939,0.950,0.916,0.9
9,Coastal Car,0.875,0.913,0.915,0.923,0.94,0.943,0.937,0.931,0.953,0.936,0.979,0.955,0.955,0.967,0.99,0.92,0.946,0.962,0.986,0.957,0.944,0.95,0.938,0.944,0.962,0.991
10,Coppin State,0.875,0.911,0.941,0.938,0.941,0.917,0.901,0.908,0.906,0.947,0.925,0.947,0.96,0.959,0.988,0.95,0.977,0.962,0.973,0.954,0.966,0.964,0.939,0.953,0.94,0.97
11,Oregon St,0.88,0.959,0.924,0.954,0.973,0.948,0.901,0.96,0.982,0.929,0.937,0.95,0.917,0.906,0.912,0.973,0.987,0.906,0.949,0.969,0.937,0.951,0.939,0.956,0.968,0.959
12,Santa Clara,0.881,0.965,0.922,0.921,0.964,0.95,0.943,0.923,0.959,0.96,0.933,0.966,0.941,0.924,0.966,0.932,0.96,0.964,0.968,0.91,0.912,0.963,0.922,0.947,0.956,0.939
13,S Alabama,0.883,0.895,0.878,0.883,0.924,0.912,0.939,0.961,0.901,0.941,0.934,0.987,0.957,0.956,0.975,0.948,0.981,1.006,0.963,0.909,0.954,0.935,0.939,0.965,0.932,0.97
14,Wichita St,0.883,0.872,0.893,0.947,0.944,0.936,0.949,0.957,0.948,0.941,0.928,0.905,0.899,0.928,0.932,0.914,0.93,0.897,0.862,0.905,0.931,0.942,0.902,0.967,0.916,0.961
15,Duke,0.884,0.929,0.943,0.918,0.895,0.907,0.928,0.961,0.958,0.923,0.901,0.906,0.935,0.946,0.97,0.947,0.953,0.955,0.988,0.961,0.966,0.943,0.918,0.925,0.983,0.954
16,Arkansas,0.884,0.929,0.882,0.907,0.9,0.934,0.931,0.909,0.92,0.965,0.936,0.929,0.951,0.947,0.938,0.894,0.931,0.922,0.938,0.969,0.942,0.925,0.909,0.913,0.9,0.908
17,W Michigan,0.885,0.898,0.935,0.92,0.903,0.87,0.898,0.946,0.933,0.95,0.94,0.966,0.958,0.957,0.984,0.942,0.962,0.941,0.936,0.922,0.909,0.97,0.976,0.993,0.996,0.979
18,Princeton,0.886,0.921,0.951,0.93,0.906,0.912,0.93,0.92,0.895,0.908,0.927,0.95,0.891,0.937,0.959,0.919,0.917,0.927,0.939,0.902,0.936,0.935,0.922,--,0.948,0.961
19,Navy,0.887,0.885,0.866,0.862,0.871,0.902,0.913,0.919,0.904,0.925,0.903,0.938,0.924,0.889,0.902,0.942,0.917,0.92,0.912,0.86,0.874,0.938,0.93,0.870,0.902,0.924
20,VA Military,0.888,0.9,0.904,0.922,0.922,0.96,0.965,0.961,0.976,0.904,0.917,0.903,0.962,0.979,0.953,0.98,0.995,0.923,0.963,0.95,0.943,0.948,0.949,0.988,1.0,0.973
21,LA Tech,0.89,0.905,0.949,0.948,0.951,0.976,0.946,0.946,0.921,0.92,0.929,0.935,0.95,0.923,0.942,0.898,0.904,0.93,0.942,0.921,0.941,0.932,0.912,0.919,0.936,0.896
22,Saint Louis,0.891,0.892,0.918,0.937,0.909,0.948,0.911,0.957,0.935,1.0,0.948,0.947,0.94,0.915,0.889,0.896,0.919,0.928,0.94,0.949,0.931,0.916,0.918,0.891,0.938,0.968
23,Pepperdine,0.891,0.895,0.886,0.874,0.933,0.925,0.934,0.942,0.969,0.934,0.899,0.952,0.972,0.955,0.972,0.984,0.996,0.959,0.977,0.964,0.957,0.907,0.925,0.934,0.95,0.96
24,Wisconsin,0.892,0.884,0.895,0.903,0.92,0.909,0.913,0.934,0.946,0.924,0.92,0.92,0.914,0.952,0.951,0.945,0.968,0.944,0.936,0.914,0.928,0.948,0.953,0.935,0.933,0.924
25,Clemson,0.893,0.93,0.983,0.971,0.958,0.948,0.953,0.884,0.87,0.898,0.903,0.92,0.905,0.908,0.902,0.945,0.992,0.968,0.961,0.933,0.946,0.906,0.907,0.901,0.942,0.946
26,Oklahoma St,0.894,0.921,0.924,0.914,0.937,0.928,0.937,0.908,0.919,0.937,0.9,0.933,0.941,0.931,0.973,0.929,0.947,0.938,0.982,0.924,0.929,0.956,0.928,0.934,0.911,0.935
27,Towson,0.894,0.909,0.911,0.93,0.969,1.007,0.969,0.995,0.993,0.959,0.942,0.985,1.006,0.982,0.999,0.988,1.025,0.986,0.938,0.925,0.928,0.964,0.964,0.975,0.921,0.937
28,California,0.895,0.919,0.917,0.891,0.909,0.924,0.919,0.946,0.918,0.95,0.975,0.955,0.957,0.948,0.93,0.988,0.987,0.968,0.971,0.936,0.923,0.91,0.939,0.927,0.954,0.973
29,W Virginia,0.896,0.911,0.961,0.99,0.962,0.96,0.958,0.925,0.921,0.928,0.904,0.906,0.943,0.985,0.93,0.932,0.958,0.839,0.859,0.851,0.894,0.938,0.9,0.928,0.917,0.911
30,N Arizona,0.898,0.922,0.983,0.948,0.933,0.929,0.962,0.901,0.889,0.948,0.921,0.914,0.951,0.958,0.933,0.93,0.936,0.945,0.949,0.949,0.927,0.95,0.928,0.924,0.969,0.931
31,Weber State,0.898,0.899,0.953,0.92,0.883,0.923,0.922,0.95,0.927,0.961,0.923,0.923,0.929,0.959,0.952,0.952,0.995,0.968,0.968,0.973,0.966,0.962,0.964,0.917,0.904,0.903
32,Drake,0.898,0.895,0.897,0.943,0.941,0.945,0.863,0.925,0.916,0.936,0.914,0.94,0.951,0.941,0.927,0.932,0.952,0.966,0.977,0.969,0.951,0.945,0.916,0.928,0.917,0.92
33,Lamar,0.898,0.943,0.939,0.962,0.991,0.966,0.93,0.956,0.973,0.993,0.883,0.949,0.945,0.947,0.938,1.003,0.963,0.926,0.942,0.91,0.898,0.908,0.911,0.922,0.957,0.982
34,Hofstra,0.899,0.885,0.881,0.885,0.957,0.979,0.923,0.942,0.939,0.978,0.953,0.943,0.952,0.971,0.901,0.945,0.986,0.922,0.973,0.975,0.948,0.953,0.935,0.954,0.909,0.964
35,Oregon,0.9,0.937,0.91,0.945,0.947,0.936,0.977,0.951,0.93,0.936,0.979,0.925,0.921,0.911,0.951,0.895,0.94,0.974,0.931,0.936,0.918,0.912,0.941,0.911,0.944,0.954
36,Nicholls St,0.901,0.886,0.868,0.902,0.929,0.968,0.925,0.948,0.979,0.964,0.876,0.87,0.877,0.891,0.98,0.939,0.935,0.943,0.97,0.943,0.917,0.968,0.89,0.911,0.937,0.894
37,Arizona,0.901,0.945,0.918,0.925,0.981,0.938,0.963,0.925,0.874,0.983,0.965,0.982,0.96,0.94,0.963,0.917,0.929,0.882,0.953,0.944,0.94,0.907,0.907,0.923,0.962,0.952
38,Cal St Nrdge,0.901,0.871,0.897,0.919,0.884,0.896,0.866,0.87,0.88,0.901,0.896,0.903,0.939,0.93,0.94,0.912,0.967,0.966,0.944,0.958,0.979,0.973,0.963,0.935,0.935,0.953
39,Texas A&M,0.902,0.932,0.942,0.953,0.943,0.947,0.935,0.922,0.867,0.936,0.96,0.952,0.927,0.927,0.944,0.93,0.945,0.936,0.924,0.97,0.978,0.97,0.923,0.906,0.909,0.928
40,Cincinnati,0.902,0.923,0.923,0.934,0.933,0.936,0.922,0.972,0.967,0.918,0.952,0.968,0.962,0.922,0.943,0.94,0.914,0.955,0.942,0.925,0.907,0.918,0.933,0.921,0.96,0.95
41,NW State,0.902,0.884,0.894,0.921,0.959,0.904,0.947,0.911,0.917,0.892,0.905,0.933,0.967,0.93,0.954,0.961,0.961,0.977,0.975,0.944,0.945,0.954,0.976,0.957,0.972,0.926
42,Davidson,0.902,0.885,0.92,0.962,0.965,0.964,0.943,0.941,0.969,0.9,0.886,0.907,0.941,0.942,0.941,0.939,0.939,0.975,0.984,0.953,0.942,0.949,0.934,0.936,0.934,0.953
43,Florida Intl,0.903,0.919,0.916,0.939,0.884,0.893,0.953,0.94,0.939,0.936,0.92,0.959,0.934,0.952,0.948,0.894,0.966,0.955,1.0,0.946,0.923,0.905,0.948,0.922,0.947,0.93
