,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,N Carolina,0.226,0.23,0.243,0.263,0.307,0.294,0.332,0.303,0.276,0.279,0.258,0.247,0.245,0.248,0.218,0.271,0.414,0.378,0.304,0.316,0.26,0.284,0.292,0.269,0.214,0.263
1,TN Martin,0.231,0.261,0.404,0.435,0.441,0.392,0.37,0.328,0.465,0.374,0.284,0.368,0.404,0.384,0.403,0.449,0.497,0.288,0.3,0.311,0.341,0.272,0.282,0.365,0.372,0.34
2,New Mexico,0.233,0.224,0.422,0.467,0.405,0.353,0.362,0.278,0.334,0.347,0.413,0.479,0.35,0.359,0.315,0.257,0.313,0.328,0.371,0.377,0.4,0.371,0.244,0.357,0.355,0.285
3,Richmond,0.24,0.287,0.283,0.266,0.269,0.359,0.391,0.424,0.391,0.531,0.452,0.428,0.362,0.293,0.356,0.431,0.403,0.335,0.361,0.346,0.314,0.287,0.302,0.293,0.234,0.262
4,S Carolina,0.241,0.252,0.293,0.207,0.294,0.341,0.327,0.331,0.276,0.28,0.275,0.367,0.392,0.395,0.403,0.458,0.57,0.445,0.382,0.445,0.432,0.396,0.531,0.390,0.415,0.294
5,Purdue,0.252,0.292,0.326,0.453,0.323,0.371,0.323,0.371,0.386,0.386,0.426,0.313,0.368,0.304,0.338,0.333,0.419,0.384,0.281,0.229,0.242,0.317,0.319,0.301,0.216,0.192
6,San Diego,0.26,0.315,0.352,0.443,0.435,0.307,0.315,0.375,0.388,0.394,0.34,0.39,0.44,0.433,0.361,0.377,0.377,0.421,0.421,0.365,0.419,0.373,0.318,0.338,0.237,0.334
7,Iowa State,0.263,0.322,0.259,0.379,0.333,0.383,0.303,0.304,0.456,0.306,0.278,0.285,0.271,0.292,0.265,0.327,0.307,0.24,0.249,0.256,0.265,0.236,0.28,0.362,0.367,0.408
8,Middle Tenn,0.267,0.34,0.401,0.272,0.295,0.41,0.459,0.386,0.41,0.428,0.464,0.452,0.5,0.576,0.42,0.428,0.439,0.423,0.424,0.382,0.408,0.342,0.397,0.288,0.365,0.346
9,GA Tech,0.271,0.264,0.315,0.428,0.425,0.323,0.401,0.372,0.452,0.442,0.487,0.38,0.348,0.452,0.338,0.33,0.379,0.338,0.317,0.274,0.318,0.348,0.358,0.289,0.314,0.308
10,Pacific,0.271,0.338,0.326,0.437,0.376,0.393,0.286,0.232,0.272,0.351,0.368,0.349,0.379,0.293,0.345,0.393,0.527,0.431,0.493,0.409,0.352,0.422,0.416,0.332,0.281,0.364
