,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Princeton,18.9,18.6,19.6,19.7,19.8,21.2,19.6,16.4,18.3,18.6,22.7,19.7,18.6,22.7,23.0,20.9,22.7,22.7,25.8,21.9,25.7,25.8,26.3,--,28.0,25.4
1,Wyoming,19.4,26.2,27.3,24.1,23.6,25.7,24.5,24.2,23.3,25.9,25.2,26.9,26.3,25.3,19.8,21.6,21.9,20.7,24.8,25.5,27.3,26.3,24.0,27.8,24.2,25.7
2,Utah,19.7,19.4,21.9,21.8,21.6,20.3,21.0,21.5,23.2,25.7,21.4,22.3,22.7,24.9,25.3,23.0,23.3,20.1,25.9,25.1,24.4,26.7,26.4,25.6,26.0,23.9
3,S Alabama,20.0,22.4,23.3,22.8,23.4,26.1,24.5,23.2,23.8,23.8,23.7,23.2,23.4,27.0,23.8,23.9,24.9,26.9,25.5,25.4,24.4,25.8,24.4,25.1,23.1,24.6
4,WI-Grn Bay,20.6,20.2,20.2,22.1,24.2,24.3,23.0,24.9,24.7,23.4,24.4,22.7,23.9,23.1,23.8,22.0,23.1,21.1,28.5,28.1,28.3,29.1,28.3,27.8,25.1,27.9
5,Temple,20.7,19.9,19.2,21.9,23.1,22.9,22.0,21.0,20.2,25.2,24.1,22.8,20.8,23.2,25.2,24.2,28.4,21.7,24.5,25.2,25.3,25.5,23.8,24.1,23.4,25.3
6,NC-Wilmgton,20.7,21.0,19.6,20.4,21.5,21.1,20.8,21.7,19.8,23.8,25.8,31.0,25.4,24.2,25.2,25.3,24.3,23.2,23.0,26.6,29.6,28.6,25.9,27.4,24.8,22.8
7,Wisconsin,20.7,19.2,19.0,19.3,24.4,22.6,21.0,22.6,23.8,21.3,20.0,21.2,20.4,20.7,19.7,21.3,23.9,22.4,22.7,22.2,24.2,22.8,23.1,23.5,24.6,23.7
8,Col Charlestn,20.9,21.0,21.9,22.1,22.1,24.1,24.9,24.3,24.8,24.5,27.1,27.3,27.6,26.2,25.6,23.1,21.6,21.3,21.3,23.4,24.5,25.0,24.0,24.2,26.7,25.7
9,Columbia,21.0,22.0,21.5,19.8,19.9,21.0,23.9,21.1,22.5,22.1,21.5,20.9,22.1,25.2,21.3,20.9,21.8,21.7,24.2,25.4,27.3,25.6,27.4,--,29.0,28.8
10,Wichita St,21.1,22.3,21.5,22.9,24.7,24.8,22.4,22.8,22.5,23.0,21.8,21.5,21.0,21.6,22.2,20.4,20.8,19.8,18.8,21.1,24.5,23.3,21.6,24.7,23.7,24.5
11,Colorado St,21.1,23.9,23.5,21.8,21.9,25.6,24.1,23.7,24.2,24.6,25.6,26.3,22.2,23.7,23.1,22.2,24.2,22.8,27.3,23.8,27.5,27.2,26.6,24.5,24.0,25.1
12,Clemson,21.2,21.9,22.7,27.5,26.6,24.0,25.1,24.1,24.4,24.4,25.3,24.8,23.3,21.3,22.0,21.6,21.6,22.2,23.3,26.5,23.6,22.2,22.5,22.0,24.0,23.5
13,Youngs St,21.2,22.5,22.8,23.1,27.2,23.4,25.0,26.0,26.0,25.6,25.6,24.1,23.9,26.2,24.3,25.3,26.1,26.9,31.3,29.8,29.8,27.6,26.2,27.8,25.6,27.4
14,Lamar,21.4,25.2,23.6,22.7,25.4,23.0,29.0,26.6,27.8,27.2,26.9,25.0,26.4,26.7,24.0,29.1,28.2,24.5,26.5,25.4,24.9,25.9,26.2,26.7,25.3,27.3
15,Detroit,21.7,18.1,22.8,21.7,21.8,21.8,19.4,19.4,22.5,22.9,22.5,21.7,22.9,26.1,23.4,25.5,23.4,23.5,28.1,28.0,30.2,28.4,27.8,27.6,25.7,27.2
16,Marquette,21.7,21.8,22.0,22.5,21.4,23.6,24.4,22.3,24.6,22.3,22.4,25.5,24.4,25.4,23.7,22.2,23.4,23.8,26.8,26.8,27.4,24.1,25.3,24.7,25.8,25.5
17,Bradley,21.7,20.2,21.8,21.8,21.5,25.4,22.9,23.8,22.5,25.0,25.1,23.1,23.4,23.2,25.7,23.7,22.0,20.3,23.2,23.6,21.9,22.2,22.5,23.7,22.9,21.7
18,TX El Paso,21.7,23.1,25.8,26.9,24.3,26.6,24.6,24.2,21.9,23.1,23.8,24.2,21.4,22.4,22.4,22.0,22.1,23.0,26.1,23.5,24.6,24.7,23.5,23.7,24.1,24.1
19,American,21.8,25.9,24.4,22.7,22.8,22.7,22.4,22.9,23.2,21.0,20.8,20.1,23.6,21.9,22.2,23.2,20.3,21.4,23.7,23.9,25.9,24.9,24.8,26.8,26.5,23.6
20,Miami (FL),21.9,23.2,21.8,23.3,23.6,23.7,24.4,25.0,21.4,24.3,23.7,23.2,22.4,23.1,23.6,22.1,21.1,23.4,24.7,23.1,24.8,26.6,27.8,26.7,26.5,26.8
21,Pacific,21.9,23.8,23.4,21.5,22.4,22.1,23.1,24.3,23.4,25.5,23.1,21.5,20.9,23.4,23.1,22.1,23.6,23.4,23.9,24.5,25.0,23.5,21.9,24.8,26.1,27.8
22,U Mass,21.9,22.1,22.8,22.4,21.8,23.0,26.3,23.5,23.3,23.8,26.6,27.5,26.3,22.7,24.9,25.2,25.5,25.3,25.7,23.7,26.6,25.0,26.0,26.9,28.8,25.1
23,Davidson,22.1,24.1,24.8,23.8,22.0,26.0,25.3,23.6,25.0,24.5,22.1,21.8,24.7,23.0,23.7,21.8,25.4,25.6,28.7,25.3,24.3,23.0,23.9,23.1,23.3,25.5
24,Northwestern,22.1,19.9,22.5,23.6,20.9,23.4,23.4,22.3,20.9,21.0,23.3,20.7,21.9,24.2,25.0,22.6,22.3,22.6,22.4,22.7,23.0,23.2,24.8,24.7,24.1,21.9
25,Cornell,22.2,22.3,24.5,23.5,22.8,24.0,25.2,23.8,21.9,22.8,24.3,23.5,22.3,23.8,22.7,24.0,26.7,20.5,27.6,27.8,29.1,27.0,25.7,--,27.3,28.1
26,Cincinnati,22.2,21.3,22.5,23.3,21.7,21.2,21.1,22.7,25.3,22.8,22.4,23.7,23.1,21.0,22.9,21.1,20.3,20.6,22.7,21.3,20.5,21.9,23.7,24.7,23.2,25.5
27,Butler,22.2,21.1,19.3,22.6,20.5,23.1,20.7,23.3,23.0,19.1,21.3,20.2,21.1,22.4,20.5,22.3,25.1,21.8,24.8,24.1,25.1,24.7,21.6,25.3,24.5,26.2
28,Citadel,22.2,23.0,24.8,22.3,22.0,23.2,25.5,24.0,25.2,24.4,27.8,22.6,21.7,25.8,27.2,27.5,26.9,26.2,33.6,33.6,32.3,30.5,30.7,30.9,28.8,26.1
29,NC A&T,22.2,22.5,26.1,25.3,25.1,28.6,24.9,24.5,24.5,25.4,26.6,24.8,25.4,27.0,25.4,20.7,23.2,22.6,24.7,25.9,27.3,24.8,24.9,27.2,24.3,27.2
30,S Florida,22.3,23.9,25.5,23.1,26.1,24.1,24.3,22.5,22.2,24.1,24.9,23.0,24.3,23.2,20.1,22.6,25.3,23.0,24.8,24.7,25.6,22.8,22.1,24.8,22.2,24.5
31,Michigan St,22.3,21.1,20.6,21.7,22.1,20.3,23.0,22.8,24.5,19.2,22.0,21.9,22.4,23.0,20.3,21.1,21.5,21.4,22.1,23.8,22.1,23.2,22.9,24.8,25.0,24.5
32,Illinois,22.3,21.0,22.5,21.4,23.3,20.5,22.2,22.3,20.3,19.8,20.6,21.5,23.3,22.9,22.3,22.5,22.0,22.8,27.4,24.9,24.7,25.7,24.4,24.8,24.7,24.4
33,S Mississippi,22.3,21.4,22.5,22.1,23.0,26.0,25.4,25.7,22.5,21.2,23.3,23.3,20.3,22.3,22.9,21.1,20.8,24.5,23.7,25.0,25.8,23.1,24.6,23.9,27.3,24.0
34,Santa Clara,22.4,23.4,21.2,22.7,25.2,23.1,24.0,24.4,24.0,21.6,21.5,22.7,23.8,23.9,25.2,23.1,24.6,22.7,25.3,23.5,26.4,25.0,25.2,25.4,27.2,26.9
35,Towson,22.4,24.0,24.5,26.4,25.1,26.8,24.2,24.1,26.2,23.3,24.1,25.5,28.4,27.5,24.2,23.2,23.8,21.7,22.9,22.7,24.5,24.5,23.5,26.6,22.4,23.5
36,NC State,22.4,23.3,23.0,25.7,23.5,23.5,23.1,23.0,23.9,26.6,25.9,25.7,23.4,25.5,24.0,25.7,23.6,23.0,26.8,28.7,27.5,24.9,24.8,25.6,27.7,25.3
37,Tulsa,22.4,20.5,21.8,24.1,25.2,23.5,24.8,24.0,22.1,20.8,23.5,21.7,23.0,23.0,22.2,23.1,21.8,21.2,23.7,24.6,25.6,24.8,22.3,22.8,24.8,28.8
38,Oregon St,22.5,23.0,23.9,23.5,24.7,26.1,27.0,27.5,25.5,24.6,25.1,23.0,22.1,25.3,26.0,25.7,26.8,18.6,24.2,25.1,23.9,24.6,24.0,23.3,28.6,23.4
39,VA Tech,22.5,22.6,21.8,25.4,24.0,25.7,23.8,24.1,22.6,22.5,22.7,24.8,22.9,22.7,22.2,26.0,23.3,24.5,25.9,27.3,25.6,21.7,24.1,23.3,23.1,26.2
40,N Hampshire,22.6,26.6,30.3,27.3,26.5,27.9,23.7,25.3,22.6,23.4,24.4,22.0,21.4,21.4,21.7,22.3,21.4,21.2,24.8,24.7,23.7,24.1,23.4,23.0,23.8,25.1
41,Saint Louis,22.6,22.7,22.7,21.6,22.0,21.1,21.3,21.7,21.1,23.5,22.1,22.3,22.1,22.1,20.2,21.0,22.4,22.9,24.4,23.8,22.9,22.2,21.9,22.2,24.5,25.0
42,Geo Wshgtn,22.7,25.3,27.9,24.5,25.1,25.0,24.4,23.9,23.9,21.7,23.1,23.1,22.6,22.4,23.6,23.5,23.9,22.5,25.1,25.8,26.0,25.7,26.0,27.2,26.8,28.2
43,St Bonavent,22.7,23.1,22.4,25.0,29.3,27.2,27.9,27.4,27.5,28.9,25.2,24.9,25.2,24.9,22.5,24.3,23.6,22.8,25.4,24.3,23.7,22.1,23.2,21.6,24.4,23.0
44,Wm & Mary,22.7,24.5,25.5,21.0,22.2,24.5,27.5,26.4,25.0,22.7,21.8,22.7,23.1,24.6,25.1,25.3,26.2,24.2,26.0,27.6,30.4,27.5,25.7,27.4,27.8,26.7
45,Navy,22.8,21.4,23.6,22.7,23.4,22.9,24.5,25.3,24.7,20.9,25.2,23.8,25.5,24.8,22.8,21.1,22.0,22.5,20.8,22.3,23.4,25.8,23.1,24.2,21.5,23.8
46,Air Force,22.8,27.4,26.0,20.4,20.6,19.3,18.3,19.2,20.1,20.9,19.1,20.2,21.4,22.3,21.3,24.2,23.4,22.7,24.7,26.3,25.2,25.7,26.6,26.2,23.1,23.9
47,Georgetown,22.8,22.7,23.2,22.6,25.6,23.6,23.7,21.2,21.5,20.1,19.7,22.5,23.2,23.0,20.6,19.5,21.7,21.2,23.0,24.9,27.4,27.7,26.3,26.1,27.8,28.7
48,Old Dominion,22.8,23.4,24.7,24.7,22.2,22.4,26.3,22.3,23.4,21.7,22.9,22.3,20.9,21.1,21.0,24.4,21.6,19.2,21.0,20.4,22.1,21.0,22.0,24.0,23.7,23.1
49,San Francisco,22.8,23.3,22.5,24.2,24.6,23.5,23.5,23.8,25.3,26.4,25.1,25.9,26.1,24.9,25.9,24.8,24.5,23.3,27.1,24.1,24.0,24.8,25.2,24.2,24.5,25.0
50,Kentucky,22.9,22.2,23.2,24.8,24.4,23.0,22.0,22.0,23.7,24.7,21.6,22.8,23.0,22.7,22.2,23.1,23.4,19.2,23.0,25.8,24.5,23.1,23.1,25.1,24.6,24.3
51,Brown,22.9,25.7,25.7,26.9,26.5,26.6,25.8,25.6,23.1,22.4,23.9,25.5,27.9,27.3,25.8,23.1,23.4,24.8,27.4,28.1,27.6,24.7,25.0,--,25.2,25.5
52,BYU,22.9,25.2,22.1,20.8,22.9,20.8,23.6,25.0,25.4,24.8,22.6,22.6,23.3,24.4,24.2,24.2,27.0,25.7,25.7,26.6,25.1,26.3,25.6,25.0,24.8,24.1
