,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,UAB,0.0,0.2,0.4,1.1,0.3,1.1,0.2,0.4,0.0,0.0,0.0,0.5,0.5,1.9,0.3,0.3,1.2,2.2,1.2,0.4,0.8,0.6,0.0,0.0,1.1,2.2
1,Liberty,0.0,1.7,0.5,4.0,0.8,0.7,0.2,0.3,0.6,0.0,0.0,2.6,0.0,0.9,0.3,0.8,0.0,0.4,0.0,1.0,1.1,0.0,0.0,0.0,1.1,0.0
2,Houston,0.0,0.0,0.1,0.0,0.5,0.3,1.6,0.0,0.5,0.0,0.0,0.6,0.6,2.1,0.8,2.1,0.3,1.2,1.6,0.2,0.0,0.0,0.3,0.0,0.6,0.0
3,Nicholls St,0.0,1.0,0.1,0.5,0.0,0.3,0.6,0.5,0.0,0.0,0.0,0.8,1.3,0.8,0.4,1.0,0.5,0.9,0.9,1.1,0.0,0.9,0.8,0.9,0.7,0.0
4,Oregon,0.0,1.4,0.8,1.4,1.1,0.3,0.9,1.0,0.8,0.0,0.0,0.6,1.3,0.2,0.0,1.3,1.4,1.1,0.3,0.2,1.1,0.4,1.4,0.0,0.5,0.2
5,Bowling Grn,0.0,0.4,0.7,0.2,1.1,0.1,0.6,0.0,1.2,0.0,0.0,1.0,0.6,0.5,0.7,1.3,0.7,0.4,0.0,1.1,1.3,0.6,1.0,0.7,0.6,0.0
6,Boise State,0.0,0.3,0.3,1.6,0.3,1.2,0.4,0.0,0.6,0.0,0.0,0.8,0.6,1.8,0.4,0.5,1.3,1.4,0.8,0.0,1.1,0.7,1.2,0.6,1.0,0.8
7,Columbia,0.0,0.0,0.2,1.3,0.2,0.0,1.8,0.0,0.5,0.0,0.0,0.6,0.0,0.8,0.8,0.0,1.2,0.0,0.9,0.8,1.0,3.1,1.2,--,0.3,0.8
8,Notre Dame,0.0,0.3,0.9,0.0,0.8,1.1,0.0,0.0,2.3,0.0,0.0,0.5,0.9,1.1,1.0,1.9,1.4,1.2,0.3,0.3,1.0,0.0,0.3,0.0,1.0,0.2
9,LSU,0.0,0.9,0.0,1.0,0.5,0.0,0.0,1.5,0.4,0.0,0.0,0.6,0.3,0.6,1.1,1.2,1.1,1.4,1.2,0.0,0.3,1.9,0.7,0.4,0.3,0.0
10,Florida Intl,0.0,0.8,1.5,0.4,0.5,1.7,0.2,2.0,1.6,0.0,0.0,0.5,0.4,1.2,1.3,0.0,0.8,0.5,1.6,2.3,2.2,0.0,0.2,2.2,1.4,1.4
11,Marshall,0.0,1.0,0.9,0.6,1.0,1.3,0.5,0.0,1.4,0.0,0.0,0.6,1.2,0.1,1.5,0.6,0.9,0.2,0.6,1.0,0.5,1.4,0.4,0.7,0.0,0.9
12,Saint Louis,0.0,0.4,0.3,0.7,0.0,0.8,0.2,1.1,0.9,0.0,0.0,1.6,1.9,0.0,0.5,1.0,1.1,0.3,0.3,0.5,0.4,0.0,0.8,0.0,0.7,0.0
13,Lafayette,0.0,0.0,0.8,2.2,0.8,0.0,1.5,0.9,0.2,0.0,0.0,0.5,0.7,2.7,0.0,0.2,1.0,0.2,3.0,0.2,0.3,1.8,0.0,2.1,1.4,1.5
14,Stetson,0.0,0.3,0.0,1.5,1.2,0.0,1.2,0.5,0.8,0.0,0.0,2.2,0.0,2.1,1.9,0.0,0.4,0.0,2.6,0.6,0.5,0.6,0.4,1.3,1.7,2.4
15,American,0.0,1.4,1.1,0.5,1.0,1.1,0.9,1.9,0.4,0.0,0.0,0.3,1.5,1.5,0.3,0.5,0.2,0.9,0.5,0.2,0.4,1.7,0.2,4.1,0.5,1.4
16,Providence,0.0,0.9,0.7,0.0,0.8,0.4,0.2,1.4,0.0,0.0,0.0,0.3,1.0,0.6,0.3,1.0,2.8,0.4,1.0,0.3,1.4,1.6,0.4,1.0,1.2,1.3
17,Rob Morris,0.0,0.3,2.0,0.5,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.3,0.4,1.3,0.2,0.2,0.2,0.4,0.4,0.6,0.4,1.2,0.0,3.3,0.8,0.5
18,James Mad,0.0,1.3,0.4,0.4,0.0,0.0,0.0,1.2,0.5,0.0,0.0,1.3,0.0,0.4,0.8,0.5,0.4,0.3,1.8,1.2,2.1,2.3,0.0,0.0,1.2,1.6
19,Air Force,0.0,0.0,1.3,0.2,1.1,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5,0.8,0.3,1.5,1.4,0.7,1.0,0.0,0.0,0.0,1.3
20,Connecticut,0.0,0.1,0.0,0.2,1.1,0.3,0.2,0.6,1.1,0.0,0.0,1.8,0.0,1.2,0.5,3.0,0.6,0.2,1.0,0.5,0.9,0.4,2.7,0.4,1.6,0.0
21,IL-Chicago,0.0,0.8,1.1,1.7,0.4,0.0,0.2,0.6,2.1,0.0,0.0,0.2,0.0,0.6,1.1,0.8,0.0,0.5,1.4,1.2,0.4,1.2,0.2,1.0,0.9,0.9
22,Charl South,0.0,1.8,1.0,6.1,0.5,0.4,1.4,0.3,0.0,0.0,0.0,0.2,1.1,0.0,0.4,0.6,1.6,1.1,0.6,1.0,1.1,0.4,0.9,0.4,0.5,0.3
23,Vanderbilt,0.0,0.7,0.9,0.0,0.0,0.4,0.2,0.0,0.5,0.0,0.0,0.0,0.5,1.0,1.1,0.6,0.6,1.0,0.6,0.1,0.8,0.4,0.9,0.0,0.5,0.6
24,North Texas,0.0,0.6,0.3,0.3,0.3,1.3,1.3,0.0,0.0,0.0,0.0,1.6,1.2,0.3,1.5,0.7,0.8,0.4,0.5,0.4,1.2,0.1,0.3,0.6,0.7,0.8
25,NC-Asheville,0.0,2.8,0.0,1.0,0.5,1.7,0.0,0.4,0.5,0.0,0.0,1.5,1.3,1.6,0.2,0.5,0.6,0.4,0.6,1.6,2.0,0.3,0.4,1.2,2.0,0.9
26,TX-Arlington,0.0,1.7,1.1,1.8,0.6,0.6,0.0,0.3,1.0,0.0,0.0,0.9,1.3,0.9,0.4,0.0,1.9,0.3,1.0,0.0,0.1,1.3,0.9,0.7,3.3,0.3
27,Fla Atlantic,0.0,1.8,0.0,0.0,1.9,0.9,1.5,1.8,0.8,0.0,0.0,0.0,1.0,0.5,2.0,1.4,0.0,0.6,0.5,1.1,0.5,0.8,1.4,0.2,0.3,0.4
28,Navy,0.0,0.2,0.5,0.7,1.4,0.5,0.4,0.7,0.2,0.0,0.0,2.0,0.9,1.2,1.3,0.2,1.3,0.0,1.5,0.2,0.3,0.0,1.7,1.6,0.7,0.6
29,Mercer,0.0,0.3,1.1,0.0,0.6,0.0,0.6,1.6,0.8,0.0,0.0,2.3,0.5,0.9,0.5,0.4,2.7,1.8,1.8,0.9,1.3,0.3,0.0,1.4,0.6,0.7
30,San Jose St,0.0,1.5,1.3,1.0,0.4,1.8,1.3,0.0,0.4,0.0,0.0,0.2,0.3,2.1,2.2,0.2,0.7,0.4,0.3,0.3,1.0,0.6,0.6,0.0,0.3,0.9
31,Cornell,0.0,0.3,1.9,0.2,0.7,0.0,0.9,0.5,0.7,0.0,0.0,0.5,0.9,0.3,1.8,0.0,1.0,0.8,0.8,0.4,2.3,1.4,1.2,--,0.5,0.1
32,UNLV,0.0,0.1,0.0,1.7,1.9,1.0,0.7,1.3,0.0,0.0,0.0,0.7,0.5,0.2,1.5,0.3,0.6,1.1,2.2,1.2,1.9,0.5,2.0,0.0,0.0,1.9
33,Monmouth,0.0,0.0,0.8,0.0,1.1,0.2,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.9,0.7,0.0,1.2,1.2,0.5,0.9,2.3,0.9,0.1,1.0,0.5,0.0
34,Rider,0.0,0.8,0.5,0.9,0.6,2.8,2.0,1.0,0.8,0.0,0.0,0.7,1.1,0.6,0.9,0.0,1.3,0.6,1.2,0.3,0.4,0.5,0.0,0.4,0.9,0.8
35,UC Irvine,0.0,0.0,0.0,0.6,1.0,1.0,0.9,0.3,0.0,0.0,0.0,0.7,0.3,1.6,0.4,0.6,0.9,0.5,0.5,0.8,0.6,1.3,0.0,0.5,0.0,0.4
36,Delaware St,0.0,0.0,1.7,0.0,0.0,0.8,1.3,0.6,0.3,0.0,0.0,0.6,1.0,0.9,1.3,1.5,0.9,0.3,0.8,1.4,1.4,0.0,0.7,0.8,0.4,0.9
37,TN Tech,0.0,0.3,2.5,0.0,0.4,0.3,0.8,2.1,0.5,0.0,0.0,0.0,2.8,0.9,0.5,0.0,0.0,0.3,0.4,1.4,0.3,0.5,0.7,0.3,0.9,2.7
38,Sam Hous St,0.0,2.5,0.3,2.4,0.6,1.0,0.0,0.0,1.1,0.0,0.0,1.3,1.0,0.4,0.2,1.0,1.3,0.6,0.6,0.4,0.5,1.4,1.7,0.0,0.3,0.7
39,Georgia St,0.0,0.5,0.0,0.0,0.4,2.5,0.5,0.6,1.1,0.0,0.0,1.6,1.1,1.6,1.1,1.5,1.3,0.8,1.7,0.2,1.1,0.0,0.5,2.2,1.3,0.2
40,TX-Pan Am,0.0,0.0,1.8,0.2,1.0,0.9,1.0,0.0,0.5,0.0,0.0,0.0,1.6,0.3,0.0,2.2,1.7,0.0,0.0,1.5,0.5,0.6,1.0,0.0,0.0,1.0
41,Bucknell,0.0,0.7,0.4,0.4,0.3,0.0,0.4,0.2,0.5,0.0,0.0,2.9,1.5,0.2,0.0,0.0,0.0,1.6,1.9,0.0,0.7,0.4,0.0,0.0,1.8,0.6
42,New Mexico,0.0,0.3,0.0,1.2,1.7,0.5,0.0,0.0,0.3,0.0,0.0,0.8,0.4,0.8,0.4,0.4,0.8,0.7,0.4,0.4,0.2,0.0,0.0,1.2,0.8,0.8
43,Dartmouth,0.0,0.0,0.6,0.8,0.3,1.0,0.1,1.0,1.4,0.0,0.0,1.0,0.0,0.5,0.4,0.7,0.2,0.9,0.8,0.4,0.5,1.0,0.8,--,1.8,1.6
44,Duquesne,0.0,1.0,0.0,0.0,1.0,0.9,1.1,0.6,0.0,0.0,0.0,1.9,2.5,1.1,0.2,0.6,0.0,0.3,1.0,0.0,1.6,0.7,0.6,0.0,1.8,0.0
45,Duke,0.0,0.2,1.6,0.2,0.4,0.8,0.7,0.3,0.3,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.4,0.5,0.9,0.0,0.5,0.3,1.6,1.3,0.3,0.3
46,Ark Pine Bl,0.0,0.4,0.5,0.3,0.0,0.3,0.0,0.6,0.0,0.0,0.0,0.7,0.7,1.1,0.2,0.2,0.0,0.3,0.1,0.4,0.6,1.2,0.4,0.8,0.3,0.9
47,Hawaii,0.0,0.3,1.0,0.4,0.0,1.2,1.0,0.2,0.4,0.0,0.0,0.4,0.0,1.0,0.9,0.4,1.0,0.6,0.2,1.0,1.1,0.6,0.3,1.9,0.0,1.1
48,Kent State,0.0,0.4,0.6,0.5,0.4,0.5,0.3,1.2,1.0,0.0,0.0,1.7,0.5,1.3,0.3,1.4,0.7,1.0,0.5,1.8,0.5,0.5,1.1,0.4,0.0,0.4
