,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Princeton,51.6,53.0,55.7,58.1,58.6,62.3,57.1,55.1,55.7,53.3,64.5,57.7,53.9,63.8,63.0,59.3,64.7,66.3,69.5,62.0,72.6,70.7,70.2,--,72.0,68.8
1,S Alabama,54.5,64.6,65.9,64.8,71.2,71.4,68.7,66.5,66.2,67.6,66.3,67.1,69.1,74.6,67.3,68.1,72.0,74.8,74.5,74.6,71.2,73.2,68.6,71.5,65.7,65.8
2,Col Charlestn,56.1,59.5,60.8,60.3,61.0,68.4,68.5,67.8,68.2,65.6,72.4,72.9,73.3,69.0,68.3,62.1,63.0,64.6,62.3,65.1,69.5,68.6,68.6,69.8,76.4,67.2
3,Utah,57.6,55.8,62.5,65.6,61.7,60.4,57.6,57.0,64.8,72.2,63.8,64.1,66.4,71.0,70.2,64.5,65.4,57.4,69.4,69.7,68.5,74.5,70.3,69.8,70.9,63.8
4,Wyoming,59.5,76.2,78.7,71.3,68.7,70.8,69.0,70.9,67.2,75.1,72.8,74.6,74.7,71.2,56.8,59.8,61.9,57.4,72.4,75.7,79.0,75.7,70.0,75.5,65.7,72.2
5,Marquette,60.0,62.7,62.5,65.4,60.7,68.7,68.9,64.9,70.3,64.9,64.9,69.5,64.6,68.8,65.9,62.6,68.7,67.0,74.2,75.6,78.5,69.5,71.6,69.8,71.6,70.3
6,WI-Grn Bay,60.0,56.1,57.9,63.0,68.1,71.9,65.3,68.9,68.9,66.6,70.0,66.5,67.5,69.5,66.6,63.6,66.1,61.2,80.9,79.0,78.6,81.6,81.1,76.5,69.7,76.5
7,Temple,60.7,58.5,54.8,63.9,67.1,66.1,64.7,61.4,59.6,74.1,68.7,63.5,56.8,62.5,69.5,67.9,78.1,61.2,67.6,71.2,70.5,71.5,67.9,68.8,66.4,70.2
8,NC-Wilmgton,61.5,62.2,57.4,58.4,61.6,60.1,59.6,63.4,59.8,70.9,71.4,83.5,71.5,66.7,70.6,71.2,70.2,69.5,72.4,74.2,84.2,81.1,72.1,74.2,69.4,65.2
9,Richmond,61.9,66.1,63.1,60.8,61.5,62.4,59.5,69.3,57.8,68.2,66.0,67.8,62.7,61.2,67.2,66.5,65.2,61.2,73.8,72.0,75.6,70.7,66.8,69.9,68.4,67.8
10,Bradley,62.0,61.2,64.2,64.2,64.9,72.4,67.9,71.3,65.1,71.1,71.7,66.5,67.4,68.0,70.5,68.5,66.1,62.1,70.5,71.2,65.3,65.5,66.1,68.1,65.2,62.8
11,Columbia,62.1,65.5,62.0,59.8,57.3,62.1,71.4,65.7,68.3,64.9,64.1,62.1,65.3,71.4,63.0,61.2,62.8,62.0,68.8,73.9,78.6,75.0,73.3,--,79.5,77.3
12,NC State,62.1,66.3,63.6,72.3,67.8,68.3,65.1,66.1,67.4,71.5,69.7,69.6,64.5,70.5,67.6,70.2,69.6,65.8,74.4,79.6,75.1,71.3,69.7,69.7,75.6,70.8
