,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,AR Lit Rock,4.1,6.2,5.5,6.3,6.3,5.9,6.3,6.0,6.3,5.6,6.0,5.2,5.3,4.1,4.9,6.5,7.0,4.7,4.0,5.5,5.6,5.7,6.8,6.8,6.1,6.2
1,Richmond,4.5,6.4,6.6,4.9,4.3,4.8,6.5,6.9,6.3,6.5,7.0,5.9,5.4,4.6,5.2,5.9,5.4,4.7,4.7,5.6,6.3,5.6,5.6,5.1,5.3,6.0
2,Princeton,4.6,6.2,6.5,6.4,6.6,5.7,6.1,6.1,6.2,5.0,6.8,6.8,6.0,5.5,6.1,6.5,6.1,5.9,5.6,4.4,5.1,6.5,5.9,--,5.6,5.7
3,Utah State,4.8,7.5,6.5,5.8,6.6,5.1,6.0,6.3,6.3,6.4,7.1,5.7,4.8,5.4,5.8,6.9,5.3,6.1,6.1,6.1,6.4,6.1,6.6,6.7,6.3,5.7
4,W Michigan,5.1,6.8,6.0,6.2,5.7,6.5,5.7,5.9,6.3,7.0,6.6,6.1,6.5,6.2,7.3,7.6,7.3,5.9,5.8,6.0,5.2,8.0,6.3,7.8,7.1,6.2
5,Illinois,5.2,8.4,6.1,6.1,5.6,5.7,6.0,4.9,5.4,5.4,5.5,5.8,6.1,5.6,6.3,5.6,4.9,4.8,5.0,5.4,6.3,5.8,5.6,6.7,6.6,6.9
6,Col Charlestn,5.3,6.6,6.2,5.8,6.1,6.7,7.4,6.3,6.7,7.0,7.6,6.3,6.0,6.2,6.3,6.9,5.8,5.5,5.3,3.9,4.2,5.1,5.1,4.9,8.0,5.7
7,New Mexico,5.4,6.7,6.1,5.3,6.0,5.9,5.8,7.2,6.3,5.8,5.1,5.3,5.6,6.1,5.8,5.4,5.7,6.0,7.8,7.5,5.7,7.1,7.0,8.1,5.9,5.9
8,NC-Wilmgton,5.4,5.5,5.8,5.6,5.9,5.5,6.7,5.6,5.5,7.4,7.4,7.3,8.5,7.5,7.7,8.9,7.0,6.2,5.0,4.3,5.6,6.3,6.4,5.3,4.2,5.9
9,Wyoming,5.4,7.3,5.6,7.0,7.5,6.5,6.9,8.2,7.1,6.4,7.6,6.9,6.7,6.1,5.5,5.6,4.1,5.5,5.9,6.9,6.2,6.7,5.9,5.6,5.2,6.2
10,U Penn,5.5,6.1,6.3,7.3,6.9,6.9,7.1,7.4,6.9,7.0,8.4,6.5,7.1,6.4,5.2,7.6,7.5,6.8,6.3,5.7,5.4,6.4,7.1,--,5.9,6.6
11,Chattanooga,5.5,6.8,7.9,7.8,7.3,8.0,8.3,8.6,7.2,7.6,8.6,7.7,8.1,7.6,7.3,7.4,6.1,5.8,6.2,6.4,7.3,6.8,5.6,5.0,5.7,6.5
12,Duke,5.5,7.0,7.1,7.3,7.1,6.2,6.6,7.5,7.2,7.6,5.7,5.7,5.3,5.9,5.7,5.0,5.0,5.6,4.5,4.8,5.7,6.4,7.3,6.3,6.0,6.1
13,Youngs St,5.6,6.3,6.4,6.1,7.3,7.7,8.7,8.5,6.5,5.9,7.1,7.0,7.0,5.9,5.6,6.0,6.1,6.3,6.1,5.7,6.9,5.9,5.8,6.0,5.9,5.1
14,James Mad,5.6,5.1,6.2,6.3,5.8,6.2,6.5,8.3,7.8,5.3,7.9,6.8,7.7,5.9,6.8,5.3,5.6,6.6,5.7,6.2,5.6,5.7,5.8,5.9,6.3,7.3
15,Temple,5.6,5.0,4.2,3.3,4.7,4.0,4.2,4.0,3.7,5.0,5.8,6.6,5.3,5.1,5.7,5.0,5.8,5.1,4.4,5.4,5.2,5.5,6.5,5.6,6.5,7.4
16,Murray St,5.7,6.9,6.4,7.5,7.8,7.1,6.8,6.0,6.0,6.2,6.8,6.4,6.4,5.7,6.5,6.8,6.1,5.5,5.4,5.7,5.4,6.2,6.2,4.9,5.3,5.7
17,IL-Chicago,5.7,7.3,7.0,5.7,5.8,5.6,5.9,6.2,6.7,5.5,5.6,5.9,5.9,6.9,6.9,5.6,5.8,5.4,7.3,7.7,7.4,6.6,6.9,6.4,6.7,6.1
18,NC State,5.7,8.1,7.1,6.6,6.8,7.5,6.8,6.3,7.0,7.6,7.9,8.5,7.2,6.2,6.4,6.0,5.7,5.3,6.2,6.5,6.2,6.2,6.7,6.3,5.6,5.1
19,Buffalo,5.7,9.3,9.5,6.5,7.5,7.1,6.7,7.8,6.9,9.4,8.1,6.4,7.0,7.3,7.5,7.3,6.9,6.2,5.8,6.5,5.6,5.3,6.7,6.3,6.3,6.5
20,Drexel,5.8,5.8,7.0,7.7,6.8,5.9,5.7,5.4,6.9,6.2,8.5,6.1,5.9,5.3,5.4,5.7,3.9,5.4,5.2,6.5,6.6,5.9,7.7,6.2,6.6,5.8
