,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Wichita St,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.3,3.4,3.4,3.2,3.4,3.4,3.3,3.8,4.3,4.8,4.2,4.9,4.5,3.6,3.7,3.4,4.7,3.5,2.8
1,S Alabama,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.4,3.1,3.6,3.4,3.2,3.5,3.4,3.3,3.2,3.0,2.6,3.7,2.9,3.2,3.6,1.8,3.5,3.0,2.9
2,St Marys,0.0,0.0,0.0,0.0,0.0,0.0,3.7,5.1,3.5,3.5,3.7,3.1,3.3,2.8,2.7,2.5,2.9,2.2,2.4,2.3,2.5,2.1,2.2,2.5,2.4,2.5
3,Liberty,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.9,3.2,3.6,2.6,3.1,3.5,3.6,3.3,3.3,3.7,3.1,2.1,2.6,2.5,3.0,2.6,2.3,2.3,3.5
4,McNeese St,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.3,3.8,4.0,4.2,4.0,3.6,4.4,2.8,3.3,2.8,3.3,3.6,3.0,2.9,2.9,2.6,3.0,2.4,2.6
5,St Peters,0.0,0.0,0.0,0.0,0.0,0.0,4.5,5.3,3.6,3.1,3.9,3.1,4.0,4.4,4.2,2.7,3.8,3.0,3.1,3.2,3.2,3.8,3.4,2.4,3.4,3.5
6,UAB,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.2,3.3,3.1,3.2,3.0,3.1,3.8,3.4,3.6,4.0,3.5,3.3,2.9,3.4,3.3,3.1,3.3,4.0,4.3
7,Lg Beach St,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.2,3.2,3.1,2.5,2.8,3.8,2.7,2.8,3.4,2.8,4.7,4.0,3.7,2.9,3.6,3.1,2.5,2.8,3.0
8,Grambling St,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.4,5.7,5.5,4.3,3.7,3.2,4.9,2.9,2.6,2.4,2.6,2.9,3.8,3.7,4.2,1.7,1.8,3.4,2.8
9,Chattanooga,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.5,4.2,2.5,3.5,2.8,3.9,3.0,2.8,3.0,3.3,5.0,3.4,3.7,3.3,2.9,2.5,2.8,3.5,2.9
10,NC A&T,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.2,3.7,2.7,3.1,4.2,3.9,3.7,4.1,3.7,4.1,3.5,4.5,3.5,3.2,3.9,4.0,3.4,3.6,3.6
11,Sac State,0.0,0.0,0.0,0.0,0.0,0.0,3.8,5.4,4.2,3.0,3.0,2.7,3.4,4.4,3.3,3.5,2.3,3.5,3.3,3.2,2.9,2.7,3.0,1.9,2.9,3.4
12,TN Martin,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.8,4.4,3.5,3.6,3.8,3.4,3.0,2.7,2.8,2.8,2.7,2.6,3.0,2.9,3.4,2.4,3.1,3.7,3.3
13,S Methodist,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.1,3.3,2.5,2.3,2.6,2.3,2.7,2.5,3.2,2.4,2.8,2.7,3.1,2.7,3.2,2.7,3.6,3.2,3.6
