,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,NC A&T,3.7,5.1,6.6,6.2,6.6,8.5,5.2,5.9,6.9,9.1,7.7,6.8,7.7,9.0,8.7,6.5,7.1,7.0,7.8,9.2,6.8,6.8,6.7,8.3,7.9,8.0
1,Princeton,4.1,5.2,5.4,6.1,5.4,6.2,5.0,4.2,4.6,3.7,4.8,4.0,4.1,4.8,4.7,4.4,5.0,5.7,5.9,6.6,7.5,6.9,6.1,--,6.4,6.4
2,Duke,4.2,4.9,5.8,5.3,4.8,4.8,4.8,3.9,4.0,4.2,4.9,4.9,3.9,4.8,4.5,4.4,3.9,5.1,6.3,5.1,7.5,6.7,4.8,6.5,6.8,6.3
3,Jackson St,4.3,5.6,5.0,6.2,5.0,5.7,5.1,5.1,4.6,6.2,6.4,5.8,5.6,5.8,5.5,5.8,6.4,6.0,5.9,5.9,6.4,6.7,5.7,4.7,5.2,7.8
4,Citadel,4.3,6.1,6.4,5.4,5.5,6.1,7.2,6.9,8.4,8.3,7.7,5.7,6.0,6.9,6.8,8.1,6.9,6.7,7.2,8.9,10.7,11.6,9.6,7.4,8.4,8.1
5,Marquette,4.4,4.6,4.0,5.1,6.2,6.5,7.0,6.5,7.3,5.6,5.1,6.9,5.1,7.0,6.1,6.4,7.5,7.3,7.5,7.3,7.0,6.9,6.9,7.5,7.2,7.5
6,Wm & Mary,4.4,5.5,6.4,6.4,5.8,8.9,7.5,7.7,6.8,6.6,7.0,6.4,6.8,7.4,6.6,6.1,7.0,7.4,8.1,9.1,8.6,8.0,7.5,6.8,8.3,7.4
7,Marist,4.4,5.0,4.8,5.0,5.6,6.5,6.0,6.9,7.7,6.4,6.2,5.3,6.8,6.8,6.4,6.5,6.8,6.3,7.9,7.8,9.3,9.0,7.6,7.3,7.9,7.5
8,Southern,4.4,5.0,5.1,6.1,7.0,5.4,5.1,4.3,5.6,4.9,6.8,6.1,6.0,5.8,5.4,5.0,5.2,5.1,6.6,6.4,7.2,6.7,5.2,6.1,5.3,7.4
9,Beth-Cook,4.4,5.4,4.6,5.0,5.4,6.2,6.3,5.6,5.6,6.0,5.3,5.4,6.0,5.5,5.1,5.3,6.0,5.4,7.4,7.2,7.3,6.7,5.8,--,6.6,7.5
10,Col Charlestn,4.4,5.3,5.7,5.7,6.1,5.7,5.4,5.6,6.2,6.1,6.7,6.3,5.6,5.8,6.4,5.0,4.9,5.8,5.5,6.6,7.1,7.9,7.0,7.9,7.1,5.7
11,NC State,4.4,5.3,4.5,6.1,5.0,5.8,5.5,5.7,5.8,7.2,6.2,5.8,4.5,5.3,6.4,6.0,5.4,5.9,8.3,8.4,6.0,6.0,6.0,6.8,7.3,6.0
12,S Utah,4.4,7.0,6.7,7.4,7.9,9.3,9.1,7.0,6.7,6.0,7.1,5.3,6.6,6.5,5.9,5.0,5.5,6.1,7.5,8.9,7.6,8.2,6.1,7.9,8.0,7.8
13,Tulane,4.5,5.4,5.5,6.5,6.1,6.1,5.9,6.7,6.8,5.8,6.5,5.1,4.5,5.9,5.6,6.0,6.9,5.2,6.2,7.6,6.9,8.2,8.3,8.6,9.3,9.5
