,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,SE Missouri,2.6,0.6,0.5,0.8,0.0,0.4,0.0,1.8,0.0,0.0,0.0,0.0,1.1,0.6,0.3,0.4,1.5,0.3,0.5,0.7,0.8,1.6,0.4,2.1,0.3,1.6
1,Holy Cross,2.4,0.0,0.0,0.4,0.6,0.5,0.2,1.1,0.5,0.0,0.0,0.3,0.9,0.7,0.0,0.3,0.7,1.3,1.9,0.3,0.3,0.8,0.5,0.1,0.0,0.3
2,LA Monroe,2.4,0.0,0.8,1.8,0.0,1.3,0.8,0.9,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.6,1.8,0.9,1.2,2.0,0.8,1.3,0.3,0.6,1.1,1.1
3,Hartford,2.3,0.4,1.0,0.7,0.6,0.7,0.0,0.0,0.4,0.0,0.0,0.8,0.4,1.2,0.9,0.0,0.5,1.1,1.8,1.4,0.3,1.5,0.4,0.0,0.3,0.0
4,Yale,2.3,0.8,0.6,1.7,0.4,0.3,1.3,2.0,0.0,0.0,0.0,0.0,0.4,1.9,0.5,1.5,0.3,1.1,0.4,0.6,0.7,1.3,2.7,--,0.4,1.2
5,DePaul,2.3,0.4,0.9,0.0,0.0,1.0,1.1,0.2,0.4,0.0,0.0,0.0,1.2,0.9,0.2,0.6,1.6,0.3,0.3,0.3,0.1,0.6,0.6,0.8,0.4,1.1
6,S Utah,2.1,1.3,0.0,0.5,1.2,0.0,0.7,1.9,0.0,0.0,0.0,0.3,1.1,0.0,0.8,0.9,0.4,0.7,0.6,1.0,0.8,1.7,1.0,0.4,1.0,2.3
7,N Carolina,2.1,0.6,0.6,0.0,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.3,0.4,0.5,0.3,0.5,0.9,0.4,0.0,0.3,0.2,0.3,1.1,0.0,1.1,1.0
8,E Washingtn,2.0,1.8,0.0,0.7,0.3,0.6,1.0,0.1,0.9,0.0,0.0,0.2,0.9,0.9,0.4,1.1,0.4,0.7,0.0,4.1,0.5,1.8,0.9,0.0,0.7,0.0
9,E Illinois,2.0,0.9,3.0,0.3,0.3,0.6,0.7,1.1,0.7,0.0,0.0,0.3,1.6,0.2,1.0,0.5,0.0,0.7,1.8,2.7,0.5,2.2,0.6,1.0,0.0,0.3
10,Portland St,2.0,2.0,0.4,1.1,0.8,0.0,0.5,0.5,0.9,0.0,0.0,1.8,1.0,0.0,0.5,0.2,1.9,0.3,0.0,3.1,1.3,0.5,0.0,0.6,0.6,0.0
11,Lamar,1.9,0.7,1.3,0.8,0.0,0.8,0.6,0.8,0.0,0.0,0.0,0.7,0.3,0.0,0.2,0.8,0.0,0.6,0.0,0.7,1.4,1.3,0.6,0.6,0.0,0.5
