,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,LIU-Brooklyn,13.1,9.1,9.0,7.8,7.6,6.6,5.9,5.3,6.4,5.6,6.3,6.2,5.8,7.5,6.1,6.8,4.3,5.7,7.7,5.7,5.5,6.5,,,,
1,W Virginia,11.8,9.0,7.2,5.6,8.0,6.4,7.3,8.0,7.9,8.0,6.9,6.7,5.6,4.7,6.4,7.3,6.2,10.7,9.8,10.0,8.1,6.2,7.7,7.6,7.8,6.7
2,Xavier,11.7,9.0,7.7,7.2,6.6,5.3,6.8,5.7,6.2,5.6,5.6,5.3,6.7,5.4,6.0,5.3,5.8,6.0,7.2,6.0,5.9,5.4,6.3,6.9,7.5,6.4
3,North Texas,11.7,8.3,7.6,7.1,7.2,6.2,6.0,7.3,8.8,6.2,5.3,5.1,4.4,4.0,6.1,6.2,6.4,6.7,6.4,6.6,4.9,6.0,6.0,6.6,6.3,6.6
4,Ball State,11.5,7.4,8.2,5.0,6.1,5.2,5.8,5.5,6.9,7.8,6.2,5.1,4.9,6.1,6.1,6.3,4.5,5.2,5.2,5.8,5.3,6.6,6.6,5.5,6.0,5.3
5,Florida Intl,11.2,7.5,9.2,5.9,9.5,7.6,5.4,6.9,6.1,6.6,5.9,5.3,8.1,8.1,7.2,9.3,6.8,6.5,4.8,5.9,7.4,9.8,8.1,7.4,6.1,9.1
6,Georgetown,11.1,10.4,9.4,9.8,10.1,9.6,10.1,6.8,6.0,5.2,6.9,7.9,7.0,6.0,6.1,7.5,6.1,7.6,5.5,5.5,5.5,6.0,6.3,5.9,7.2,6.2
7,TX Christian,11.1,7.8,9.1,11.2,7.7,6.9,6.1,8.3,7.7,6.8,9.1,5.6,5.1,6.3,6.7,5.3,6.1,6.3,6.5,6.4,6.5,6.9,6.8,6.0,6.4,8.0
8,Temple,10.7,9.9,9.4,7.3,8.1,9.0,8.4,7.6,9.9,7.6,6.3,5.6,4.7,6.8,7.2,7.9,5.8,6.9,5.2,6.5,6.7,8.6,7.7,4.2,6.8,5.0
9,Morgan St,10.7,7.5,7.3,6.8,6.6,6.4,7.6,7.7,5.4,5.9,6.6,6.6,6.6,6.2,6.6,6.4,6.3,5.6,6.1,5.6,7.1,7.6,5.2,7.1,7.1,8.7
10,Col Charlestn,10.7,8.8,7.0,6.8,7.0,7.3,7.7,8.8,7.6,6.4,5.8,6.7,5.9,5.8,7.4,4.4,4.6,5.5,7.1,5.5,5.4,6.5,6.7,5.3,8.0,7.4
