,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,UAB,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.3,3.3,2.8,3.0,3.0,3.3,4.0,2.8,3.9,4.6,3.2,3.3,3.2,2.9,3.1,3.1,3.1,3.2,3.2
1,Lg Beach St,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.6,3.2,3.3,3.0,2.9,4.4,3.2,2.2,2.7,3.4,4.1,3.2,3.4,3.0,3.5,3.0,2.5,3.7,3.4
2,Grambling St,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.2,6.1,5.3,5.4,3.7,3.7,4.5,3.9,2.8,3.7,2.7,3.2,4.2,4.3,3.0,2.0,1.6,3.3,3.2
3,Chattanooga,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.3,4.4,2.9,3.4,3.8,3.2,3.4,3.4,4.0,3.4,3.0,2.8,3.6,3.1,3.4,2.8,2.9,3.2,3.1
4,Wichita St,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.4,3.4,3.3,3.9,3.6,2.6,3.0,2.8,3.7,3.7,3.5,4.0,4.1,3.5,3.2,3.0,4.3,2.9,2.8
5,S Alabama,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.1,3.7,3.2,2.3,4.2,3.3,3.5,3.6,3.0,3.2,3.5,2.7,3.5,2.8,2.4,3.4,2.7,2.6
6,St Marys,0.0,0.0,0.0,0.0,0.0,0.0,3.1,4.4,3.2,3.4,2.7,2.6,2.6,2.8,1.9,2.8,2.0,1.7,2.2,2.6,2.1,2.6,2.1,2.3,2.7,2.9
7,Liberty,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.8,4.1,4.0,3.2,3.2,3.4,3.4,3.6,3.2,3.2,3.8,3.2,2.8,2.5,2.7,2.8,2.6,2.7,2.7
8,McNeese St,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.1,3.5,3.1,4.1,3.4,3.1,4.4,2.9,2.7,2.7,3.0,2.8,3.2,3.9,2.9,2.3,3.1,3.2,3.1
9,St Peters,0.0,0.0,0.0,0.0,0.0,0.0,4.8,6.8,4.2,3.3,3.9,3.0,3.6,3.6,3.5,3.4,3.1,3.4,2.6,2.7,3.1,3.2,3.8,2.9,2.8,3.4
10,Houston,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.7,3.3,2.8,3.0,2.8,3.5,3.3,2.4,2.9,3.3,2.7,3.0,3.3,3.1,3.8,2.9,3.2,2.6,3.0
11,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.2,3.4,2.8,3.6,3.4,3.1,3.5,2.8,3.0,3.4,3.6,3.4,3.0,3.1,3.1,2.2,3.6,3.1,2.8
12,Buffalo,0.0,0.0,0.0,0.0,0.0,0.0,3.3,4.8,2.9,3.2,4.1,3.1,3.2,2.7,3.8,3.0,3.4,3.5,3.4,3.4,3.6,2.9,3.4,2.9,3.3,3.3
13,Campbell,0.0,0.0,0.0,0.0,0.0,0.0,3.4,4.9,4.4,3.4,3.8,2.9,2.9,2.9,2.7,3.5,2.9,2.1,2.1,2.8,2.0,2.3,2.3,2.7,2.8,3.0
14,NC A&T,0.0,0.0,0.0,0.0,0.0,0.0,4.9,6.0,4.1,3.9,4.3,4.8,4.5,4.0,4.5,3.4,4.6,4.0,4.4,4.4,3.5,3.2,3.5,3.6,2.6,3.6
15,Sac State,0.0,0.0,0.0,0.0,0.0,0.0,3.2,5.4,3.5,2.8,3.9,2.4,3.0,3.8,3.1,3.5,1.9,2.4,3.2,2.1,2.2,2.3,2.8,2.2,2.6,2.8
16,TN Martin,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.4,2.7,3.7,3.8,3.5,4.4,3.5,3.2,3.6,2.8,2.6,2.8,3.4,2.7,3.0,2.5,2.5,3.8,3.6
17,S Methodist,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.9,2.5,2.6,2.4,2.7,2.9,2.4,2.9,2.9,2.8,2.7,2.9,2.7,2.8,3.0,2.6,3.3,3.3,3.3
18,Nicholls St,0.0,0.0,0.0,0.0,0.0,0.0,3.7,4.3,3.7,3.6,3.7,2.2,3.7,2.8,4.0,4.1,2.9,3.9,3.2,4.4,3.6,3.1,3.1,3.1,2.8,3.9
19,Niagara,0.0,0.0,0.0,0.0,0.0,0.0,3.1,4.2,3.7,3.8,4.1,3.3,3.5,3.7,3.7,4.2,3.8,3.2,3.6,3.7,3.3,3.3,2.6,2.9,2.3,1.9
20,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,3.7,2.8,2.6,3.0,3.3,2.7,2.6,3.0,2.7,2.8,3.2,3.1,3.2,2.7,2.7,2.9,2.4,2.4,3.1,3.2
21,Colgate,0.0,0.0,0.0,0.0,0.0,0.0,3.3,4.4,3.7,3.6,3.9,3.7,3.4,3.7,3.6,3.1,2.8,2.1,2.9,2.6,2.1,3.0,2.7,2.6,2.6,2.7
22,Bowling Grn,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.4,3.8,3.7,3.5,3.0,2.9,2.8,2.7,3.0,3.0,3.3,2.9,3.8,3.4,3.4,3.2,3.2,3.3,3.3
