,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Florida,9.8,9.3,7.2,8.3,7.5,8.5,8.0,7.6,7.4,7.4,7.6,8.2,6.0,6.3,9.6,8.1,6.7,6.6,7.2,7.7,9.1,8.1,7.1,6.8,7.9,6.7
1,North Texas,9.6,6.7,6.3,4.0,6.2,5.7,6.3,6.0,7.4,6.7,6.6,6.6,5.3,5.3,5.0,3.5,5.1,4.9,5.7,6.2,7.8,7.9,8.0,7.5,7.6,7.6
2,New Mexico,9.4,7.1,5.0,5.3,6.0,7.9,8.2,8.2,6.4,9.1,8.2,7.0,7.8,6.5,7.6,6.3,5.8,4.8,6.1,4.7,10.6,9.0,7.0,4.7,7.8,5.7
3,LIU-Brooklyn,9.4,4.6,4.1,6.5,6.2,5.9,6.1,6.9,8.5,7.1,6.9,6.4,7.4,6.9,6.6,7.2,7.5,6.5,5.8,5.7,7.9,8.5,,,,
4,Princeton,9.1,7.3,7.7,8.1,7.9,7.7,6.0,6.8,7.8,7.3,6.7,6.8,6.3,6.0,7.3,6.7,9.0,8.1,9.5,9.8,9.9,7.2,8.7,--,10.7,8.1
5,N Arizona,8.7,8.4,8.3,8.2,4.4,8.2,8.0,7.7,5.8,7.7,6.5,6.0,5.5,6.4,5.1,5.7,5.3,6.8,7.2,7.4,5.6,8.4,6.8,6.3,8.2,8.2
6,Cal Poly,8.7,9.2,8.1,7.1,7.1,6.4,6.2,7.0,7.8,9.4,6.0,6.8,6.6,6.4,6.8,7.0,6.3,5.7,8.0,8.2,8.7,7.7,6.4,6.3,5.3,5.5
7,Loyola Mymt,8.6,8.1,5.5,4.3,4.9,4.1,4.0,5.0,4.8,5.0,5.9,4.9,5.9,4.8,6.4,5.8,4.5,5.1,7.3,7.2,6.5,4.6,5.2,6.1,7.1,9.2
8,Cal St Nrdge,8.4,6.9,6.8,6.2,5.6,6.1,5.7,5.6,5.5,5.3,7.7,7.0,4.9,5.6,5.9,5.2,4.3,3.3,4.3,4.6,5.9,6.9,7.5,7.5,5.0,5.5
9,St Marys,8.4,8.1,7.0,6.4,4.1,5.4,7.2,6.8,6.8,5.0,7.9,6.5,8.4,8.5,7.1,7.7,6.9,7.0,8.5,8.6,7.9,7.4,7.8,6.2,7.2,7.4
10,Fresno St,8.4,7.8,8.2,7.3,6.7,6.2,6.3,7.4,9.5,9.5,8.1,7.2,6.7,6.0,5.9,5.9,7.6,5.5,6.3,6.5,6.6,10.6,9.4,6.9,7.0,6.8
11,Oral Roberts,8.3,7.0,7.9,6.1,7.2,7.6,7.7,6.2,6.6,6.0,6.7,5.2,4.5,5.5,5.4,4.5,4.7,5.8,6.1,7.0,6.8,8.2,7.9,10.7,11.3,10.5
12,Miss Val St,8.3,6.1,7.5,9.4,8.2,9.6,7.6,6.8,6.1,4.9,4.5,6.2,6.3,6.4,7.4,6.0,6.3,4.9,5.1,5.4,5.3,5.3,8.2,8.9,7.1,5.1
