,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Princeton,0.071,0.276,0.407,0.423,0.444,0.423,0.296,0.482,0.539,0.607,0.815,0.539,0.3,0.226,0.4,0.407,0.31,0.483,0.25,0.241,0.571,0.462,0.5,--,0.25,0.3
1,Kentucky,0.103,0.243,0.281,0.294,0.323,0.111,0.156,0.177,0.371,0.353,0.419,0.389,0.079,0.237,0.051,0.364,0.263,0.026,0.25,0.158,0.297,0.189,0.194,0.640,0.235,0.353
2,Kansas,0.105,0.313,0.303,0.226,0.114,0.206,0.281,0.233,0.25,0.132,0.081,0.229,0.083,0.079,0.158,0.162,0.286,0.25,0.135,0.139,0.205,0.278,0.1,0.310,0.15,0.222
3,N Carolina,0.105,0.294,0.389,0.212,0.714,0.457,0.367,0.108,0.258,0.184,0.053,0.111,0.46,0.216,0.158,0.314,0.294,0.316,0.175,0.18,0.297,0.194,0.576,0.379,0.256,0.394
4,Duke,0.114,0.051,0.147,0.103,0.114,0.212,0.162,0.182,0.111,0.333,0.177,0.189,0.128,0.135,0.206,0.167,0.257,0.105,0.306,0.243,0.216,0.158,0.194,0.458,0.18,0.25
5,Utah,0.121,0.161,0.3,0.429,0.321,0.25,0.281,0.182,0.536,0.633,0.469,0.273,0.548,0.6,0.833,0.581,0.387,0.265,0.257,0.4,0.343,0.452,0.484,0.520,0.645,0.469
6,Murray St,0.133,0.188,0.29,0.423,0.433,0.444,0.194,0.423,0.233,0.482,0.448,0.414,0.147,0.3,0.067,0.345,0.344,0.182,0.483,0.548,0.2,0.161,0.3,0.542,0.097,0.484
7,Connecticut,0.135,0.056,0.286,0.387,0.206,0.303,0.158,0.258,0.118,0.452,0.273,0.139,0.471,0.225,0.412,0.333,0.211,0.429,0.306,0.531,0.563,0.515,0.387,0.348,0.303,0.205
8,Arizona,0.143,0.241,0.206,0.229,0.294,0.125,0.333,0.189,0.394,0.355,0.455,0.4,0.484,0.211,0.343,0.229,0.132,0.105,0.265,0.135,0.229,0.469,0.344,0.346,0.108,0.2
9,Stanford,0.147,0.219,0.133,0.094,0.333,0.273,0.063,0.419,0.467,0.419,0.222,0.412,0.563,0.516,0.297,0.441,0.361,0.351,0.517,0.567,0.457,0.516,0.375,0.482,0.5,0.576
