,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,E Washingtn,0.0,0.714,0.444,0.333,0.3,0.546,0.500,0.6,0.667,0.429,0.750,0.375,0.5,0.571,0.714,0.400,0.6,0.333,0.714,0.25,0.444,0.444,0.182,1.000,0.462,0.375
1,Notre Dame,0.0,0.364,0.556,0.4,0.615,0.400,0.500,0.546,0.769,0.571,0.600,0.25,0.615,0.0,0.375,0.200,0.539,0.308,0.333,0.273,0.636,0.778,0.571,0.571,0.25,0.75
2,S Florida,0.0,0.857,0.556,0.571,0.375,0.300,0.750,0.5,0.889,0.75,0.667,0.833,0.556,0.6,0.5,0.571,0.6,0.625,0.6,0.5,0.556,0.5,0.556,0.571,0.571,0.7
3,San Jose St,0.0,0.7,0.375,0.5,0.333,0.556,0.833,0.429,0.9,0.5,0.400,0.546,0.556,0.333,0.833,0.500,0.625,1.0,0.714,0.25,0.75,0.667,0.600,0.750,0.6,0.375
4,Illinois St,0.0,0.636,0.636,0.143,0.286,0.429,0.714,0.375,0.667,0.75,0.273,0.571,0.3,0.5,0.364,0.500,0.333,0.583,0.25,0.333,0.222,0.3,0.700,0.750,0.583,0.8
5,Belmont,0.0,0.5,0.500,0.556,0.7,0.625,0.500,0.667,0.5,0.333,0.375,0.5,0.5,0.25,0.556,0.500,0.2,0.267,0.625,0.0,0.5,0.2,0.400,0.000,0.4,0.333
6,Geo Wshgtn,0.0,0.2,0.400,0.727,0.0,0.778,0.500,0.667,0.0,0.0,0.750,0.714,0.4,0.333,0.625,0.600,0.4,0.375,0.333,0.25,0.5,0.429,0.636,0.714,0.375,0.4
7,Utah State,0.0,0.7,0.143,0.571,0.455,0.333,0.250,1.0,0.3,0.364,0.500,0.25,0.8,0.2,0.546,0.571,0.8,0.546,0.625,0.714,0.375,0.429,0.333,0.600,0.8,0.556
8,Princeton,0.0,0.333,0.800,0.286,0.429,0.444,0.556,0.556,0.167,0.286,0.750,0.625,0.5,0.231,0.6,0.625,0.308,0.6,0.333,0.143,0.6,0.125,0.556,--,0.273,0.286
9,Purdue,0.111,0.375,0.400,0.8,0.375,0.200,0.800,0.571,1.0,0.4,0.455,0.4,0.125,0.6,0.462,0.833,0.364,0.385,0.571,0.364,0.417,0.5,0.571,0.444,0.6,0.231
10,Northeastrn,0.125,0.5,0.750,0.167,0.889,0.286,0.375,0.0,0.286,0.75,0.583,0.462,0.533,0.533,0.375,0.235,0.692,0.546,0.429,0.533,0.444,0.625,0.769,0.200,0.556,0.636
11,Cleveland St,0.125,0.444,0.750,0.333,0.667,0.667,1.000,0.8,0.667,0.778,0.222,0.4,0.2,0.286,0.364,0.000,0.667,0.625,0.444,0.8,0.467,0.8,0.444,0.143,0.5,0.364
12,Hampton,0.125,0.8,0.667,0.333,0.375,0.539,0.714,0.667,0.6,0.546,0.333,0.546,0.692,0.333,0.5,0.533,0.625,0.455,0.273,0.429,0.571,0.889,0.571,0.222,0.25,0.5
13,Kentucky,0.125,0.6,0.222,0.583,0.5,0.333,0.125,0.143,0.615,0.75,0.400,0.625,0.0,0.7,0.25,0.333,0.615,0.0,0.5,0.5,0.364,0.444,0.429,0.667,0.75,0.333
14,Wyoming,0.167,0.25,0.750,0.5,0.3,0.125,0.750,0.417,0.615,0.417,0.400,0.455,0.667,0.333,0.333,0.333,0.75,0.273,0.455,0.5,0.286,0.8,0.667,0.444,0.182,0.857
15,St Fran (PA),0.167,0.667,0.600,0.556,0.75,0.546,0.444,0.25,0.833,0.714,0.714,0.571,0.25,0.625,0.7,0.571,0.4,0.571,0.833,0.5,0.571,0.4,0.375,0.833,0.833,0.571
16,Delaware St,0.167,0.25,0.727,0.286,0.5,0.333,0.625,0.222,0.273,0.429,0.556,1.0,0.4,0.75,0.714,0.546,0.778,0.6,0.5,0.5,1.0,0.5,0.600,1.000,1.0,0.5
17,UNLV,0.2,0.636,0.400,0.333,0.3,0.364,0.636,0.25,0.8,0.222,0.400,0.444,0.5,0.167,0.5,0.455,0.455,0.571,0.636,0.714,0.556,0.4,0.556,0.556,0.5,0.667
18,TN Tech,0.2,0.8,0.714,0.4,0.333,0.600,0.556,0.444,0.182,0.5,0.692,0.8,0.4,0.182,0.429,0.500,0.3,0.583,0.0,0.556,0.375,0.833,0.500,0.750,0.714,0.429
19,Duke,0.2,0.667,0.333,0.375,0.6,0.800,0.333,0.5,0.222,0.625,0.500,0.167,0.4,0.4,0.417,0.250,0.333,0.25,0.6,0.444,0.778,0.364,0.400,0.714,0.455,0.222
20,Austin Peay,0.2,0.5,0.500,0.25,0.556,0.300,0.143,0.667,0.833,0.417,0.250,0.333,0.294,0.5,0.636,0.714,0.667,0.375,0.4,0.546,0.375,0.546,0.400,0.636,0.444,0.667
21,NC-Wilmgton,0.2,1.0,0.714,0.3,0.546,0.500,0.727,0.188,0.714,0.75,0.273,0.5,0.75,0.5,0.667,0.625,0.727,0.222,0.385,0.444,0.539,0.714,0.500,1.000,0.308,0.333
22,Radford,0.2,0.25,0.375,0.2,0.833,0.286,0.583,0.5,0.5,0.8,0.625,0.429,0.4,0.5,0.7,0.500,0.286,0.571,0.467,0.444,0.5,0.5,0.300,0.500,0.5,0.467
23,Syracuse,0.214,0.667,0.571,0.222,0.333,0.111,0.222,0.333,0.2,0.7,0.625,0.286,0.167,0.333,0.125,0.444,0.364,0.364,0.5,0.556,0.462,0.0,0.667,0.286,0.667,0.546
24,Delaware,0.222,0.333,0.125,0.429,0.4,0.300,0.462,0.444,0.667,0.714,0.539,0.583,0.5,0.111,0.429,0.438,0.333,0.462,0.571,0.222,0.6,0.333,0.125,0.333,0.4,0.417
25,Arkansas St,0.222,0.571,0.714,0.333,0.667,0.600,0.455,0.5,0.625,0.333,0.667,0.615,0.714,0.5,0.667,0.500,0.444,0.546,0.636,0.375,0.444,0.4,0.429,0.667,0.5,0.556
26,Stanford,0.222,0.5,0.600,0.333,0.4,0.333,0.167,0.429,0.5,0.5,0.300,1.0,0.6,0.8,0.3,0.667,0.4,0.546,0.286,0.5,0.375,0.571,0.857,0.600,0.364,1.0
27,Grambling St,0.231,0.714,1.000,0.571,0.625,0.444,0.667,0.5,0.308,0.4,0.333,0.571,0.75,0.417,0.556,--,0.714,1.0,0.727,0.417,0.273,0.7,0.143,0.375,0.429,0.444
28,S Carolina,0.231,0.667,0.727,0.6,0.667,0.750,0.500,0.467,0.571,0.5,0.533,0.444,0.429,0.5,0.556,0.600,0.625,0.636,0.429,0.556,0.667,0.333,0.333,1.000,0.143,0.444
29,UAB,0.25,0.333,0.167,0.8,0.875,0.556,0.400,0.417,0.375,0.625,0.500,0.273,0.273,0.429,0.444,0.444,0.5,0.539,0.182,0.429,0.8,0.667,0.000,0.500,0.556,0.556
30,Campbell,0.25,0.25,0.364,0.556,0.333,0.600,0.667,0.857,0.625,0.571,0.600,0.571,0.333,0.75,0.429,0.667,0.556,0.857,0.6,0.429,0.6,0.333,0.546,0.167,0.5,0.571
31,Nicholls St,0.25,0.4,0.500,0.222,1.0,0.667,0.714,1.0,0.5,0.667,0.778,0.364,0.625,0.5,0.571,0.636,0.375,0.75,0.375,0.429,0.2,0.167,0.333,0.200,0.429,0.455
32,Coastal Car,0.25,1.0,0.667,0.667,0.0,0.700,0.546,0.5,0.5,0.667,0.400,0.818,0.5,0.2,0.455,0.600,0.385,0.333,0.417,0.455,0.539,0.778,0.600,0.571,0.5,0.546
33,App State,0.25,0.286,0.333,0.571,0.571,0.200,0.700,0.571,0.5,0.5,0.400,0.583,0.7,0.556,0.625,0.636,1.0,0.25,0.75,0.5,0.5,0.75,0.125,0.500,0.556,0.556
34,Nebraska,0.25,0.571,0.500,0.6,0.667,0.333,0.778,0.833,0.5,0.571,0.600,0.455,0.571,0.583,0.429,0.000,0.429,0.6,0.714,0.364,0.375,0.429,1.000,0.667,0.8,0.333
35,Temple,0.25,0.857,0.667,0.429,0.5,0.167,0.625,0.571,0.4,0.625,0.429,0.444,0.167,0.375,0.125,0.385,0.727,0.375,0.357,0.6,0.417,0.182,0.556,1.000,0.273,0.462
36,Washington,0.25,0.75,0.500,0.125,0.5,0.714,0.444,0.0,0.222,0.75,0.778,0.375,0.333,0.7,0.455,0.462,0.167,0.5,0.462,0.8,0.25,0.25,0.889,0.625,0.333,0.333
37,Rider,0.25,0.778,0.333,0.375,0.5,0.500,0.222,0.385,0.7,0.444,0.385,0.364,0.429,0.429,0.444,0.167,0.5,0.273,0.546,0.417,0.273,0.571,0.429,0.800,0.5,0.563
38,Hartford,0.25,0.333,0.571,0.778,0.5,0.600,0.400,0.25,0.667,0.417,0.250,0.5,0.556,0.692,0.714,0.222,0.75,0.182,0.625,0.333,0.444,0.455,0.429,0.200,0.6,1.0
39,Ohio,0.25,1.0,0.636,0.5,0.429,0.364,0.643,0.385,0.333,0.556,0.600,0.571,0.727,0.539,0.333,0.250,0.308,0.4,0.333,0.667,0.667,0.25,0.667,0.250,0.6,0.667
40,Montana,0.25,1.0,0.500,0.625,0.4,0.500,0.667,0.429,0.5,0.556,0.800,0.5,0.417,0.5,0.25,0.125,0.5,0.462,0.6,0.7,0.333,0.375,0.444,0.556,0.625,0.455
41,N Carolina,0.25,0.333,0.500,0.0,0.667,0.364,0.778,0.333,0.5,0.75,0.143,0.5,0.6,0.154,0.5,0.333,0.455,0.375,0.546,0.167,0.455,0.5,0.778,0.556,0.5,0.556
42,Pepperdine,0.273,0.375,0.333,0.375,0.25,0.222,0.583,0.571,0.6,0.818,0.727,0.333,0.6,0.6,0.5,0.444,0.333,0.625,0.455,0.429,0.714,0.6,0.539,0.714,0.667,0.8
43,E Michigan,0.273,0.571,0.200,0.8,0.667,0.571,0.000,0.429,0.778,0.333,0.500,0.667,0.556,0.727,0.5,0.667,0.385,0.571,0.625,0.5,0.4,0.571,0.429,0.000,0.25,0.75
44,UCLA,0.273,0.333,0.400,0.333,0.364,0.750,0.500,0.25,0.364,0.222,0.125,0.4,0.6,0.3,0.714,0.154,0.5,0.333,0.6,0.167,0.286,0.333,0.222,0.308,0.667,0.429
45,Jksnville St,0.286,0.8,0.444,0.5,0.667,0.375,0.500,0.857,0.444,0.643,0.700,0.5,0.778,0.9,0.667,0.250,0.857,0.444,0.556,0.6,0.462,0.5,0.818,0.546,0.5,0.778
46,Ste F Austin,0.286,0.75,0.778,0.6,0.625,0.500,0.727,0.667,0.556,0.714,0.375,0.222,0.444,0.5,0.571,0.571,0.0,0.333,0.5,0.375,0.333,0.4,0.200,0.667,0.0,0.546
47,W Illinois,0.286,0.5,0.700,0.75,0.571,0.429,0.800,0.7,0.75,0.667,0.333,0.455,0.667,0.833,0.462,0.200,0.5,0.556,0.667,0.5,0.5,0.857,1.000,0.800,0.455,0.375
48,Wake Forest,0.3,0.167,0.625,0.667,0.375,0.200,0.500,0.125,0.5,0.286,0.714,0.2,0.333,0.4,0.333,0.600,0.0,0.5,0.455,0.5,0.714,0.5,0.571,0.600,0.444,0.539
49,LIU-Brooklyn,0.333,0.5,0.556,0.5,0.6,0.714,0.600,0.2,0.4,0.5,0.750,0.571,0.6,0.222,0.0,0.600,0.364,0.5,0.364,0.267,0.357,0.539,,,,
50,Vermont,0.333,0.75,0.333,0.375,0.444,0.571,0.333,0.2,0.546,0.333,0.615,0.556,0.286,0.286,0.5,0.714,1.0,0.778,0.25,0.286,0.667,0.0,0.444,0.667,0.571,0.333
51,Lafayette,0.333,0.222,0.571,0.714,0.3,0.500,0.333,0.556,1.0,0.4,0.583,0.625,0.333,0.692,0.571,0.300,0.889,0.364,0.556,0.286,0.818,0.5,0.313,0.375,0.667,0.75
52,Ball State,0.333,0.222,0.333,0.4,0.5,0.778,0.636,0.625,0.7,0.75,0.900,0.5,0.6,0.556,0.5,0.100,0.625,0.7,0.308,0.455,0.5,0.625,0.714,0.667,0.333,0.556
53,Connecticut,0.333,0.111,0.571,0.714,0.25,0.667,0.143,0.556,0.333,1.0,0.333,0.0,0.889,0.214,0.636,0.429,0.25,0.667,0.667,0.539,0.375,0.8,0.636,0.750,0.7,1.0
54,TX-Arlington,0.333,0.5,0.500,0.714,0.0,0.667,0.571,0.5,0.75,0.571,0.556,0.636,0.571,0.714,0.333,0.375,0.539,0.571,0.333,0.5,0.333,0.5,0.889,0.375,0.667,0.556
55,Loyola-MD,0.333,0.625,0.800,0.5,0.5,0.500,1.000,0.625,0.333,0.364,0.417,0.546,0.667,0.667,0.25,0.333,0.167,0.3,0.6,0.467,0.5,0.625,0.692,0.875,0.6,0.5
56,Pittsburgh,0.333,0.333,0.429,0.556,0.333,0.500,0.571,0.5,0.636,0.286,0.375,0.5,0.333,0.5,0.667,0.800,0.539,0.364,0.444,0.5,0.667,0.5,0.556,0.600,0.539,0.364
57,Butler,0.333,0.286,0.800,0.6,0.556,0.182,0.417,0.667,0.727,0.273,0.333,0.417,0.091,0.364,0.3,0.400,0.778,0.4,0.333,0.4,0.5,0.667,0.300,0.333,0.556,0.0
58,Army,0.333,0.571,0.800,0.375,0.6,0.500,0.400,1.0,0.714,0.375,0.286,0.667,0.25,0.571,0.5,0.800,0.615,0.222,0.429,0.636,0.8,0.667,0.571,0.167,0.556,0.5
59,New Mexico,0.333,0.125,0.429,0.455,0.625,0.429,0.833,0.5,0.25,0.5,0.714,0.417,0.083,0.714,0.429,0.200,0.4,0.7,0.556,0.5,0.444,0.6,0.600,1.000,0.714,0.556
60,Baylor,0.333,0.714,0.500,0.4,0.375,0.500,0.857,0.5,0.8,0.546,0.600,0.333,0.222,0.25,0.182,0.800,0.333,0.4,0.429,0.364,0.625,0.5,0.375,0.000,0.4,0.333
61,Dartmouth,0.333,0.0,0.400,0.571,0.5,0.800,0.750,0.25,0.857,0.444,0.600,0.5,0.6,0.75,0.8,0.667,1.0,0.556,1.0,0.546,0.667,0.917,0.700,--,0.889,0.375
62,Murray St,0.333,0.222,0.364,0.444,0.25,1.000,0.250,0.571,0.5,0.333,0.546,0.444,0.375,0.5,0.2,0.556,0.5,0.5,0.5,0.8,1.0,0.2,0.500,1.000,0.0,0.333
63,Boston U,0.333,0.667,0.750,0.5,0.333,0.444,0.300,0.5,0.6,0.75,0.333,0.6,0.286,0.5,0.714,0.750,0.25,0.5,0.333,0.364,0.444,0.667,0.533,0.500,0.357,0.5
64,Wichita St,0.364,0.4,0.500,0.8,0.571,0.400,0.750,0.455,0.375,0.571,0.778,0.6,0.5,0.6,0.429,0.455,0.25,0.333,0.857,0.667,0.625,0.455,0.429,0.250,0.6,0.546
65,Fresno St,0.364,0.167,0.300,0.333,0.556,0.333,0.727,0.333,0.5,0.308,0.857,0.571,0.857,0.5,0.833,0.571,0.25,0.3,0.2,0.364,0.6,0.444,0.750,0.333,0.636,0.636
66,Saint Louis,0.364,0.667,0.625,0.75,0.7,0.333,0.333,0.889,0.4,0.333,0.571,0.385,0.273,0.625,0.667,0.500,0.273,0.375,0.4,0.25,0.75,0.462,0.250,0.500,0.546,0.364
67,Oklahoma St,0.364,0.462,0.500,0.429,0.286,0.429,0.300,0.571,0.75,0.357,0.400,0.286,0.5,0.6,0.429,0.250,0.7,0.5,0.75,0.636,0.444,0.7,0.000,0.333,0.583,0.5
68,San Diego,0.364,0.25,0.250,0.583,0.556,0.500,0.714,0.6,0.778,0.333,0.182,0.778,0.778,0.75,0.286,0.539,0.462,0.625,0.714,0.6,0.444,0.375,0.800,1.000,0.556,0.818
69,S Methodist,0.375,0.4,0.625,0.429,0.375,0.500,0.692,0.857,0.636,0.539,0.571,0.556,0.857,0.583,0.75,0.700,0.5,0.333,0.286,0.429,0.714,0.8,0.455,0.500,0.25,0.615
70,Central FL,0.375,0.5,0.556,0.889,0.857,0.667,0.143,0.214,0.75,0.429,0.778,0.444,0.667,0.4,0.571,0.250,0.375,0.333,0.667,0.273,0.556,0.556,0.385,0.375,0.5,0.583
71,Iowa State,0.375,0.444,0.333,0.333,0.75,0.400,0.500,0.429,0.75,0.5,0.333,0.429,0.615,0.6,0.2,0.667,0.25,0.385,0.636,0.462,0.75,0.636,1.000,1.000,0.222,0.5
72,Providence,0.375,0.667,0.667,0.5,0.5,0.429,0.429,0.818,0.5,0.429,0.500,0.5,0.778,0.546,0.5,0.500,0.357,0.25,0.182,0.5,0.154,0.5,0.273,0.375,0.214,0.444
73,Auburn,0.375,0.0,0.333,0.5,0.539,0.375,0.714,0.364,0.5,0.444,0.500,0.364,0.556,0.455,0.4,0.625,0.429,0.417,0.0,0.333,0.4,0.364,0.111,0.667,0.5,0.636
74,Portland,0.375,0.714,0.750,0.444,0.7,0.375,0.750,0.7,0.375,0.571,0.818,0.417,0.6,0.429,0.625,0.375,0.875,0.333,0.5,0.5,0.667,0.6,1.000,0.000,0.444,0.714
75,USC,0.375,0.6,0.714,0.333,0.6,0.556,0.429,0.429,0.4,0.364,0.500,0.5,0.546,0.546,0.8,0.300,0.5,0.615,0.5,0.308,0.417,0.875,0.375,0.600,0.167,0.5
76,New Orleans,0.375,0.375,0.583,0.2,0.444,0.625,0.429,0.429,0.444,0.546,0.375,0.333,0.667,,,0.000,0.5,0.667,0.778,0.667,0.571,0.5,0.833,0.800,0.5,0.636
77,VA Military,0.375,0.429,1.000,0.667,0.4,0.625,0.667,0.5,0.833,0.818,0.556,0.125,0.667,0.333,0.143,0.400,0.546,0.6,0.8,0.6,0.4,0.667,0.800,0.556,0.667,0.667
78,St Johns,0.375,0.583,0.167,0.444,0.429,0.231,0.800,0.75,0.5,0.375,0.400,0.0,0.5,0.333,0.375,0.400,0.546,0.6,0.5,0.4,0.5,0.222,0.667,0.444,0.7,0.714
79,Kansas,0.375,0.556,0.400,0.4,0.25,0.286,0.500,0.455,0.75,0.222,0.333,0.75,0.2,0.0,0.143,0.429,0.625,0.417,0.25,0.25,0.154,0.2,0.333,0.250,0.2,0.182
80,Arkansas,0.375,0.222,0.800,0.375,0.571,0.750,1.000,0.571,0.571,0.8,0.429,0.667,0.546,0.429,0.333,0.375,0.556,0.333,0.727,0.143,0.125,0.539,0.556,0.286,0.4,0.556
81,AR Lit Rock,0.375,0.429,1.000,0.714,0.571,0.333,0.600,0.333,0.556,0.4,0.222,0.1,0.8,0.417,0.364,0.500,0.385,0.75,0.25,0.4,0.875,0.714,0.273,0.636,0.2,0.615
82,S Alabama,0.4,0.625,0.357,0.143,0.75,0.250,0.600,0.8,0.286,0.4,0.500,0.429,0.25,0.4,0.222,0.308,0.75,0.222,0.167,0.5,0.6,0.857,0.455,0.300,0.546,0.8
83,NC A&T,0.4,0.5,0.429,0.615,0.5,1.000,0.800,0.7,0.6,0.5,0.300,0.5,0.778,0.5,0.444,0.417,0.5,0.5,0.571,0.833,0.4,0.2,0.600,0.333,0.625,0.4
