,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Princeton,0.929,0.724,0.593,0.577,0.556,0.577,0.704,0.519,0.462,0.393,0.185,0.462,0.7,0.774,0.6,0.593,0.69,0.517,0.75,0.759,0.429,0.539,0.5,--,0.75,0.7
1,Kentucky,0.897,0.757,0.719,0.706,0.677,0.889,0.844,0.824,0.629,0.647,0.581,0.611,0.921,0.763,0.949,0.636,0.737,0.974,0.75,0.842,0.703,0.811,0.807,0.360,0.765,0.647
2,Kansas,0.895,0.688,0.697,0.774,0.886,0.794,0.719,0.767,0.75,0.868,0.919,0.771,0.917,0.921,0.842,0.838,0.714,0.75,0.865,0.861,0.795,0.722,0.9,0.690,0.85,0.778
3,N Carolina,0.895,0.706,0.611,0.788,0.286,0.543,0.633,0.892,0.742,0.816,0.947,0.889,0.541,0.784,0.842,0.686,0.706,0.684,0.825,0.821,0.703,0.806,0.424,0.621,0.744,0.606
4,Duke,0.886,0.949,0.853,0.897,0.886,0.788,0.838,0.818,0.889,0.667,0.824,0.811,0.872,0.865,0.794,0.833,0.743,0.895,0.694,0.757,0.784,0.842,0.807,0.542,0.821,0.75
5,Utah,0.879,0.839,0.7,0.571,0.679,0.75,0.719,0.818,0.464,0.367,0.531,0.727,0.452,0.4,0.167,0.419,0.613,0.735,0.743,0.6,0.657,0.548,0.516,0.480,0.355,0.531
6,Murray St,0.867,0.813,0.71,0.577,0.567,0.556,0.807,0.577,0.767,0.519,0.552,0.586,0.853,0.7,0.933,0.655,0.656,0.818,0.517,0.452,0.8,0.839,0.7,0.458,0.903,0.516
7,Connecticut,0.865,0.944,0.714,0.613,0.794,0.697,0.842,0.742,0.882,0.548,0.727,0.861,0.529,0.775,0.588,0.667,0.79,0.571,0.694,0.469,0.438,0.485,0.613,0.652,0.697,0.795
8,Arizona,0.857,0.759,0.794,0.771,0.706,0.875,0.667,0.811,0.606,0.645,0.546,0.6,0.516,0.79,0.657,0.771,0.868,0.895,0.735,0.865,0.771,0.531,0.656,0.654,0.892,0.8
9,Stanford,0.853,0.781,0.867,0.906,0.667,0.727,0.938,0.581,0.533,0.581,0.778,0.588,0.438,0.484,0.703,0.559,0.639,0.649,0.483,0.433,0.543,0.484,0.625,0.519,0.5,0.424
10,Cincinnati,0.818,0.818,0.879,0.714,0.886,0.586,0.781,0.758,0.606,0.367,0.406,0.548,0.543,0.743,0.703,0.647,0.794,0.677,0.667,0.833,0.861,0.8,0.667,0.522,0.531,0.629
11,Iona,0.813,0.517,0.645,0.645,0.433,0.586,0.379,0.484,0.742,0.067,0.375,0.387,0.677,0.676,0.758,0.588,0.667,0.743,0.667,0.629,0.588,0.515,0.414,0.667,0.758,0.771
12,TX Christian,0.813,0.645,0.548,0.633,0.483,0.321,0.414,0.588,0.2,0.433,0.448,0.433,0.367,0.333,0.531,0.323,0.267,0.546,0.364,0.605,0.636,0.622,0.484,0.462,0.618,0.629
13,Illinois St,0.8,0.516,0.31,0.7,0.548,0.276,0.321,0.552,0.296,0.467,0.706,0.706,0.667,0.387,0.6,0.546,0.515,0.618,0.548,0.794,0.531,0.5,0.3,0.250,0.355,0.344
14,Detroit,0.793,0.8,0.6,0.667,0.581,0.586,0.633,0.448,0.467,0.367,0.207,0.207,0.576,0.5,0.588,0.581,0.367,0.419,0.483,0.233,0.2,0.355,0.258,0.546,0.448,0.406
