,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,LIU-Brooklyn,85.7,76.1,74.3,74.2,79.4,77.4,75.1,71.9,70.7,70.6,73.3,70.5,71.3,77.4,76.5,72.3,70.8,71.5,75.1,71.1,74.3,74.0,,,,
1,TX Christian,84.7,78.5,80.4,79.3,81.3,76.6,69.5,71.9,70.6,68.9,70.1,65.4,66.8,69.0,70.7,63.0,67.6,66.8,71.5,70.1,72.8,71.8,68.0,69.2,69.1,72.5
2,North Texas,83.5,79.8,77.2,78.3,75.4,74.2,74.0,74.8,75.2,72.6,71.4,72.5,71.4,70.3,71.0,70.1,71.8,68.4,72.8,73.1,71.8,69.5,66.2,66.5,62.2,61.7
3,Arizona St,82.8,74.9,75.8,74.4,75.2,71.8,73.0,72.4,69.5,61.3,63.1,62.4,63.1,65.9,64.4,70.1,71.8,68.9,72.0,74.3,74.5,75.5,75.3,74.5,70.8,71.7
4,TX-Pan Am,82.4,79.1,73.4,72.1,76.5,68.9,71.9,70.4,69.7,65.1,68.6,67.3,70.3,70.5,67.7,68.7,69.3,66.0,69.8,79.2,78.0,73.7,73.1,73.8,74.6,76.3
5,Arkansas,80.9,75.5,75.4,76.6,75.8,68.9,70.1,69.4,70.3,68.5,70.7,74.1,73.7,70.9,71.7,72.7,75.0,72.3,74.5,73.4,73.5,74.0,73.9,76.6,74.0,72.1
6,Prairie View,80.7,85.6,84.0,79.7,81.5,73.0,71.6,73.8,76.7,72.2,74.3,72.6,70.3,71.3,72.1,70.3,72.5,71.2,70.7,71.0,74.7,74.0,73.9,72.1,74.5,71.5
7,Florida Intl,80.5,69.9,71.5,62.9,68.9,65.8,66.6,72.4,71.3,69.2,70.7,67.1,70.7,72.1,66.8,71.3,69.2,67.9,69.4,69.5,73.0,80.7,74.3,74.0,71.0,73.6
8,Miss Val St,80.5,77.6,80.6,77.2,73.2,70.4,69.4,67.7,62.9,67.1,67.1,70.5,71.3,75.8,71.9,72.9,75.1,73.8,74.4,74.5,72.6,72.3,80.5,75.2,75.5,70.3
9,Texas A&M,80.4,74.6,70.8,73.4,71.8,74.6,71.5,68.2,67.3,66.7,67.3,67.9,68.4,65.7,64.4,64.8,66.8,66.6,71.4,68.7,72.4,70.9,67.6,67.2,71.1,68.7
10,Arizona,80.3,77.6,75.5,74.4,75.9,78.3,77.2,72.6,72.4,70.3,66.8,66.4,71.5,69.2,66.9,68.6,66.9,68.2,73.0,68.8,70.9,70.5,72.2,70.6,74.7,74.2
11,Cal St Nrdge,80.2,80.5,75.6,73.6,73.0,71.3,69.7,71.5,73.6,74.3,76.4,73.6,74.9,70.7,70.4,71.9,72.0,68.0,74.8,75.5,68.7,74.5,72.5,72.1,67.6,67.2
12,Fresno St,79.8,76.5,77.2,78.9,75.2,67.9,62.5,72.8,73.7,71.8,70.7,69.1,68.2,68.9,66.1,63.8,68.4,66.2,72.6,72.7,70.3,70.9,67.8,67.7,64.7,65.2
13,Wagner,79.6,73.2,80.5,82.2,79.2,71.2,69.9,66.1,68.4,70.8,73.1,69.2,68.8,70.2,70.2,71.4,72.2,70.5,69.6,67.8,71.4,68.0,70.8,69.6,70.9,65.4
14,Loyola Mymt,79.2,77.2,74.3,71.0,72.6,73.2,71.5,71.6,76.2,72.7,72.9,67.1,72.3,71.4,69.9,67.5,71.8,64.7,70.8,70.6,69.5,65.7,65.7,69.4,68.9,71.5
15,Texas,79.1,70.7,70.3,72.2,73.3,72.3,70.0,71.3,68.1,72.3,67.1,69.6,76.5,70.1,68.8,69.8,71.1,65.7,68.6,70.0,70.7,68.4,67.9,71.9,66.4,72.2
16,LA Monroe,79.0,80.0,80.0,77.2,70.9,76.4,74.3,68.3,70.2,70.0,68.4,69.5,68.9,64.2,66.2,68.0,67.5,65.0,69.7,69.2,68.9,71.3,67.5,69.1,71.4,68.8
17,Hartford,78.9,73.1,79.5,71.1,68.0,66.7,67.3,67.9,67.7,64.3,71.0,67.2,66.3,66.1,67.7,65.7,65.4,65.7,72.4,70.7,69.3,70.2,70.0,68.3,68.8,67.8
18,Maryland,78.8,78.9,75.4,76.8,76.8,75.3,76.4,80.5,76.9,74.4,73.7,71.2,72.9,73.2,69.0,69.2,70.3,66.6,69.1,69.9,68.4,68.0,69.1,66.2,69.2,66.0
19,UCLA,78.4,78.1,74.0,77.2,71.8,75.7,68.8,72.9,64.4,65.3,66.6,67.0,67.4,68.9,66.2,72.1,72.1,69.4,73.9,75.5,74.2,75.8,68.2,68.7,69.3,68.8
20,USC,78.3,77.8,75.5,74.0,73.5,77.3,76.5,74.6,70.9,69.4,68.0,67.0,65.0,65.9,62.5,69.5,73.0,71.3,75.4,71.8,71.0,73.5,72.2,70.3,69.8,70.5
21,Central Mich,77.9,74.2,71.4,68.3,70.9,73.5,73.9,71.7,69.6,68.5,72.1,65.6,65.8,66.7,66.1,67.1,67.6,67.5,69.1,79.7,71.3,75.9,76.1,75.0,70.6,71.0
22,Florida A&M,77.7,76.1,76.0,74.8,74.0,70.4,75.2,73.3,71.3,69.4,69.7,69.6,69.9,70.3,71.6,72.7,74.4,67.8,74.1,74.9,72.6,69.3,74.1,72.6,68.9,67.7
23,TX Southern,77.7,72.7,75.5,66.4,72.1,68.2,73.6,71.5,75.7,73.3,72.5,70.0,71.0,69.7,68.2,67.8,70.7,68.2,69.7,71.8,75.0,78.8,76.8,75.0,71.8,73.6
24,Florida,77.7,76.5,77.2,74.5,74.5,67.0,71.1,69.3,70.2,67.7,69.5,70.0,69.0,66.9,67.6,64.3,64.5,64.7,72.2,72.5,70.9,66.9,68.4,72.4,69.2,71.6
25,Delaware St,77.5,78.2,70.1,65.4,66.3,62.8,62.9,62.4,58.7,56.7,58.4,62.0,60.0,62.4,64.4,64.4,63.3,70.9,69.4,70.7,69.6,73.7,78.7,79.9,72.8,70.9
26,Morgan St,77.4,71.6,76.0,72.3,74.2,71.5,72.0,68.9,71.4,69.0,67.3,68.2,72.9,69.9,69.9,70.2,72.6,67.9,71.5,72.5,73.7,76.3,74.1,77.8,76.7,76.0
27,Duquesne,77.3,71.5,74.4,73.7,69.4,71.8,70.5,69.0,69.3,73.9,77.6,72.8,73.5,73.4,70.7,71.6,70.0,69.3,75.5,73.0,69.7,72.8,69.9,69.8,69.6,71.0
28,Tennessee,77.3,73.6,75.2,77.6,70.9,67.6,69.9,67.4,73.7,74.4,74.2,73.0,71.2,69.4,67.6,65.9,64.8,63.2,73.0,73.5,69.3,71.9,68.5,70.4,70.7,67.7
29,Tulane,77.1,74.3,72.1,76.2,74.2,69.6,70.7,70.6,68.2,70.4,67.7,67.7,67.9,67.2,66.0,66.8,65.4,66.4,71.1,73.8,72.0,73.8,71.4,69.5,71.6,77.0
30,E Washingtn,77.1,75.7,71.1,70.5,71.1,71.0,69.0,68.3,71.4,75.1,66.7,65.9,72.3,67.9,70.9,71.1,71.5,70.3,71.0,72.2,70.5,71.6,75.6,72.6,72.6,70.0
31,GA Tech,77.0,74.1,73.6,77.3,74.8,72.4,74.0,73.3,72.9,71.1,74.0,75.8,72.1,71.0,64.8,67.9,67.2,66.7,68.8,70.8,68.0,70.2,72.7,70.6,71.1,69.3
32,Kansas,76.9,72.7,77.6,75.6,80.5,73.0,72.5,70.1,71.6,70.6,70.1,71.0,71.3,70.9,68.8,70.3,70.6,68.4,71.6,73.4,71.9,72.2,69.3,71.1,71.5,72.1
33,VA Military,76.7,78.6,79.6,76.4,81.9,71.1,67.2,70.8,74.3,91.6,82.1,83.6,86.7,77.6,74.8,74.1,78.2,80.1,70.8,71.5,71.6,74.6,71.5,73.8,71.4,68.7
34,Washington,76.7,74.2,74.0,76.5,74.6,75.6,77.3,76.0,75.1,71.7,71.4,74.6,74.7,74.2,72.8,68.4,70.7,68.3,81.2,74.9,72.9,69.2,72.1,72.6,73.1,71.8
35,Maine,76.6,77.9,71.9,74.5,67.3,71.1,68.8,69.7,68.6,66.4,71.1,67.9,67.1,67.0,69.1,70.2,75.8,68.5,80.7,70.5,73.8,67.2,67.9,66.2,67.6,68.4
36,Alcorn State,76.6,78.8,72.6,77.4,76.3,74.9,70.9,72.7,72.2,74.2,72.9,76.9,76.9,79.5,68.8,69.8,66.3,69.1,70.1,71.0,71.2,69.1,73.9,73.1,71.3,70.1
37,Loyola-MD,76.5,77.3,73.9,69.7,70.7,67.9,69.7,73.2,73.6,67.3,69.3,69.6,68.3,67.8,66.8,66.5,68.2,65.5,70.6,69.1,71.9,72.8,73.1,72.8,68.3,67.8
38,Cal Poly,76.5,80.9,74.9,76.6,69.9,71.1,72.4,72.4,67.0,69.7,68.6,68.0,70.1,62.8,61.6,61.7,62.4,61.3,70.5,68.8,70.0,69.9,71.6,70.0,67.4,66.7
39,SE Louisiana,76.4,81.6,66.7,62.6,64.4,70.0,72.0,63.9,66.5,66.9,69.2,69.0,69.7,68.6,68.0,68.1,68.5,70.4,72.0,71.1,69.4,68.1,75.9,74.1,74.3,72.9
40,Memphis,76.4,79.8,77.1,73.4,75.0,71.8,66.9,69.8,74.9,71.4,71.9,70.1,68.4,71.6,69.6,71.7,72.4,67.8,75.9,72.0,68.8,77.4,75.4,73.5,72.7,74.9
41,TN Tech,76.1,69.8,68.2,71.7,71.3,72.0,72.1,72.0,71.7,71.1,73.9,74.6,71.6,73.1,69.7,67.1,69.8,69.1,71.6,72.6,73.5,74.2,70.4,71.8,72.0,71.9
42,Oral Roberts,76.0,70.5,71.3,65.5,74.0,72.0,73.5,71.7,70.5,67.7,67.3,70.5,69.8,69.2,66.1,68.5,67.6,67.5,71.8,73.2,70.7,70.1,73.7,74.8,73.8,72.0
43,Iona,75.9,78.5,79.2,76.7,75.1,73.4,73.4,72.2,74.1,67.3,70.6,67.4,68.0,71.9,73.4,74.0,72.9,72.7,74.3,74.4,74.0,72.9,70.8,71.3,72.3,70.3
44,Xavier,75.9,74.0,72.7,72.1,68.8,71.0,67.4,65.7,66.8,66.9,66.7,68.4,74.0,67.4,69.8,65.3,67.7,68.1,74.1,70.1,74.2,68.5,71.9,71.8,71.5,73.7
45,Ball State,75.9,69.4,72.0,66.5,71.3,71.7,70.1,67.0,65.9,64.8,63.8,62.7,65.8,66.7,63.5,66.8,70.0,66.7,68.7,75.6,73.4,73.8,70.5,74.3,73.4,70.0
46,TX-San Ant,75.9,76.5,77.5,78.7,75.9,70.1,73.8,77.5,75.5,67.7,67.3,72.4,66.6,69.7,70.3,66.7,70.0,68.1,74.9,70.5,74.3,75.5,75.7,73.5,70.8,71.7
47,Coppin State,75.8,72.8,71.5,69.2,68.4,59.4,65.9,65.3,69.5,67.4,66.7,66.8,67.7,72.3,71.1,71.4,69.8,75.2,75.5,72.5,72.2,73.8,76.5,80.8,75.5,75.7
48,Nicholls St,75.8,73.7,71.4,72.6,72.7,65.7,72.1,76.3,74.7,73.4,71.3,63.3,66.2,64.0,70.3,69.8,68.7,70.8,73.2,74.9,77.7,71.8,74.0,76.6,74.2,73.9
49,Lehigh,75.7,71.4,71.7,76.0,72.7,66.5,68.1,67.1,66.2,64.9,67.9,69.4,71.8,73.9,70.5,68.1,68.5,68.6,66.5,72.2,74.5,74.6,70.9,73.0,70.0,70.8
50,UAB,75.7,74.6,77.7,71.1,72.5,77.0,74.7,74.6,71.7,67.4,70.8,69.4,66.8,66.3,63.4,72.7,72.1,69.2,71.9,69.8,71.2,68.6,68.2,69.6,72.6,74.5
