,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Col Charlestn,0.823,0.875,0.895,0.935,0.901,0.952,0.945,0.934,0.948,0.958,1.03,1.032,1.035,1.001,0.965,0.947,0.971,1.015,0.923,0.965,1.01,1.016,1.012,1.040,0.998,0.923
1,S Alabama,0.852,0.967,0.957,0.949,1.006,1.033,1.029,1.001,0.953,0.998,0.965,1.003,0.995,1.052,0.988,0.969,1.042,1.055,1.012,1.017,0.972,1.033,1.012,1.017,0.953,0.971
2,Duke,0.856,0.866,0.917,0.901,0.882,0.932,0.902,0.904,0.934,0.917,0.914,0.929,0.895,0.9,0.982,0.941,1.007,0.946,1.028,0.986,0.956,0.905,0.898,1.000,0.97,0.947
3,Cincinnati,0.874,0.87,0.859,0.956,0.852,0.928,0.919,0.904,0.967,1.025,1.011,0.989,0.97,0.915,0.925,0.877,0.893,0.9,0.92,0.911,0.847,0.935,0.923,0.989,0.945,0.971
4,Marquette,0.879,0.948,0.961,1.001,0.887,1.028,1.011,1.007,0.99,0.945,0.916,0.982,0.973,0.988,0.914,0.949,0.984,1.005,0.999,1.042,1.078,0.951,0.971,0.994,0.971,0.979
5,Kansas,0.883,0.885,0.903,0.925,0.932,0.914,0.939,0.931,0.86,0.873,0.873,0.921,0.901,0.913,0.896,0.882,0.994,0.947,0.943,0.979,1.0,0.971,0.875,0.949,0.94,0.944
6,Princeton,0.883,0.912,0.892,0.993,0.975,1.014,0.949,1.018,0.998,0.974,1.038,0.953,0.885,0.965,0.967,0.964,0.968,1.004,0.975,0.938,1.048,0.983,1.022,--,1.017,0.979
7,Connecticut,0.886,0.848,0.932,0.968,0.925,0.947,0.887,0.905,0.906,0.892,0.946,0.896,0.952,0.957,0.972,0.95,0.934,0.942,0.92,0.97,1.047,0.99,0.918,0.942,0.934,0.914
8,Navy,0.887,0.829,0.82,0.914,0.976,0.985,1.037,0.985,0.993,0.98,0.947,0.936,1.013,0.974,1.052,0.988,1.009,1.037,0.991,0.969,0.981,1.037,0.988,0.961,0.909,0.977
9,S Mississippi,0.892,0.924,0.945,0.916,0.961,0.977,1.001,1.064,1.045,0.951,0.995,1.037,0.939,0.973,0.987,0.94,0.96,1.071,1.053,1.047,1.084,0.976,1.032,0.969,1.095,0.963
10,Wm & Mary,0.893,0.975,1.009,0.97,1.019,1.041,1.062,1.046,1.01,1.0,0.991,0.982,1.02,1.062,1.081,1.041,1.087,1.032,1.027,1.085,1.138,1.071,1.016,1.036,1.045,1.076
11,Utah,0.896,0.874,0.959,0.967,0.965,0.946,0.945,0.927,0.995,1.132,0.978,0.954,0.978,1.015,1.098,0.992,0.961,0.893,0.996,0.972,0.993,1.068,0.998,0.999,1.018,0.93
12,Arkansas,0.898,0.952,0.926,0.898,0.959,0.966,0.979,0.906,0.923,0.964,0.966,0.995,1.003,0.941,0.973,0.947,0.951,0.97,1.002,1.006,1.028,0.977,0.942,0.923,0.923,0.942
13,Mississippi,0.899,0.897,0.96,0.912,0.934,0.979,0.996,0.98,0.994,0.998,0.988,1.034,0.962,0.992,0.948,0.913,1.004,0.984,0.995,1.006,1.056,0.996,0.965,0.914,0.993,1.003
