,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Marshall,2.5%,3.2%,4.0%,4.4%,4.9%,4.9%,4.2%,4.9%,6.7%,6.3%,5.9%,5.5%,4.8%,6.4%,5.1%,5.1%,6.0%,5.0%,3.9%,5.3%,4.3%,4.1%,4.9%,4.3%,4.1%,2.6%
1,Mt St Marys,2.7%,4.7%,4.5%,6.0%,5.5%,5.4%,6.3%,5.5%,6.3%,7.1%,5.4%,5.4%,5.2%,6.1%,5.4%,4.2%,4.7%,5.0%,5.1%,5.0%,4.5%,5.7%,6.5%,5.2%,5.0%,5.5%
2,Lafayette,3.0%,4.3%,5.0%,4.5%,4.8%,4.2%,5.1%,4.7%,4.1%,5.6%,5.7%,5.4%,4.3%,5.9%,5.4%,5.3%,5.7%,5.7%,6.3%,3.9%,5.7%,3.7%,3.5%,4.8%,4.2%,4.7%
3,Princeton,3.2%,4.0%,4.7%,5.0%,4.4%,4.1%,4.0%,5.2%,7.4%,6.6%,5.0%,6.8%,6.2%,7.5%,6.3%,6.2%,6.0%,7.4%,6.7%,4.7%,5.5%,6.7%,6.4%,--,4.8%,5.7%
4,Texas,3.4%,4.2%,5.0%,5.1%,6.2%,5.2%,5.5%,5.2%,4.1%,5.2%,4.9%,4.9%,5.8%,5.0%,6.0%,6.0%,5.7%,5.7%,5.7%,5.6%,5.0%,5.7%,5.5%,5.4%,5.9%,5.2%
5,Kansas St,3.4%,4.8%,5.0%,6.4%,7.5%,7.2%,5.7%,6.1%,5.7%,6.0%,5.7%,4.4%,5.6%,6.0%,5.8%,6.0%,7.0%,8.5%,7.1%,6.1%,4.5%,5.1%,7.3%,5.8%,6.1%,6.7%
6,Mississippi,3.5%,6.8%,5.8%,6.9%,7.0%,7.4%,7.1%,8.1%,7.0%,8.0%,6.6%,5.7%,6.1%,5.9%,5.0%,5.2%,6.9%,6.1%,7.1%,6.1%,5.8%,5.9%,6.9%,5.7%,5.8%,4.8%
7,E Michigan,3.6%,4.8%,4.5%,4.7%,6.1%,5.8%,6.7%,7.6%,6.7%,7.7%,6.3%,6.1%,6.3%,5.5%,6.5%,5.0%,7.9%,6.0%,5.8%,4.4%,5.5%,6.0%,5.2%,3.9%,6.4%,4.8%
8,Iona,3.6%,5.6%,6.2%,5.3%,6.0%,5.0%,5.2%,6.0%,4.5%,7.3%,7.4%,6.9%,8.7%,5.8%,5.2%,7.0%,6.0%,6.3%,4.8%,4.7%,4.5%,6.2%,5.2%,4.6%,5.4%,4.5%
9,Cornell,3.7%,5.3%,5.4%,5.6%,6.6%,6.1%,6.5%,6.1%,7.2%,6.5%,5.1%,5.7%,5.2%,6.6%,6.1%,7.4%,6.3%,5.6%,6.4%,6.3%,6.3%,6.6%,6.4%,--,5.1%,5.1%
