,Category,r-value
0,Team,1.0
1,GP,0.6174469456378678
2,PTS,0.7372947683680469
3,PPG,0.6083664133109833
4,AST,0.6449594245231534
5,TO,-0.06442264291494608
6,AST/TO,0.5961151224400316
7,APG,0.5099470113492626
8,Bench,0.24837089950009872
9,Bench_PPG,0.08917956006199562
10,BLKS,0.39553789107859727
11,BKPG,0.28218992972321266
12,EFF_FG_PCT,0.5898772798025312
13,FB pts,0.39846212610248155
14,FB_PPG,0.27501868127261225
15,FGM,0.7098518060574983
16,FGA,0.5924205361359823
17,FG%,0.5841071098335168
18,OPP FG,0.0782660876868803
19,OPP FGA,0.46086983148146415
20,OPP FG%,-0.6225036789250045
21,Fouls,0.21223502239616635
22,PFPG,-0.15822595505488765
23,DQ,-0.17234659176429787
24,FT,0.48368285157818314
25,FTA,0.44812940314378635
26,FTAvgAtt,0.2298268681211556
27,FT%,0.22022863127307557
28,REB,0.6547264242809653
29,RPG,0.44109765364076176
30,OPP REB,0.19473975154439932
31,OPP RPG,-0.371178712548726
32,REB MAR,0.5475872900413419
33,DRebs,0.671446922966825
34,DRPG,0.4680462961076222
35,OReb,0.3604352451882235
36,ORPG,0.16022320314936114
37,OPP PTS,0.06445319778546199
38,OPP PPG,-0.5140707200370774
39,SCR MAR,0.9244583249128299
40,ST,0.43115116175312634
41,STPG,0.25783727301727216
42,3FG,0.46755638964043084
43,3FGA,0.3921746559975911
44,3FG%,0.40956744139446705
45,Opp 3FGA,0.19899230703978027
46,Opp 3FG,-0.046125493988701756
47,OPP_3FG%,-0.47452985398141356
48,3PG,0.29933693174535586
49,TO_RATIO,0.49439302219944364
50,OPP TO,0.43031785187924043
51,AVG_FCD_TO,0.2004663370820037
52,TO.1,-0.06442264291494608
53,TOPG,-0.3953706415340162
54,W,0.9872939276294854
55,L,-0.9885509176650698
56,Pct,1.0
